Parametros;Acuracia;Precisao-R;Precisao-UE;Precisao-B;Precisao-F;Revocação-R;Revocação-UE;Revocação-B;Revocação-F;F1-R;F1-UE;F1-B;F1-F;Media-F1
KNN com k=1;0.60;0.75;0.19;0.44;0.31;0.75;0.18;0.45;0.30;0.75;0.18;0.45;0.31;0.42
KNN com k=2;0.65;0.78;0.22;0.39;0.26;0.83;0.07;0.63;0.25;0.81;0.11;0.48;0.26;0.41
KNN com k=3;0.65;0.78;0.25;0.43;0.32;0.83;0.15;0.59;0.26;0.80;0.19;0.49;0.28;0.44
KNN com k=4;0.68;0.77;0.29;0.47;0.44;0.88;0.13;0.59;0.24;0.82;0.18;0.52;0.31;0.46
KNN com k=5;0.68;0.78;0.32;0.49;0.46;0.87;0.16;0.60;0.27;0.82;0.22;0.54;0.34;0.48
KNN com k=6;0.69;0.77;0.31;0.48;0.41;0.88;0.14;0.59;0.25;0.82;0.19;0.53;0.31;0.46
KNN com k=7;0.69;0.77;0.30;0.51;0.42;0.89;0.16;0.58;0.22;0.83;0.21;0.54;0.29;0.47
KNN com k=8;0.69;0.77;0.24;0.52;0.43;0.89;0.14;0.58;0.22;0.83;0.18;0.55;0.29;0.46
KNN com k=9;0.70;0.77;0.32;0.54;0.45;0.90;0.16;0.59;0.21;0.83;0.21;0.56;0.29;0.47
KNN com k=10;0.70;0.77;0.29;0.55;0.45;0.90;0.13;0.59;0.22;0.83;0.18;0.57;0.29;0.47
KNN com k=11;0.70;0.77;0.30;0.54;0.45;0.90;0.16;0.58;0.19;0.83;0.21;0.56;0.27;0.47
KNN com k=12;0.70;0.77;0.30;0.54;0.42;0.91;0.14;0.59;0.18;0.83;0.19;0.56;0.25;0.46
KNN com k=13;0.70;0.77;0.31;0.54;0.48;0.91;0.15;0.59;0.18;0.83;0.20;0.56;0.26;0.46
KNN com k=14;0.70;0.76;0.29;0.55;0.45;0.91;0.13;0.59;0.18;0.83;0.18;0.57;0.25;0.46
KNN com k=15;0.70;0.77;0.34;0.55;0.45;0.90;0.15;0.58;0.18;0.83;0.21;0.57;0.26;0.47
KNN com k=16;0.70;0.76;0.35;0.54;0.41;0.91;0.14;0.57;0.16;0.83;0.20;0.55;0.23;0.45
KNN com k=17;0.70;0.76;0.34;0.55;0.39;0.91;0.14;0.59;0.15;0.83;0.20;0.57;0.22;0.46
KNN com k=18;0.70;0.76;0.31;0.54;0.48;0.91;0.13;0.57;0.16;0.83;0.18;0.55;0.24;0.45
KNN com k=19;0.70;0.76;0.32;0.55;0.45;0.91;0.13;0.58;0.16;0.83;0.19;0.56;0.23;0.45
KNN com k=20;0.70;0.76;0.27;0.55;0.46;0.92;0.12;0.56;0.16;0.83;0.17;0.56;0.24;0.45
KNN com k=21;0.70;0.76;0.31;0.54;0.46;0.91;0.13;0.56;0.15;0.83;0.18;0.55;0.23;0.45
KNN com k=22;0.70;0.76;0.32;0.55;0.45;0.92;0.13;0.57;0.15;0.83;0.18;0.56;0.22;0.45
KNN com k=23;0.70;0.76;0.35;0.54;0.40;0.92;0.13;0.56;0.12;0.83;0.19;0.55;0.19;0.44
KNN com k=24;0.70;0.76;0.33;0.54;0.42;0.92;0.13;0.57;0.13;0.83;0.18;0.55;0.20;0.44
KNN com k=25;0.70;0.76;0.34;0.55;0.44;0.92;0.13;0.57;0.13;0.83;0.19;0.56;0.20;0.44
KNN com k=26;0.70;0.76;0.32;0.54;0.43;0.92;0.13;0.57;0.13;0.83;0.18;0.56;0.20;0.44
KNN com k=27;0.70;0.76;0.35;0.54;0.46;0.92;0.13;0.56;0.13;0.83;0.19;0.55;0.20;0.45
KNN com k=28;0.70;0.76;0.29;0.55;0.45;0.92;0.13;0.56;0.12;0.83;0.18;0.56;0.19;0.44
KNN com k=29;0.70;0.76;0.27;0.55;0.48;0.92;0.12;0.55;0.13;0.83;0.17;0.55;0.20;0.44
KNN com k=30;0.70;0.76;0.32;0.54;0.53;0.92;0.12;0.56;0.12;0.83;0.18;0.55;0.20;0.44
