Parametros;Acuracia;Precisao-R;Precisao-UE;Precisao-B;Precisao-F;Revocação-R;Revocação-UE;Revocação-B;Revocação-F;F1-R;F1-UE;F1-B;F1-F;Media-F1
Naive Bayes - alpha 1.0 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
Naive Bayes - alpha 1.0;0.60;0.93;0.39;0.50;0.27;0.60;0.68;0.60;0.46;0.73;0.49;0.55;0.34;0.53
Naive Bayes - alpha 0.9 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
Naive Bayes - alpha 0.9;0.60;0.93;0.39;0.50;0.27;0.60;0.68;0.60;0.47;0.73;0.49;0.55;0.34;0.53
Naive Bayes - alpha 0.8 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
Naive Bayes - alpha 0.8;0.60;0.93;0.39;0.50;0.27;0.60;0.68;0.60;0.48;0.73;0.49;0.55;0.35;0.53
Naive Bayes - alpha 0.7 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
Naive Bayes - alpha 0.7;0.60;0.93;0.39;0.50;0.27;0.60;0.68;0.60;0.48;0.73;0.49;0.55;0.35;0.53
Naive Bayes - alpha 0.6 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
Naive Bayes - alpha 0.6;0.60;0.93;0.39;0.50;0.27;0.60;0.68;0.60;0.47;0.73;0.49;0.55;0.34;0.53
Naive Bayes - alpha 0.5 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
Naive Bayes - alpha 0.5;0.60;0.93;0.39;0.51;0.27;0.60;0.68;0.60;0.47;0.73;0.50;0.55;0.34;0.53
Naive Bayes - alpha 0.4 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
Naive Bayes - alpha 0.4;0.60;0.93;0.39;0.51;0.27;0.60;0.68;0.60;0.47;0.73;0.50;0.55;0.34;0.53
Naive Bayes - alpha 0.3 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
Naive Bayes - alpha 0.3;0.60;0.93;0.39;0.51;0.27;0.60;0.69;0.60;0.47;0.73;0.50;0.55;0.34;0.53
Naive Bayes - alpha 0.2 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
Naive Bayes - alpha 0.2;0.60;0.93;0.39;0.51;0.27;0.60;0.69;0.60;0.47;0.73;0.50;0.55;0.34;0.53
Naive Bayes - alpha 0.1 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
Naive Bayes - alpha 0.1;0.60;0.93;0.39;0.51;0.27;0.60;0.69;0.60;0.47;0.73;0.50;0.55;0.34;0.53
Naive Bayes - alpha 0.0 e fit_prior;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
Naive Bayes - alpha 0.0;0.60;0.93;0.39;0.51;0.27;0.59;0.69;0.60;0.47;0.73;0.50;0.55;0.34;0.53
