Parametros;Acuracia;Precisao-R;Precisao-UE;Precisao-B;Precisao-F;Revocação-R;Revocação-UE;Revocação-B;Revocação-F;F1-R;F1-UE;F1-B;F1-F;Media-F1
Naive Bayes - alpha 1.0 e fit_prior;0.67;0.88;0.48;0.51;0.25;0.75;0.53;0.70;0.25;0.81;0.50;0.59;0.25;0.54
Naive Bayes - alpha 1.0;0.63;0.91;0.44;0.52;0.22;0.66;0.63;0.64;0.35;0.77;0.52;0.57;0.27;0.53
Naive Bayes - alpha 0.9 e fit_prior;0.67;0.88;0.48;0.51;0.25;0.75;0.53;0.70;0.25;0.81;0.50;0.59;0.25;0.54
Naive Bayes - alpha 0.9;0.63;0.91;0.44;0.52;0.22;0.66;0.63;0.64;0.35;0.77;0.52;0.57;0.27;0.53
Naive Bayes - alpha 0.8 e fit_prior;0.67;0.88;0.48;0.51;0.25;0.75;0.53;0.70;0.25;0.81;0.50;0.59;0.25;0.54
Naive Bayes - alpha 0.8;0.63;0.91;0.44;0.52;0.22;0.66;0.63;0.64;0.35;0.77;0.52;0.57;0.27;0.53
Naive Bayes - alpha 0.7 e fit_prior;0.67;0.88;0.48;0.51;0.25;0.75;0.53;0.70;0.25;0.81;0.50;0.59;0.25;0.54
Naive Bayes - alpha 0.7;0.63;0.91;0.44;0.52;0.22;0.66;0.63;0.64;0.35;0.77;0.52;0.57;0.27;0.53
Naive Bayes - alpha 0.6 e fit_prior;0.67;0.88;0.48;0.51;0.25;0.75;0.53;0.70;0.25;0.81;0.50;0.59;0.25;0.54
Naive Bayes - alpha 0.6;0.63;0.91;0.44;0.52;0.22;0.66;0.63;0.64;0.35;0.77;0.52;0.57;0.27;0.53
Naive Bayes - alpha 0.5 e fit_prior;0.67;0.88;0.48;0.51;0.25;0.75;0.53;0.70;0.25;0.81;0.50;0.59;0.25;0.54
Naive Bayes - alpha 0.5;0.63;0.91;0.44;0.52;0.22;0.66;0.63;0.64;0.35;0.77;0.52;0.57;0.27;0.53
Naive Bayes - alpha 0.4 e fit_prior;0.67;0.88;0.48;0.51;0.25;0.75;0.53;0.70;0.25;0.81;0.50;0.59;0.25;0.54
Naive Bayes - alpha 0.4;0.63;0.91;0.44;0.52;0.22;0.66;0.63;0.64;0.35;0.77;0.52;0.57;0.27;0.53
Naive Bayes - alpha 0.3 e fit_prior;0.67;0.88;0.48;0.51;0.25;0.75;0.53;0.70;0.25;0.81;0.50;0.59;0.25;0.54
Naive Bayes - alpha 0.3;0.63;0.91;0.44;0.52;0.22;0.66;0.63;0.64;0.35;0.77;0.52;0.57;0.27;0.53
Naive Bayes - alpha 0.2 e fit_prior;0.67;0.88;0.48;0.51;0.25;0.75;0.53;0.70;0.25;0.81;0.50;0.59;0.25;0.54
Naive Bayes - alpha 0.2;0.63;0.91;0.44;0.52;0.22;0.66;0.63;0.64;0.35;0.77;0.52;0.57;0.27;0.53
Naive Bayes - alpha 0.1 e fit_prior;0.67;0.88;0.48;0.51;0.25;0.75;0.53;0.70;0.25;0.81;0.50;0.59;0.25;0.54
Naive Bayes - alpha 0.1;0.63;0.91;0.44;0.52;0.22;0.66;0.63;0.64;0.35;0.77;0.52;0.57;0.27;0.53
Naive Bayes - alpha 0.0 e fit_prior;0.67;0.88;0.48;0.51;0.25;0.75;0.53;0.70;0.25;0.81;0.50;0.59;0.25;0.54
Naive Bayes - alpha 0.0;0.63;0.91;0.44;0.52;0.22;0.66;0.63;0.64;0.35;0.77;0.52;0.57;0.27;0.53
