Parametros;Acuracia;Precisao-R;Precisao-UE;Precisao-B;Precisao-F;Revocação-R;Revocação-UE;Revocação-B;Revocação-F;F1-R;F1-UE;F1-B;F1-F;Media-F1
SVM - kernel rbf scale e random 42;0.69;0.76;0.34;0.56;0.43;0.90;0.14;0.64;0.11;0.82;0.20;0.60;0.17;0.45
SVM - kernel rbf auto e random 42;0.70;0.76;0.13;0.57;0.42;0.92;0.08;0.66;0.07;0.83;0.10;0.61;0.12;0.41
SVM - kernel sigmoid auto e random 42;0.70;0.75;0.10;0.56;0.36;0.94;0.05;0.68;0.05;0.83;0.07;0.61;0.09;0.40
SVM - kernel sigmoid scale e random 42;0.70;0.78;0.47;0.55;0.43;0.90;0.17;0.67;0.13;0.84;0.25;0.61;0.20;0.47
SVM - kernel poly g2 auto e random 42;0.71;0.73;0.21;0.59;0.00;0.97;0.02;0.59;0.00;0.84;0.04;0.59;nan;nan
SVM - kernel poly g2 scale e random 42;0.69;0.76;0.35;0.57;0.54;0.89;0.16;0.63;0.15;0.82;0.22;0.60;0.24;0.47
SVM - kernel poly g3 auto e random 42;0.70;0.70;0.00;0.67;0.00;0.99;0.00;0.38;0.00;0.82;nan;0.48;nan;nan
SVM - kernel poly g3 scale e random 42;0.68;0.75;0.32;0.57;0.44;0.87;0.16;0.58;0.11;0.81;0.21;0.57;0.18;0.44
SVM - kernel poly g4 auto e random 42;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
SVM - kernel poly g4 scale e random 42;0.66;0.73;0.31;0.58;0.34;0.87;0.14;0.53;0.07;0.80;0.19;0.55;0.12;0.42
SVM - kernel poly g5 scale e random 42;0.66;0.72;0.29;0.58;0.12;0.88;0.12;0.49;0.03;0.79;0.17;0.53;0.05;0.39
SVM - kernel poly g5 auto e random 42;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
SVM - kernel poly g6 auto e random 42;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
SVM - kernel linear e random 42;0.59;0.76;0.23;0.44;0.26;0.72;0.22;0.51;0.27;0.74;0.22;0.47;0.26;0.42
