Parametros;Acuracia;Precisao-R;Precisao-UE;Precisao-B;Precisao-F;Revocação-R;Revocação-UE;Revocação-B;Revocação-F;F1-R;F1-UE;F1-B;F1-F;Media-F1
SVM - kernel rbf scale e random 42;0.68;0.75;0.20;0.58;0.38;0.89;0.11;0.55;0.21;0.82;0.14;0.56;0.27;0.45
SVM - kernel rbf auto e random 42;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
SVM - kernel sigmoid auto e random 42;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
SVM - kernel sigmoid scale e random 42;0.71;0.78;0.45;0.55;0.45;0.89;0.22;0.59;0.23;0.83;0.30;0.57;0.30;0.50
SVM - kernel poly g2 auto e random 42;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
SVM - kernel poly g2 scale e random 42;0.68;0.75;0.22;0.58;0.40;0.88;0.13;0.54;0.21;0.81;0.17;0.56;0.27;0.45
SVM - kernel poly g3 auto e random 42;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
SVM - kernel poly g3 scale e random 42;0.65;0.72;0.17;0.57;0.25;0.87;0.10;0.44;0.10;0.79;0.13;0.50;0.14;0.39
SVM - kernel poly g4 auto e random 42;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
SVM - kernel poly g4 scale e random 42;0.64;0.69;0.12;0.60;0.13;0.88;0.06;0.34;0.05;0.77;0.08;0.43;0.07;0.34
SVM - kernel poly g5 scale e random 42;0.63;0.67;0.07;0.58;0.04;0.90;0.03;0.21;0.01;0.77;0.04;0.30;0.01;0.28
SVM - kernel poly g5 auto e random 42;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
SVM - kernel poly g6 auto e random 42;0.67;0.67;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.80;nan;nan;nan;nan
SVM - kernel linear e random 42;0.70;0.77;0.36;0.57;0.45;0.90;0.14;0.59;0.23;0.83;0.20;0.58;0.30;0.48
