text,class,feature,appName
I have a normal phone and it made 1 of my pics look like one of a iphone 6 if u dont believe me look at my instagran account     wings_2004,Neutral,pics,PhotoEditor
Cant get to install,Neutral,install,PhotoEditor
Too many ads and secondly erratic interface ,Neutral,ads,PhotoEditor
Too many ads and secondly erratic interface ,Negative,interface,PhotoEditor
I have already uninstalled,Neutral,uninstalled,PhotoEditor
"Ive downloaded a few different ones and this is easy to use, and the pictures come out great ",Positive,pictures,PhotoEditor
Plenty of options to choose from to make whatever kind of picture you would like,Neutral,options to choose from,PhotoEditor
Plenty of options to choose from to make whatever kind of picture you would like,Neutral,make whatever kind of picture,PhotoEditor
"I really like the HD effect, brightness and color correction features ",Positive,HD effect,PhotoEditor
"I really like the HD effect, brightness and color correction features ",Positive,color correction,PhotoEditor
I can basically change the whole pic   its so cool :-) lol :-),Positive,change the whole pic,PhotoEditor
This app is very good for photos editer,Positive,photos editer,PhotoEditor
Ive used this on my previous phone worked prrfectly but ive recntly bought samsung galaxy a5 the splash and focus functn doesnt work plz help!!,Neutral,focus functn,PhotoEditor
"If only you could make a video editor, too, that is just as good as this ",Neutral,make a video editor,PhotoEditor
Makes awesome book covers!,Positive,book covers,PhotoEditor
"lighter and faster than other photo editors ,with many editing options best recommended app for photo editing",Positive,photo editing,PhotoEditor
"lighter and faster than other photo editors ,with many editing options best recommended app for photo editing",Neutral,photo editors,PhotoEditor
"lighter and faster than other photo editors ,with many editing options best recommended app for photo editing",Neutral,editing,PhotoEditor
"super easy and i love the effects ,also super easy to install!!",Positive,effects,PhotoEditor
"super easy and i love the effects ,also super easy to install!!",Positive,install,PhotoEditor
I would give this app a 5 if there were not so many ads,Neutral,ads,PhotoEditor
Covers imperfections and has cool filters!,Positive,filters,PhotoEditor
Covers imperfections and has cool filters!,Neutral,Covers imperfections,PhotoEditor
There are so many ads popping up that the app is now unusable because an ad pops up literally every time I close the last ,Neutral,ads popping up,PhotoEditor
There are so many ads popping up that the app is now unusable because an ad pops up literally every time I close the last ,Negative,ad pops up,PhotoEditor
Its a good app for photo editing ,Positive,photo editing,PhotoEditor
I`ve seen so many photo editing tools but this one is the best 10x a lot its really proffesional,Neutral,photo editing,PhotoEditor
Able to take r add to photo love it!,Positive,add to photo,PhotoEditor
Makes neat collages and great for editing,Positive,editing,PhotoEditor
U have t ok down load every thing u want to add to it like the effects,Neutral,effects,PhotoEditor
A powerful photo editor with many wonderfull effects,Positive,photo editor,PhotoEditor
A powerful photo editor with many wonderfull effects,Positive,effects,PhotoEditor
"Horrible editor, worst app in this entire store ",Negative,editor,PhotoEditor
Great Photo Editing App for editing Photos,Positive,Photo Editing,PhotoEditor
Great Photo Editing App for editing Photos,Positive,editing Photos,PhotoEditor
its a great app to edit pics,Positive,edit pics,PhotoEditor
Very satisfied with the results I get by using this software :),Positive,the results I get,PhotoEditor
Helped me make AMAZING photos,Positive,make AMAZING photos,PhotoEditor
"I gave this app a 5 stars cause rate me pls always pops out and its annoying, good app though ",Negative,rate me pls always pops out,PhotoEditor
Needs an airbrush feature,Neutral,airbrush feature,PhotoEditor
It helps me create amazing fotos ,Positive,create amazing fotos,PhotoEditor
It doesnt provide for a way to delete previously edited needless photos that are starting to accumulate in the gallery ,Neutral,delete previously edited needless photos,PhotoEditor
It doesnt provide for a way to delete previously edited needless photos that are starting to accumulate in the gallery ,Neutral,gallery,PhotoEditor
Cant obtain any help on how to delete just those photos while maintaining the original photo ,Neutral,delete just those photos,PhotoEditor
Cant obtain any help on how to delete just those photos while maintaining the original photo ,Neutral,maintaining the original photo,PhotoEditor
But i got the frames ,Neutral,frames,PhotoEditor
"Love it    Love the enhanced picture qualities, the frames etc    ",Positive,enhanced picture qualities,PhotoEditor
"Love it    Love the enhanced picture qualities, the frames etc    ",Positive,frames,PhotoEditor
Easy very nice detail options and doesnt crash!,Positive,detail options,PhotoEditor
Would be better if there were more frame options tho,Neutral,frame options,PhotoEditor
Have to download everything and adverts are annoying!,Negative,adverts,PhotoEditor
Best photo editor i have seen,Positive,photo editor,PhotoEditor
But has alot of popups ,Neutral,popups,PhotoEditor
Sud have an option to un blur the blur photos,Neutral,option to un blur the blur photos,PhotoEditor
Whenever I went to choose a photo then go back to it a blank black screen came up for a few seconds ,Neutral,choose a photo,PhotoEditor
Whenever I went to choose a photo then go back to it a blank black screen came up for a few seconds ,Neutral,black screen came up,PhotoEditor
Also it seemed to only let me have one photo I couldnt see how to add in another photo ,Neutral,photo,PhotoEditor
Also it seemed to only let me have one photo I couldnt see how to add in another photo ,Neutral,add in another photo,PhotoEditor
I love being able to have fun  with my photo ,Positive,photo,PhotoEditor
I can edit in many ways    It looks always perfect    so yea 3 thumbs up to this app,Neutral,edit,PhotoEditor
It perfects flaws and inperfections !!,Neutral,perfects flaws,PhotoEditor
App is Brilliant   but only the thing due to which I gave 4 star not 5 is FONT     We cant change the FONT Text     ,Neutral,FONT,PhotoEditor
App is Brilliant   but only the thing due to which I gave 4 star not 5 is FONT     We cant change the FONT Text     ,Neutral,change the FONT Text,PhotoEditor
Love the affects when done,Positive,affects,PhotoEditor
This works realy well the only thing I dont like about it is that u had to download the stickers,Negative,download the stickers,PhotoEditor
Wish i knew how to change font size,Neutral,change font size,PhotoEditor
I reallly can fix my ugly pics,Neutral,fix my ugly pics,PhotoEditor
Well for one thing your app doesnt look anything like the pictures above and for another I got to edit one photo and then the app wouldnt open and kept force closing I hate it so I removed imedently,Positive,pictures,PhotoEditor
Well for one thing your app doesnt look anything like the pictures above and for another I got to edit one photo and then the app wouldnt open and kept force closing I hate it so I removed imedently,Neutral,edit one photo,PhotoEditor
Well for one thing your app doesnt look anything like the pictures above and for another I got to edit one photo and then the app wouldnt open and kept force closing I hate it so I removed imedently,Negative,open,PhotoEditor
Well for one thing your app doesnt look anything like the pictures above and for another I got to edit one photo and then the app wouldnt open and kept force closing I hate it so I removed imedently,Negative,closing,PhotoEditor
nice editings cn be done overall good job ,Positive,editings,PhotoEditor
"If they are free, why do I have to install the frames then the effects then other things     ",Neutral,install the frames,PhotoEditor
"If they are free, why do I have to install the frames then the effects then other things     ",Neutral,effects,PhotoEditor
Suprb app for creating more effect   ,Positive,creating more effect,PhotoEditor
Like a picart,Positive,picart,PhotoEditor
I dnt like that u cant redo or format the text,Negative,format the text,PhotoEditor
It is a great editor love it,Positive,editor,PhotoEditor
You have to pay for stickers really,Neutral,stickers,PhotoEditor
Perfect mobile photo editing app,Positive,photo editing,PhotoEditor
I love it it makes me feel real with the effects n my blue eyes,Positive,effects,PhotoEditor
Cant upload photos,Neutral,upload photos,PhotoEditor
Love the new ehancements,Positive,ehancements,PhotoEditor
Better than default editors ,Neutral,editors,PhotoEditor
its easy to use and has a good user interface ,Positive,user interface,PhotoEditor
You have to download everything before you CD an even start date it  so much it is rubbish for not install unless you like rubbish apps ‼‼‼‼‼‼‼‼‼‼‼:-\ :-\ :-\ :-\ :-\ :-\ :-\ :-\,Neutral,install,PhotoEditor
Making memes right now!,Neutral,Making memes,PhotoEditor
needed to take off unwanted bits captured in the photo i took & this app did the trick!,Neutral,take off unwanted bits captured in the photo,PhotoEditor
I have an HTC One M8 and for some reason this app opens and then closes without out any option for me to do anything ,Neutral,opens,PhotoEditor
I have an HTC One M8 and for some reason this app opens and then closes without out any option for me to do anything ,Neutral,closes,PhotoEditor
Very good photo edit app,Positive,photo edit,PhotoEditor
Ive used Evernote for quite awhile to take notes on my Android tablet and be able to share and edit them on any PC with a web browser ,Neutral,take notes,Evernote
Ive used Evernote for quite awhile to take notes on my Android tablet and be able to share and edit them on any PC with a web browser ,Neutral,share,Evernote
Ive used Evernote for quite awhile to take notes on my Android tablet and be able to share and edit them on any PC with a web browser ,Neutral,edit,Evernote
Love that I can sync to my other devices ,Positive,sync to my other devices,Evernote
It has been a big help in keeping me organized with my lists ,Neutral,keeping me organized with my lists,Evernote
"Have everynote you take on your tablet, phone, or laptop synced without touching a buttom ",Neutral,synced,Evernote
Highly recommend Evernote if you take notes for anything ,Neutral,take notes,Evernote
"I use it for school notes and not only can I use on my kindle fire,  I have the app on my cell phone and my laptop,  so I can never lose my information ",Neutral,use it for school notes,Evernote
please fix the terrible spell check for Pc and list the upgrade price in the app and I would pay for premium ,Neutral,premium,Evernote
please fix the terrible spell check for Pc and list the upgrade price in the app and I would pay for premium ,Negative,spell check,Evernote
"Never lose your notes again, and access them wherever you are, this app is perfect for any mobile note taker ",Neutral,notes,Evernote
"It performs its basic functions well and works between my pc, phone,  and kindle,  but the organization feels off and their are still occaisonal syncing problems ",Negative,syncing,Evernote
It synchronizing capability is transparent and remarkable ,Positive,synchronizing capability,Evernote
could be really awesome if I could attached camera pica but dont have that in kindle ,Neutral,attached camera pica,Evernote
"I use it for everything--recipes, receipts, notes of all kinds ",Neutral,recipes,Evernote
"I use it for everything--recipes, receipts, notes of all kinds ",Neutral,receipts,Evernote
"I use it for everything--recipes, receipts, notes of all kinds ",Neutral,notes,Evernote
