Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
GNB - smoothing 1e-01 ;0.22;0.83;0.03;0.38;0.06;0.56;0.52;0.10;0.07;0.44;0.20
GNB - smoothing 1e-02 ;0.34;0.68;0.07;0.35;0.23;0.67;0.52;0.35;0.13;0.42;0.30
GNB - smoothing 1e-03 ;0.55;0.71;0.08;0.42;0.64;0.33;0.37;0.68;0.13;0.39;0.40
GNB - smoothing 1e-04 ;0.56;0.71;0.08;0.44;0.68;0.33;0.33;0.70;0.13;0.38;0.40
GNB - smoothing 1e-05 ;0.56;0.71;0.08;0.44;0.68;0.33;0.33;0.70;0.13;0.38;0.40
GNB - smoothing 1e-06 ;0.56;0.71;0.08;0.44;0.68;0.33;0.33;0.70;0.13;0.38;0.40
GNB - smoothing 1e-07 ;0.56;0.71;0.08;0.45;0.68;0.33;0.33;0.70;0.13;0.38;0.40
GNB - smoothing 1e-08 ;0.57;0.72;0.08;0.47;0.68;0.33;0.36;0.70;0.13;0.41;0.41
GNB - smoothing 1e-09 ;0.57;0.72;0.08;0.47;0.68;0.33;0.36;0.70;0.12;0.41;0.41
GNB - smoothing 1e-10 ;0.57;0.72;0.08;0.47;0.68;0.33;0.36;0.70;0.12;0.41;0.41
GNB - smoothing 1e-11 ;0.57;0.72;0.08;0.47;0.68;0.33;0.36;0.70;0.12;0.41;0.41
GNB - smoothing 1e-12 ;0.57;0.72;0.08;0.48;0.68;0.33;0.37;0.70;0.12;0.42;0.41
GNB - smoothing 1e-13 ;0.57;0.72;0.08;0.48;0.68;0.33;0.37;0.70;0.12;0.42;0.41
GNB - smoothing 1e-14 ;0.57;0.72;0.08;0.48;0.68;0.33;0.37;0.70;0.12;0.42;0.41
GNB - smoothing 1e-15 ;0.57;0.72;0.08;0.48;0.68;0.33;0.37;0.70;0.12;0.42;0.41
GNB - smoothing 1e-16 ;0.57;0.72;0.08;0.48;0.68;0.33;0.37;0.70;0.12;0.42;0.41
GNB - smoothing 1e-17 ;0.57;0.72;0.08;0.48;0.68;0.33;0.37;0.70;0.12;0.42;0.41
GNB - smoothing 1e-18 ;0.57;0.72;0.08;0.48;0.68;0.33;0.37;0.70;0.12;0.42;0.41
GNB - smoothing 1e-19 ;0.57;0.71;0.08;0.48;0.71;0.33;0.31;0.71;0.12;0.38;0.40
GNB - smoothing 1e-20 ;0.60;0.71;0.08;0.55;0.77;0.33;0.25;0.74;0.12;0.34;0.40
GNB - smoothing 1e-21 ;0.60;0.71;0.08;0.55;0.77;0.33;0.25;0.74;0.12;0.34;0.40
GNB - smoothing 1e-22 ;0.60;0.71;0.08;0.55;0.77;0.33;0.25;0.74;0.12;0.34;0.40
GNB - smoothing 1e-23 ;0.60;0.71;0.08;0.55;0.77;0.33;0.25;0.74;0.12;0.34;0.40
GNB - smoothing 1e-24 ;0.60;0.71;0.08;0.55;0.77;0.33;0.25;0.74;0.12;0.34;0.40
GNB - smoothing 1e-25 ;0.60;0.71;0.08;0.55;0.77;0.33;0.25;0.74;0.12;0.34;0.40
GNB - smoothing 1e-26 ;0.60;0.71;0.08;0.55;0.77;0.33;0.25;0.74;0.12;0.34;0.40
GNB - smoothing 1e-27 ;0.60;0.71;0.08;0.55;0.77;0.33;0.25;0.74;0.12;0.34;0.40
GNB - smoothing 1e-28 ;0.60;0.71;0.08;0.55;0.77;0.33;0.25;0.74;0.12;0.34;0.40
GNB - smoothing 1e-29 ;0.60;0.71;0.08;0.55;0.77;0.33;0.25;0.74;0.12;0.34;0.40
GNB - smoothing 1e-30 ;0.60;0.71;0.08;0.55;0.77;0.33;0.25;0.74;0.12;0.34;0.40
