Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
GNB - smoothing 1e-01 ;0.35;0.91;0.15;0.47;0.20;0.83;0.68;0.33;0.26;0.55;0.38
GNB - smoothing 1e-02 ;0.48;0.79;0.15;0.43;0.46;0.48;0.57;0.58;0.23;0.49;0.43
GNB - smoothing 1e-03 ;0.60;0.79;0.16;0.48;0.65;0.30;0.57;0.71;0.21;0.52;0.48
GNB - smoothing 1e-04 ;0.59;0.77;0.19;0.44;0.65;0.35;0.50;0.70;0.24;0.47;0.47
GNB - smoothing 1e-05 ;0.59;0.77;0.19;0.44;0.65;0.35;0.50;0.70;0.24;0.47;0.47
GNB - smoothing 1e-06 ;0.58;0.77;0.18;0.43;0.63;0.35;0.50;0.69;0.24;0.47;0.47
GNB - smoothing 1e-07 ;0.58;0.77;0.18;0.43;0.63;0.35;0.50;0.69;0.24;0.47;0.47
GNB - smoothing 1e-08 ;0.58;0.77;0.18;0.43;0.63;0.35;0.50;0.69;0.24;0.47;0.47
GNB - smoothing 1e-09 ;0.58;0.77;0.18;0.43;0.63;0.35;0.50;0.69;0.24;0.47;0.47
GNB - smoothing 1e-10 ;0.58;0.77;0.18;0.43;0.63;0.35;0.50;0.69;0.24;0.47;0.47
GNB - smoothing 1e-11 ;0.58;0.77;0.18;0.43;0.63;0.35;0.50;0.69;0.24;0.47;0.47
GNB - smoothing 1e-12 ;0.58;0.77;0.18;0.43;0.63;0.35;0.50;0.69;0.24;0.47;0.47
GNB - smoothing 1e-13 ;0.58;0.77;0.18;0.43;0.63;0.35;0.50;0.69;0.24;0.47;0.47
GNB - smoothing 1e-14 ;0.58;0.77;0.18;0.45;0.63;0.35;0.53;0.70;0.24;0.48;0.47
GNB - smoothing 1e-15 ;0.58;0.77;0.18;0.45;0.63;0.35;0.53;0.70;0.24;0.48;0.47
GNB - smoothing 1e-16 ;0.58;0.77;0.18;0.45;0.63;0.35;0.53;0.70;0.24;0.48;0.47
GNB - smoothing 1e-17 ;0.58;0.77;0.18;0.45;0.63;0.35;0.53;0.70;0.24;0.48;0.47
GNB - smoothing 1e-18 ;0.58;0.77;0.18;0.45;0.63;0.35;0.53;0.70;0.24;0.48;0.47
GNB - smoothing 1e-19 ;0.57;0.76;0.18;0.42;0.63;0.35;0.47;0.69;0.24;0.45;0.46
GNB - smoothing 1e-20 ;0.58;0.74;0.18;0.44;0.66;0.35;0.38;0.70;0.24;0.41;0.45
GNB - smoothing 1e-21 ;0.58;0.74;0.18;0.44;0.66;0.35;0.38;0.70;0.24;0.41;0.45
GNB - smoothing 1e-22 ;0.58;0.74;0.18;0.44;0.66;0.35;0.38;0.70;0.24;0.41;0.45
GNB - smoothing 1e-23 ;0.58;0.74;0.18;0.44;0.66;0.35;0.38;0.70;0.24;0.41;0.45
GNB - smoothing 1e-24 ;0.58;0.74;0.18;0.44;0.66;0.35;0.38;0.70;0.24;0.41;0.45
GNB - smoothing 1e-25 ;0.58;0.74;0.18;0.44;0.66;0.35;0.38;0.70;0.24;0.41;0.45
GNB - smoothing 1e-26 ;0.58;0.74;0.18;0.44;0.66;0.35;0.38;0.70;0.24;0.41;0.45
GNB - smoothing 1e-27 ;0.58;0.74;0.18;0.44;0.66;0.35;0.38;0.70;0.24;0.41;0.45
GNB - smoothing 1e-28 ;0.58;0.74;0.18;0.44;0.66;0.35;0.38;0.70;0.24;0.41;0.45
GNB - smoothing 1e-29 ;0.58;0.74;0.18;0.44;0.66;0.35;0.38;0.70;0.24;0.41;0.45
GNB - smoothing 1e-30 ;0.58;0.74;0.18;0.44;0.66;0.35;0.38;0.70;0.24;0.41;0.45
