Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
GNB - smoothing 1e-01 ;0.28;0.72;0.09;0.39;0.12;0.43;0.55;0.21;0.14;0.45;0.27
GNB - smoothing 1e-02 ;0.45;0.74;0.12;0.38;0.43;0.26;0.56;0.55;0.16;0.45;0.39
GNB - smoothing 1e-03 ;0.56;0.67;0.17;0.44;0.70;0.17;0.40;0.69;0.17;0.42;0.43
GNB - smoothing 1e-04 ;0.54;0.65;0.09;0.41;0.70;0.09;0.34;0.67;0.09;0.37;0.38
GNB - smoothing 1e-05 ;0.54;0.64;0.08;0.42;0.71;0.09;0.33;0.68;0.09;0.37;0.38
GNB - smoothing 1e-06 ;0.53;0.64;0.08;0.42;0.70;0.09;0.33;0.67;0.08;0.37;0.37
GNB - smoothing 1e-07 ;0.53;0.64;0.08;0.42;0.70;0.09;0.33;0.67;0.08;0.37;0.37
GNB - smoothing 1e-08 ;0.53;0.64;0.08;0.42;0.70;0.09;0.33;0.67;0.08;0.37;0.37
GNB - smoothing 1e-09 ;0.53;0.64;0.08;0.42;0.70;0.09;0.33;0.67;0.08;0.37;0.37
GNB - smoothing 1e-10 ;0.53;0.64;0.08;0.42;0.70;0.09;0.33;0.67;0.08;0.37;0.37
GNB - smoothing 1e-11 ;0.53;0.64;0.08;0.42;0.70;0.09;0.33;0.67;0.08;0.37;0.37
GNB - smoothing 1e-12 ;0.53;0.64;0.08;0.42;0.70;0.09;0.33;0.67;0.08;0.37;0.37
GNB - smoothing 1e-13 ;0.53;0.64;0.08;0.42;0.70;0.09;0.33;0.67;0.08;0.37;0.37
GNB - smoothing 1e-14 ;0.53;0.64;0.08;0.42;0.70;0.09;0.33;0.67;0.08;0.37;0.37
GNB - smoothing 1e-15 ;0.53;0.64;0.08;0.42;0.70;0.09;0.33;0.67;0.08;0.37;0.37
GNB - smoothing 1e-16 ;0.53;0.64;0.08;0.42;0.70;0.09;0.33;0.67;0.08;0.37;0.37
GNB - smoothing 1e-17 ;0.53;0.64;0.08;0.42;0.70;0.09;0.33;0.67;0.08;0.37;0.37
GNB - smoothing 1e-18 ;0.53;0.64;0.08;0.42;0.70;0.09;0.33;0.67;0.08;0.37;0.37
GNB - smoothing 1e-19 ;0.55;0.65;0.08;0.46;0.76;0.09;0.29;0.70;0.08;0.35;0.38
GNB - smoothing 1e-20 ;0.54;0.62;0.08;0.42;0.79;0.09;0.18;0.70;0.08;0.25;0.34
GNB - smoothing 1e-21 ;0.54;0.62;0.08;0.40;0.79;0.09;0.16;0.69;0.08;0.23;0.34
GNB - smoothing 1e-22 ;0.54;0.62;0.08;0.40;0.79;0.09;0.16;0.69;0.08;0.23;0.34
GNB - smoothing 1e-23 ;0.54;0.62;0.08;0.40;0.79;0.09;0.16;0.69;0.08;0.23;0.34
GNB - smoothing 1e-24 ;0.54;0.62;0.08;0.40;0.79;0.09;0.16;0.69;0.08;0.23;0.34
GNB - smoothing 1e-25 ;0.54;0.62;0.08;0.40;0.79;0.09;0.16;0.69;0.08;0.23;0.34
GNB - smoothing 1e-26 ;0.54;0.62;0.08;0.40;0.79;0.09;0.16;0.69;0.08;0.23;0.34
GNB - smoothing 1e-27 ;0.54;0.62;0.08;0.40;0.79;0.09;0.16;0.69;0.08;0.23;0.34
GNB - smoothing 1e-28 ;0.54;0.62;0.08;0.40;0.79;0.09;0.16;0.69;0.08;0.23;0.34
GNB - smoothing 1e-29 ;0.54;0.62;0.08;0.40;0.79;0.09;0.16;0.69;0.08;0.23;0.34
GNB - smoothing 1e-30 ;0.54;0.62;0.08;0.40;0.79;0.09;0.16;0.69;0.08;0.23;0.34
