Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
GNB - smoothing 1e-01 ;0.34;0.67;0.14;0.65;0.18;0.89;0.41;0.28;0.25;0.50;0.34
GNB - smoothing 1e-02 ;0.51;0.58;0.19;0.68;0.40;0.56;0.62;0.47;0.29;0.65;0.47
GNB - smoothing 1e-03 ;0.58;0.61;0.14;0.73;0.60;0.22;0.65;0.61;0.17;0.69;0.49
GNB - smoothing 1e-04 ;0.59;0.62;0.15;0.73;0.62;0.22;0.65;0.62;0.18;0.69;0.50
GNB - smoothing 1e-05 ;0.58;0.63;0.13;0.73;0.60;0.22;0.65;0.61;0.17;0.69;0.49
GNB - smoothing 1e-06 ;0.58;0.63;0.13;0.73;0.60;0.22;0.65;0.61;0.17;0.69;0.49
GNB - smoothing 1e-07 ;0.58;0.63;0.13;0.73;0.60;0.22;0.65;0.61;0.17;0.69;0.49
GNB - smoothing 1e-08 ;0.58;0.63;0.13;0.73;0.60;0.22;0.65;0.61;0.17;0.69;0.49
GNB - smoothing 1e-09 ;0.58;0.63;0.13;0.73;0.60;0.22;0.65;0.61;0.17;0.69;0.49
GNB - smoothing 1e-10 ;0.58;0.63;0.13;0.73;0.60;0.22;0.65;0.61;0.17;0.69;0.49
GNB - smoothing 1e-11 ;0.58;0.63;0.13;0.73;0.60;0.22;0.65;0.61;0.17;0.69;0.49
GNB - smoothing 1e-12 ;0.57;0.63;0.12;0.72;0.60;0.22;0.62;0.61;0.16;0.67;0.48
GNB - smoothing 1e-13 ;0.55;0.63;0.11;0.70;0.60;0.22;0.57;0.61;0.15;0.63;0.46
GNB - smoothing 1e-14 ;0.55;0.63;0.11;0.70;0.60;0.22;0.57;0.61;0.15;0.63;0.46
GNB - smoothing 1e-15 ;0.55;0.63;0.11;0.70;0.60;0.22;0.57;0.61;0.15;0.63;0.46
GNB - smoothing 1e-16 ;0.54;0.63;0.11;0.69;0.60;0.22;0.54;0.61;0.14;0.61;0.45
GNB - smoothing 1e-17 ;0.54;0.63;0.11;0.69;0.60;0.22;0.54;0.61;0.14;0.61;0.45
GNB - smoothing 1e-18 ;0.54;0.63;0.11;0.69;0.60;0.22;0.54;0.61;0.14;0.61;0.45
GNB - smoothing 1e-19 ;0.54;0.61;0.11;0.74;0.67;0.22;0.46;0.64;0.14;0.57;0.45
GNB - smoothing 1e-20 ;0.49;0.56;0.11;0.82;0.76;0.22;0.24;0.64;0.14;0.38;0.39
GNB - smoothing 1e-21 ;0.49;0.56;0.11;0.82;0.76;0.22;0.24;0.64;0.14;0.38;0.39
GNB - smoothing 1e-22 ;0.49;0.56;0.11;0.82;0.76;0.22;0.24;0.64;0.14;0.38;0.39
GNB - smoothing 1e-23 ;0.47;0.56;0.10;0.78;0.76;0.22;0.19;0.64;0.13;0.30;0.36
GNB - smoothing 1e-24 ;0.47;0.56;0.10;0.78;0.76;0.22;0.19;0.64;0.13;0.30;0.36
GNB - smoothing 1e-25 ;0.47;0.56;0.10;0.78;0.76;0.22;0.19;0.64;0.13;0.30;0.36
GNB - smoothing 1e-26 ;0.47;0.56;0.10;0.78;0.76;0.22;0.19;0.64;0.13;0.30;0.36
GNB - smoothing 1e-27 ;0.47;0.56;0.10;0.78;0.76;0.22;0.19;0.64;0.13;0.30;0.36
GNB - smoothing 1e-28 ;0.47;0.56;0.10;0.78;0.76;0.22;0.19;0.64;0.13;0.30;0.36
GNB - smoothing 1e-29 ;0.47;0.56;0.10;0.78;0.76;0.22;0.19;0.64;0.13;0.30;0.36
GNB - smoothing 1e-30 ;0.47;0.56;0.10;0.78;0.76;0.22;0.19;0.64;0.13;0.30;0.36
