Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
GNB - smoothing 1e-01 ;0.36;0.79;0.20;0.38;0.19;0.72;0.71;0.31;0.32;0.49;0.37
GNB - smoothing 1e-02 ;0.47;0.78;0.26;0.34;0.41;0.56;0.65;0.54;0.35;0.44;0.44
GNB - smoothing 1e-03 ;0.58;0.70;0.22;0.32;0.72;0.16;0.35;0.71;0.19;0.34;0.41
GNB - smoothing 1e-04 ;0.61;0.70;0.25;0.38;0.77;0.16;0.35;0.73;0.20;0.37;0.43
GNB - smoothing 1e-05 ;0.61;0.70;0.25;0.38;0.77;0.16;0.35;0.73;0.20;0.37;0.43
GNB - smoothing 1e-06 ;0.61;0.70;0.25;0.38;0.77;0.16;0.35;0.73;0.20;0.37;0.43
GNB - smoothing 1e-07 ;0.61;0.70;0.25;0.38;0.77;0.16;0.35;0.73;0.20;0.37;0.43
GNB - smoothing 1e-08 ;0.61;0.70;0.25;0.38;0.77;0.16;0.35;0.73;0.20;0.37;0.43
GNB - smoothing 1e-09 ;0.61;0.70;0.25;0.38;0.77;0.16;0.35;0.73;0.20;0.37;0.43
GNB - smoothing 1e-10 ;0.61;0.70;0.25;0.38;0.77;0.16;0.35;0.73;0.20;0.37;0.43
GNB - smoothing 1e-11 ;0.61;0.70;0.25;0.38;0.77;0.16;0.35;0.73;0.20;0.37;0.43
GNB - smoothing 1e-12 ;0.61;0.70;0.25;0.38;0.77;0.16;0.35;0.73;0.20;0.37;0.43
GNB - smoothing 1e-13 ;0.61;0.70;0.25;0.38;0.77;0.16;0.35;0.73;0.20;0.37;0.43
GNB - smoothing 1e-14 ;0.61;0.70;0.25;0.38;0.77;0.16;0.35;0.73;0.20;0.37;0.43
GNB - smoothing 1e-15 ;0.61;0.70;0.25;0.38;0.77;0.16;0.35;0.73;0.20;0.37;0.43
GNB - smoothing 1e-16 ;0.61;0.70;0.25;0.38;0.77;0.16;0.35;0.73;0.20;0.37;0.43
GNB - smoothing 1e-17 ;0.61;0.70;0.25;0.38;0.77;0.16;0.35;0.73;0.20;0.37;0.43
GNB - smoothing 1e-18 ;0.61;0.70;0.25;0.38;0.77;0.16;0.35;0.73;0.20;0.37;0.43
GNB - smoothing 1e-19 ;0.63;0.71;0.25;0.44;0.80;0.16;0.35;0.75;0.20;0.39;0.45
GNB - smoothing 1e-20 ;0.64;0.70;0.25;0.47;0.84;0.16;0.23;0.76;0.20;0.30;0.42
GNB - smoothing 1e-21 ;0.65;0.70;0.25;0.55;0.87;0.16;0.19;0.77;0.20;0.29;0.42
GNB - smoothing 1e-22 ;0.65;0.70;0.25;0.55;0.87;0.16;0.19;0.77;0.20;0.29;0.42
GNB - smoothing 1e-23 ;0.65;0.70;0.25;0.55;0.87;0.16;0.19;0.77;0.20;0.29;0.42
GNB - smoothing 1e-24 ;0.65;0.70;0.25;0.55;0.87;0.16;0.19;0.77;0.20;0.29;0.42
GNB - smoothing 1e-25 ;0.65;0.70;0.25;0.55;0.87;0.16;0.19;0.77;0.20;0.29;0.42
GNB - smoothing 1e-26 ;0.65;0.70;0.25;0.55;0.87;0.16;0.19;0.77;0.20;0.29;0.42
GNB - smoothing 1e-27 ;0.65;0.70;0.25;0.55;0.87;0.16;0.19;0.77;0.20;0.29;0.42
GNB - smoothing 1e-28 ;0.65;0.70;0.25;0.55;0.87;0.16;0.19;0.77;0.20;0.29;0.42
GNB - smoothing 1e-29 ;0.65;0.70;0.25;0.55;0.87;0.16;0.19;0.77;0.20;0.29;0.42
GNB - smoothing 1e-30 ;0.65;0.70;0.25;0.55;0.87;0.16;0.19;0.77;0.20;0.29;0.42
