Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
GNB - smoothing 1e-01 ;0.44;0.89;0.29;0.12;0.36;0.71;0.60;0.51;0.41;0.21;0.37
GNB - smoothing 1e-02 ;0.51;0.83;0.37;0.16;0.44;0.71;0.80;0.58;0.49;0.27;0.44
GNB - smoothing 1e-03 ;0.49;0.72;0.25;0.15;0.52;0.29;0.80;0.61;0.27;0.26;0.38
GNB - smoothing 1e-04 ;0.48;0.71;0.25;0.14;0.52;0.25;0.80;0.60;0.25;0.24;0.36
GNB - smoothing 1e-05 ;0.47;0.71;0.24;0.11;0.52;0.25;0.60;0.60;0.24;0.18;0.34
GNB - smoothing 1e-06 ;0.47;0.71;0.24;0.11;0.52;0.25;0.60;0.60;0.24;0.18;0.34
GNB - smoothing 1e-07 ;0.47;0.71;0.24;0.11;0.52;0.25;0.60;0.60;0.24;0.18;0.34
GNB - smoothing 1e-08 ;0.47;0.71;0.24;0.11;0.52;0.25;0.60;0.60;0.24;0.18;0.34
GNB - smoothing 1e-09 ;0.47;0.71;0.24;0.11;0.52;0.25;0.60;0.60;0.24;0.18;0.34
GNB - smoothing 1e-10 ;0.47;0.71;0.24;0.11;0.52;0.25;0.60;0.60;0.24;0.18;0.34
GNB - smoothing 1e-11 ;0.47;0.71;0.24;0.11;0.52;0.25;0.60;0.60;0.24;0.18;0.34
GNB - smoothing 1e-12 ;0.47;0.71;0.24;0.11;0.52;0.25;0.60;0.60;0.24;0.18;0.34
GNB - smoothing 1e-13 ;0.47;0.71;0.24;0.11;0.52;0.25;0.60;0.60;0.24;0.18;0.34
GNB - smoothing 1e-14 ;0.47;0.71;0.24;0.11;0.52;0.25;0.60;0.60;0.24;0.18;0.34
GNB - smoothing 1e-15 ;0.47;0.71;0.24;0.11;0.52;0.25;0.60;0.60;0.24;0.18;0.34
GNB - smoothing 1e-16 ;0.47;0.71;0.24;0.11;0.52;0.25;0.60;0.60;0.24;0.18;0.34
GNB - smoothing 1e-17 ;0.47;0.71;0.24;0.11;0.52;0.25;0.60;0.60;0.24;0.18;0.34
GNB - smoothing 1e-18 ;0.47;0.71;0.24;0.11;0.52;0.25;0.60;0.60;0.24;0.18;0.34
GNB - smoothing 1e-19 ;0.50;0.73;0.24;0.12;0.57;0.25;0.60;0.64;0.24;0.21;0.36
GNB - smoothing 1e-20 ;0.61;0.76;0.24;0.20;0.71;0.25;0.40;0.74;0.24;0.27;0.42
GNB - smoothing 1e-21 ;0.61;0.76;0.24;0.22;0.72;0.25;0.40;0.74;0.24;0.29;0.42
GNB - smoothing 1e-22 ;0.61;0.76;0.24;0.22;0.72;0.25;0.40;0.74;0.24;0.29;0.42
GNB - smoothing 1e-23 ;0.61;0.76;0.24;0.22;0.72;0.25;0.40;0.74;0.24;0.29;0.42
GNB - smoothing 1e-24 ;0.61;0.76;0.24;0.22;0.72;0.25;0.40;0.74;0.24;0.29;0.42
GNB - smoothing 1e-25 ;0.61;0.76;0.24;0.22;0.72;0.25;0.40;0.74;0.24;0.29;0.42
GNB - smoothing 1e-26 ;0.61;0.76;0.24;0.22;0.72;0.25;0.40;0.74;0.24;0.29;0.42
GNB - smoothing 1e-27 ;0.61;0.76;0.24;0.22;0.72;0.25;0.40;0.74;0.24;0.29;0.42
GNB - smoothing 1e-28 ;0.61;0.76;0.24;0.22;0.72;0.25;0.40;0.74;0.24;0.29;0.42
GNB - smoothing 1e-29 ;0.61;0.76;0.24;0.22;0.72;0.25;0.40;0.74;0.24;0.29;0.42
GNB - smoothing 1e-30 ;0.61;0.76;0.24;0.22;0.72;0.25;0.40;0.74;0.24;0.29;0.42
