Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
GNB - smoothing 1e-01 ;0.27;0.75;0.14;0.36;0.14;0.71;0.53;0.24;0.23;0.43;0.30
GNB - smoothing 1e-02 ;0.33;0.75;0.14;0.33;0.25;0.64;0.47;0.38;0.23;0.39;0.33
GNB - smoothing 1e-03 ;0.44;0.78;0.17;0.29;0.42;0.57;0.40;0.55;0.27;0.33;0.38
GNB - smoothing 1e-04 ;0.45;0.78;0.18;0.32;0.42;0.57;0.47;0.55;0.27;0.38;0.40
GNB - smoothing 1e-05 ;0.45;0.78;0.17;0.33;0.42;0.57;0.47;0.55;0.27;0.39;0.40
GNB - smoothing 1e-06 ;0.43;0.77;0.17;0.30;0.40;0.57;0.47;0.52;0.27;0.37;0.39
GNB - smoothing 1e-07 ;0.43;0.77;0.17;0.30;0.40;0.57;0.47;0.52;0.27;0.37;0.39
GNB - smoothing 1e-08 ;0.43;0.77;0.17;0.30;0.40;0.57;0.47;0.52;0.27;0.37;0.39
GNB - smoothing 1e-09 ;0.43;0.77;0.17;0.30;0.40;0.57;0.47;0.52;0.27;0.37;0.39
GNB - smoothing 1e-10 ;0.42;0.76;0.17;0.29;0.39;0.57;0.47;0.51;0.27;0.36;0.38
GNB - smoothing 1e-11 ;0.42;0.76;0.17;0.29;0.39;0.57;0.47;0.51;0.27;0.36;0.38
GNB - smoothing 1e-12 ;0.42;0.76;0.17;0.29;0.39;0.57;0.47;0.51;0.27;0.36;0.38
GNB - smoothing 1e-13 ;0.42;0.76;0.17;0.29;0.39;0.57;0.47;0.51;0.27;0.36;0.38
GNB - smoothing 1e-14 ;0.42;0.76;0.17;0.29;0.39;0.57;0.47;0.51;0.27;0.36;0.38
GNB - smoothing 1e-15 ;0.42;0.76;0.17;0.29;0.39;0.57;0.47;0.51;0.27;0.36;0.38
GNB - smoothing 1e-16 ;0.42;0.76;0.17;0.29;0.39;0.57;0.47;0.51;0.27;0.36;0.38
GNB - smoothing 1e-17 ;0.42;0.76;0.17;0.29;0.39;0.57;0.47;0.51;0.27;0.36;0.38
GNB - smoothing 1e-18 ;0.42;0.76;0.17;0.29;0.39;0.57;0.47;0.51;0.27;0.36;0.38
GNB - smoothing 1e-19 ;0.45;0.78;0.17;0.33;0.42;0.57;0.47;0.55;0.27;0.39;0.40
GNB - smoothing 1e-20 ;0.46;0.73;0.17;0.20;0.49;0.57;0.13;0.59;0.27;0.16;0.34
GNB - smoothing 1e-21 ;0.46;0.73;0.17;0.20;0.49;0.57;0.13;0.59;0.27;0.16;0.34
GNB - smoothing 1e-22 ;0.46;0.73;0.17;0.20;0.49;0.57;0.13;0.59;0.27;0.16;0.34
GNB - smoothing 1e-23 ;0.46;0.73;0.17;0.20;0.49;0.57;0.13;0.59;0.27;0.16;0.34
GNB - smoothing 1e-24 ;0.46;0.73;0.17;0.20;0.49;0.57;0.13;0.59;0.27;0.16;0.34
GNB - smoothing 1e-25 ;0.46;0.73;0.17;0.20;0.49;0.57;0.13;0.59;0.27;0.16;0.34
GNB - smoothing 1e-26 ;0.46;0.73;0.17;0.20;0.49;0.57;0.13;0.59;0.27;0.16;0.34
GNB - smoothing 1e-27 ;0.46;0.73;0.17;0.20;0.49;0.57;0.13;0.59;0.27;0.16;0.34
GNB - smoothing 1e-28 ;0.46;0.73;0.17;0.20;0.49;0.57;0.13;0.59;0.27;0.16;0.34
GNB - smoothing 1e-29 ;0.46;0.73;0.17;0.20;0.49;0.57;0.13;0.59;0.27;0.16;0.34
GNB - smoothing 1e-30 ;0.46;0.73;0.17;0.20;0.49;0.57;0.13;0.59;0.27;0.16;0.34
