Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
GNB - smoothing 1e-01 ;0.38;0.68;0.07;0.59;0.17;0.67;0.57;0.28;0.13;0.58;0.33
GNB - smoothing 1e-02 ;0.47;0.58;0.12;0.56;0.39;0.56;0.56;0.47;0.19;0.56;0.41
GNB - smoothing 1e-03 ;0.54;0.57;0.14;0.62;0.65;0.33;0.43;0.61;0.20;0.51;0.44
GNB - smoothing 1e-04 ;0.54;0.56;0.11;0.63;0.68;0.22;0.41;0.62;0.14;0.50;0.42
GNB - smoothing 1e-05 ;0.54;0.56;0.10;0.64;0.68;0.22;0.41;0.62;0.14;0.50;0.42
GNB - smoothing 1e-06 ;0.54;0.56;0.10;0.64;0.68;0.22;0.41;0.62;0.14;0.50;0.42
GNB - smoothing 1e-07 ;0.54;0.56;0.10;0.64;0.68;0.22;0.41;0.62;0.14;0.50;0.42
GNB - smoothing 1e-08 ;0.54;0.56;0.10;0.64;0.68;0.22;0.41;0.62;0.14;0.50;0.42
GNB - smoothing 1e-09 ;0.54;0.56;0.10;0.64;0.68;0.22;0.41;0.62;0.14;0.50;0.42
GNB - smoothing 1e-10 ;0.54;0.56;0.10;0.64;0.68;0.22;0.41;0.62;0.14;0.50;0.42
GNB - smoothing 1e-11 ;0.54;0.56;0.10;0.64;0.68;0.22;0.41;0.62;0.14;0.50;0.42
GNB - smoothing 1e-12 ;0.54;0.56;0.10;0.64;0.68;0.22;0.41;0.62;0.14;0.50;0.42
GNB - smoothing 1e-13 ;0.54;0.56;0.10;0.64;0.68;0.22;0.41;0.62;0.14;0.50;0.42
GNB - smoothing 1e-14 ;0.54;0.56;0.10;0.64;0.68;0.22;0.41;0.62;0.14;0.50;0.42
GNB - smoothing 1e-15 ;0.54;0.56;0.10;0.64;0.68;0.22;0.41;0.62;0.14;0.50;0.42
GNB - smoothing 1e-16 ;0.54;0.56;0.10;0.64;0.68;0.22;0.41;0.62;0.14;0.50;0.42
GNB - smoothing 1e-17 ;0.54;0.56;0.10;0.64;0.68;0.22;0.41;0.62;0.14;0.50;0.42
GNB - smoothing 1e-18 ;0.54;0.56;0.10;0.64;0.68;0.22;0.41;0.62;0.14;0.50;0.42
GNB - smoothing 1e-19 ;0.50;0.53;0.10;0.59;0.69;0.22;0.32;0.60;0.14;0.42;0.39
GNB - smoothing 1e-20 ;0.51;0.53;0.10;0.67;0.79;0.22;0.24;0.64;0.14;0.36;0.38
GNB - smoothing 1e-21 ;0.51;0.53;0.10;0.67;0.79;0.22;0.24;0.64;0.14;0.36;0.38
GNB - smoothing 1e-22 ;0.51;0.53;0.10;0.67;0.79;0.22;0.24;0.64;0.14;0.36;0.38
GNB - smoothing 1e-23 ;0.51;0.53;0.10;0.67;0.79;0.22;0.24;0.64;0.14;0.36;0.38
GNB - smoothing 1e-24 ;0.51;0.53;0.10;0.67;0.79;0.22;0.24;0.64;0.14;0.36;0.38
GNB - smoothing 1e-25 ;0.51;0.53;0.10;0.67;0.79;0.22;0.24;0.64;0.14;0.36;0.38
GNB - smoothing 1e-26 ;0.51;0.53;0.10;0.67;0.79;0.22;0.24;0.64;0.14;0.36;0.38
GNB - smoothing 1e-27 ;0.51;0.53;0.10;0.67;0.79;0.22;0.24;0.64;0.14;0.36;0.38
GNB - smoothing 1e-28 ;0.51;0.53;0.10;0.67;0.79;0.22;0.24;0.64;0.14;0.36;0.38
GNB - smoothing 1e-29 ;0.51;0.53;0.10;0.67;0.79;0.22;0.24;0.64;0.14;0.36;0.38
GNB - smoothing 1e-30 ;0.51;0.53;0.10;0.67;0.79;0.22;0.24;0.64;0.14;0.36;0.38
