Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
KNN com k=1;0.58;0.68;0.17;0.34;0.75;0.22;0.25;0.71;0.19;0.29;0.40
KNN com k=2;0.57;0.67;0.10;0.48;0.78;0.44;0.13;0.72;0.16;0.21;0.36
KNN com k=3;0.53;0.67;0.06;0.38;0.65;0.22;0.30;0.66;0.09;0.33;0.36
KNN com k=4;0.54;0.68;0.07;0.33;0.71;0.22;0.21;0.69;0.11;0.26;0.35
KNN com k=5;0.57;0.69;0.15;0.34;0.72;0.33;0.26;0.70;0.21;0.30;0.40
KNN com k=6;0.57;0.68;0.14;0.36;0.74;0.33;0.24;0.71;0.19;0.29;0.40
KNN com k=7;0.61;0.69;0.21;0.40;0.78;0.33;0.27;0.73;0.26;0.33;0.44
KNN com k=8;0.56;0.66;0.08;0.32;0.74;0.11;0.23;0.70;0.09;0.27;0.35
KNN com k=9;0.60;0.68;0.18;0.38;0.79;0.22;0.24;0.73;0.20;0.29;0.41
KNN com k=10;0.60;0.68;0.00;0.38;0.80;0.00;0.25;0.74;0.00;0.30;0.35
KNN com k=11;0.61;0.68;0.14;0.41;0.80;0.11;0.27;0.74;0.12;0.33;0.40
KNN com k=12;0.60;0.67;0.00;0.39;0.79;0.00;0.26;0.73;0.00;0.31;0.35
KNN com k=13;0.62;0.68;0.25;0.42;0.82;0.11;0.26;0.74;0.15;0.32;0.41
KNN com k=14;0.60;0.67;0.00;0.39;0.79;0.00;0.26;0.72;0.00;0.31;0.35
KNN com k=15;0.59;0.66;0.00;0.37;0.77;0.00;0.27;0.71;0.00;0.31;0.34
KNN com k=16;0.57;0.66;0.00;0.34;0.74;0.00;0.27;0.70;0.00;0.30;0.33
KNN com k=17;0.59;0.67;0.00;0.38;0.75;0.00;0.31;0.71;0.00;0.34;0.35
KNN com k=18;0.59;0.67;0.00;0.38;0.74;0.00;0.33;0.71;0.00;0.35;0.35
KNN com k=19;0.64;0.70;0.00;0.46;0.80;0.00;0.36;0.75;0.00;0.40;0.38
KNN com k=20;0.64;0.69;0.00;0.45;0.80;0.00;0.35;0.74;0.00;0.39;0.38
KNN com k=21;0.65;0.69;0.00;0.47;0.84;0.00;0.31;0.76;0.00;0.37;0.38
KNN com k=22;0.63;0.69;0.00;0.44;0.79;0.00;0.35;0.74;0.00;0.39;0.37
KNN com k=23;0.63;0.69;0.00;0.45;0.80;0.00;0.35;0.74;0.00;0.39;0.38
KNN com k=24;0.63;0.69;0.00;0.44;0.80;0.00;0.32;0.74;0.00;0.37;0.37
KNN com k=25;0.61;0.68;0.00;0.41;0.78;0.00;0.33;0.73;0.00;0.37;0.36
KNN com k=26;0.63;0.68;0.00;0.44;0.82;0.00;0.30;0.75;0.00;0.35;0.37
KNN com k=27;0.64;0.68;0.00;0.46;0.85;0.00;0.27;0.76;0.00;0.34;0.37
KNN com k=28;0.64;0.68;0.00;0.46;0.85;0.00;0.26;0.76;0.00;0.33;0.36
KNN com k=29;0.67;0.69;0.00;0.52;0.89;0.00;0.26;0.78;0.00;0.35;0.38
KNN com k=30;0.66;0.69;0.00;0.50;0.88;0.00;0.25;0.77;0.00;0.33;0.37
