Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
KNN com k=1;0.62;0.75;0.25;0.33;0.75;0.17;0.38;0.75;0.21;0.35;0.44
KNN com k=2;0.59;0.70;0.18;0.36;0.75;0.30;0.10;0.72;0.23;0.16;0.37
KNN com k=3;0.61;0.74;0.23;0.29;0.75;0.26;0.25;0.74;0.24;0.27;0.42
KNN com k=4;0.57;0.70;0.06;0.21;0.75;0.04;0.17;0.72;0.05;0.19;0.32
KNN com k=5;0.65;0.74;0.18;0.37;0.82;0.13;0.28;0.78;0.15;0.31;0.41
KNN com k=6;0.67;0.73;0.36;0.24;0.88;0.17;0.12;0.80;0.24;0.16;0.40
KNN com k=7;0.67;0.72;0.12;0.40;0.88;0.04;0.20;0.79;0.06;0.27;0.38
KNN com k=8;0.67;0.72;0.14;0.30;0.89;0.04;0.15;0.80;0.07;0.20;0.35
KNN com k=9;0.67;0.73;0.17;0.31;0.88;0.04;0.20;0.80;0.07;0.24;0.37
KNN com k=10;0.70;0.74;0.00;0.38;0.92;0.00;0.23;0.82;0.00;0.28;0.37
KNN com k=11;0.70;0.74;0.00;0.36;0.92;0.00;0.23;0.82;0.00;0.28;0.37
KNN com k=12;0.71;0.74;0.00;0.43;0.94;0.00;0.23;0.83;0.00;0.30;0.37
KNN com k=13;0.71;0.74;0.00;0.47;0.94;0.00;0.23;0.82;0.00;0.31;0.38
KNN com k=14;0.72;0.73;0.00;0.53;0.95;0.00;0.23;0.83;0.00;0.32;0.38
KNN com k=15;0.72;0.75;0.33;0.50;0.95;0.04;0.23;0.84;0.08;0.31;0.41
KNN com k=16;0.71;0.73;0.00;0.47;0.95;0.00;0.20;0.83;0.00;0.28;0.37
KNN com k=17;0.72;0.74;0.25;0.50;0.94;0.04;0.23;0.83;0.07;0.31;0.41
KNN com k=18;0.72;0.74;0.00;0.58;0.95;0.00;0.28;0.83;0.00;0.37;0.40
KNN com k=19;0.72;0.75;1.00;0.50;0.95;0.04;0.25;0.84;0.08;0.33;0.42
KNN com k=20;0.72;0.74;0.00;0.56;0.95;0.00;0.25;0.83;0.00;0.34;0.39
KNN com k=21;0.72;0.74;0.00;0.56;0.95;0.00;0.25;0.83;0.00;0.34;0.39
KNN com k=22;0.72;0.74;0.00;0.53;0.95;0.00;0.25;0.83;0.00;0.34;0.39
KNN com k=23;0.73;0.74;0.00;0.59;0.96;0.00;0.25;0.84;0.00;0.35;0.40
KNN com k=24;0.73;0.74;0.00;0.58;0.95;0.00;0.28;0.84;0.00;0.37;0.40
KNN com k=25;0.74;0.75;0.00;0.65;0.97;0.00;0.28;0.84;0.00;0.39;0.41
KNN com k=26;0.74;0.75;0.00;0.63;0.96;0.00;0.30;0.84;0.00;0.41;0.42
KNN com k=27;0.75;0.75;0.00;0.72;0.97;0.00;0.33;0.85;0.00;0.45;0.43
KNN com k=28;0.74;0.75;0.00;0.71;0.97;0.00;0.30;0.84;0.00;0.42;0.42
KNN com k=29;0.75;0.75;0.00;0.76;0.97;0.00;0.33;0.85;0.00;0.46;0.43
KNN com k=30;0.75;0.75;0.00;0.75;0.97;0.00;0.30;0.85;0.00;0.43;0.42
