Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
KNN com k=1;0.59;0.67;0.36;0.45;0.74;0.22;0.41;0.70;0.27;0.43;0.47
KNN com k=2;0.61;0.68;0.18;0.66;0.84;0.26;0.26;0.75;0.21;0.37;0.45
KNN com k=3;0.58;0.67;0.28;0.45;0.70;0.22;0.44;0.69;0.24;0.44;0.46
KNN com k=4;0.62;0.66;0.14;0.52;0.86;0.04;0.32;0.75;0.07;0.39;0.40
KNN com k=5;0.63;0.66;0.00;0.57;0.84;0.00;0.38;0.74;0.00;0.46;0.40
KNN com k=6;0.65;0.67;0.25;0.60;0.90;0.04;0.34;0.77;0.07;0.43;0.43
KNN com k=7;0.59;0.65;0.00;0.45;0.76;0.00;0.44;0.70;0.00;0.44;0.38
KNN com k=8;0.59;0.64;0.00;0.45;0.78;0.00;0.38;0.70;0.00;0.41;0.37
KNN com k=9;0.59;0.65;0.00;0.45;0.77;0.00;0.41;0.70;0.00;0.43;0.38
KNN com k=10;0.65;0.66;1.00;0.57;0.89;0.04;0.36;0.76;0.08;0.44;0.43
KNN com k=11;0.66;0.68;1.00;0.60;0.87;0.04;0.44;0.76;0.08;0.51;0.45
KNN com k=12;0.66;0.67;0.00;0.61;0.91;0.00;0.34;0.77;0.00;0.44;0.40
KNN com k=13;0.64;0.66;0.00;0.57;0.88;0.00;0.36;0.75;0.00;0.44;0.40
KNN com k=14;0.63;0.65;0.00;0.52;0.89;0.00;0.30;0.75;0.00;0.38;0.38
KNN com k=15;0.64;0.66;0.00;0.58;0.89;0.00;0.36;0.76;0.00;0.44;0.40
KNN com k=16;0.64;0.66;0.00;0.58;0.91;0.00;0.30;0.76;0.00;0.40;0.39
KNN com k=17;0.64;0.66;0.00;0.58;0.89;0.00;0.34;0.76;0.00;0.43;0.40
KNN com k=18;0.64;0.65;0.00;0.59;0.91;0.00;0.30;0.76;0.00;0.40;0.39
KNN com k=19;0.63;0.65;0.00;0.52;0.89;0.00;0.30;0.75;0.00;0.38;0.38
KNN com k=20;0.63;0.64;0.00;0.58;0.92;0.00;0.25;0.75;0.00;0.35;0.37
KNN com k=21;0.64;0.64;0.00;0.58;0.92;0.00;0.26;0.76;0.00;0.36;0.37
KNN com k=22;0.61;0.62;0.00;0.48;0.92;0.00;0.16;0.74;0.00;0.24;0.33
KNN com k=23;0.61;0.63;0.00;0.52;0.91;0.00;0.21;0.74;0.00;0.29;0.35
KNN com k=24;0.63;0.63;0.00;0.57;0.93;0.00;0.22;0.75;0.00;0.32;0.36
KNN com k=25;0.62;0.63;0.00;0.52;0.92;0.00;0.21;0.75;0.00;0.29;0.35
KNN com k=26;0.63;0.64;0.00;0.56;0.93;0.00;0.21;0.76;0.00;0.30;0.35
KNN com k=27;0.63;0.64;0.00;0.58;0.95;0.00;0.19;0.76;0.00;0.29;0.35
KNN com k=28;0.63;0.63;0.00;0.57;0.95;0.00;0.18;0.76;0.00;0.27;0.34
KNN com k=29;0.62;0.63;0.00;0.52;0.93;0.00;0.18;0.75;0.00;0.27;0.34
KNN com k=30;0.63;0.63;0.00;0.57;0.95;0.00;0.18;0.76;0.00;0.27;0.34
