Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
KNN com k=1;0.51;0.67;0.23;0.17;0.65;0.12;0.26;0.66;0.16;0.21;0.34
KNN com k=2;0.55;0.67;0.20;0.23;0.72;0.20;0.16;0.70;0.20;0.19;0.36
KNN com k=3;0.57;0.70;0.14;0.24;0.75;0.08;0.26;0.72;0.10;0.25;0.36
KNN com k=4;0.60;0.69;0.18;0.22;0.82;0.08;0.16;0.75;0.11;0.19;0.35
KNN com k=5;0.63;0.71;0.14;0.43;0.83;0.08;0.29;0.77;0.10;0.35;0.41
KNN com k=6;0.61;0.70;0.08;0.35;0.82;0.04;0.26;0.75;0.05;0.30;0.37
KNN com k=7;0.63;0.70;0.14;0.33;0.85;0.04;0.26;0.77;0.06;0.29;0.37
KNN com k=8;0.64;0.70;0.22;0.31;0.88;0.08;0.16;0.78;0.12;0.21;0.37
KNN com k=9;0.63;0.70;0.12;0.28;0.88;0.04;0.16;0.78;0.06;0.20;0.35
KNN com k=10;0.64;0.70;0.14;0.33;0.88;0.04;0.19;0.78;0.06;0.24;0.36
KNN com k=11;0.64;0.71;0.12;0.39;0.83;0.04;0.35;0.77;0.06;0.37;0.40
KNN com k=12;0.66;0.72;0.14;0.43;0.89;0.04;0.29;0.80;0.06;0.35;0.40
KNN com k=13;0.68;0.73;0.20;0.45;0.91;0.04;0.32;0.81;0.07;0.38;0.42
KNN com k=14;0.67;0.72;0.20;0.40;0.91;0.04;0.26;0.80;0.07;0.31;0.39
KNN com k=15;0.68;0.72;0.20;0.45;0.91;0.04;0.29;0.80;0.07;0.35;0.41
KNN com k=16;0.67;0.71;0.50;0.38;0.91;0.04;0.26;0.80;0.07;0.31;0.39
KNN com k=17;0.71;0.73;1.00;0.56;0.95;0.04;0.32;0.82;0.08;0.41;0.44
KNN com k=18;0.66;0.71;0.50;0.33;0.92;0.04;0.19;0.80;0.07;0.24;0.37
KNN com k=19;0.70;0.73;1.00;0.50;0.95;0.04;0.29;0.82;0.08;0.37;0.42
KNN com k=20;0.70;0.72;0.50;0.50;0.94;0.04;0.29;0.82;0.07;0.37;0.42
KNN com k=21;0.70;0.73;1.00;0.50;0.95;0.04;0.29;0.82;0.08;0.37;0.42
KNN com k=22;0.69;0.72;0.00;0.41;0.95;0.00;0.23;0.82;0.00;0.29;0.37
KNN com k=23;0.69;0.72;0.00;0.44;0.95;0.00;0.26;0.82;0.00;0.33;0.38
KNN com k=24;0.70;0.72;0.00;0.47;0.96;0.00;0.26;0.82;0.00;0.33;0.39
KNN com k=25;0.69;0.72;0.00;0.45;0.94;0.00;0.29;0.82;0.00;0.35;0.39
KNN com k=26;0.70;0.73;0.00;0.47;0.95;0.00;0.29;0.82;0.00;0.36;0.39
KNN com k=27;0.71;0.73;0.00;0.53;0.96;0.00;0.32;0.83;0.00;0.40;0.41
KNN com k=28;0.72;0.73;1.00;0.53;0.97;0.04;0.29;0.83;0.08;0.38;0.43
KNN com k=29;0.72;0.74;0.00;0.59;0.97;0.00;0.32;0.84;0.00;0.42;0.42
KNN com k=30;0.72;0.74;1.00;0.56;0.97;0.04;0.29;0.84;0.08;0.38;0.43
