Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
KNN com k=1;0.51;0.75;0.33;0.03;0.63;0.12;0.20;0.69;0.18;0.05;0.31
KNN com k=2;0.61;0.76;0.29;0.00;0.77;0.17;0.00;0.76;0.21;0.00;0.32
KNN com k=3;0.61;0.77;0.50;0.04;0.77;0.12;0.20;0.77;0.20;0.07;0.35
KNN com k=4;0.66;0.76;0.50;0.06;0.84;0.04;0.20;0.80;0.08;0.09;0.32
KNN com k=5;0.68;0.76;0.67;0.08;0.87;0.08;0.20;0.81;0.15;0.11;0.36
KNN com k=6;0.76;0.81;0.70;0.25;0.91;0.29;0.40;0.86;0.41;0.31;0.53
KNN com k=7;0.71;0.78;0.75;0.17;0.89;0.12;0.40;0.83;0.21;0.24;0.43
KNN com k=8;0.76;0.78;0.75;0.40;0.96;0.12;0.40;0.86;0.21;0.40;0.49
KNN com k=9;0.75;0.79;1.00;0.22;0.93;0.12;0.40;0.85;0.22;0.29;0.45
KNN com k=10;0.74;0.77;1.00;0.25;0.94;0.04;0.40;0.85;0.08;0.31;0.41
KNN com k=11;0.75;0.79;1.00;0.22;0.94;0.08;0.40;0.86;0.15;0.29;0.43
KNN com k=12;0.76;0.78;1.00;0.29;0.97;0.04;0.40;0.87;0.08;0.33;0.43
KNN com k=13;0.74;0.77;0.00;0.33;0.94;0.00;0.60;0.85;0.00;0.43;0.43
KNN com k=14;0.74;0.77;1.00;0.29;0.94;0.04;0.40;0.85;0.08;0.33;0.42
KNN com k=15;0.75;0.77;1.00;0.29;0.96;0.04;0.40;0.86;0.08;0.33;0.42
KNN com k=16;0.75;0.77;0.00;0.33;0.97;0.00;0.40;0.86;0.00;0.36;0.41
KNN com k=17;0.74;0.77;0.00;0.25;0.96;0.00;0.40;0.86;0.00;0.31;0.39
KNN com k=18;0.75;0.77;0.00;0.33;0.97;0.00;0.40;0.86;0.00;0.36;0.41
KNN com k=19;0.75;0.77;0.00;0.33;0.97;0.00;0.40;0.86;0.00;0.36;0.41
KNN com k=20;0.74;0.77;0.00;0.29;0.96;0.00;0.40;0.85;0.00;0.33;0.39
KNN com k=21;0.74;0.77;0.00;0.25;0.96;0.00;0.40;0.86;0.00;0.31;0.39
KNN com k=22;0.74;0.77;0.00;0.25;0.96;0.00;0.40;0.86;0.00;0.31;0.39
KNN com k=23;0.74;0.77;0.00;0.25;0.96;0.00;0.40;0.86;0.00;0.31;0.39
KNN com k=24;0.74;0.77;0.00;0.29;0.96;0.00;0.40;0.85;0.00;0.33;0.39
KNN com k=25;0.75;0.77;0.00;0.33;0.97;0.00;0.40;0.86;0.00;0.36;0.41
KNN com k=26;0.76;0.77;0.00;0.40;0.98;0.00;0.40;0.86;0.00;0.40;0.42
KNN com k=27;0.76;0.77;0.00;0.40;0.98;0.00;0.40;0.86;0.00;0.40;0.42
KNN com k=28;0.74;0.76;0.00;0.20;0.97;0.00;0.20;0.85;0.00;0.20;0.35
KNN com k=29;0.74;0.76;0.00;0.20;0.97;0.00;0.20;0.85;0.00;0.20;0.35
KNN com k=30;0.74;0.75;0.00;0.00;0.98;0.00;0.00;0.85;0.00;0.00;0.28
