Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
KNN com k=1;0.61;0.78;0.16;0.35;0.71;0.21;0.40;0.74;0.18;0.38;0.43
KNN com k=2;0.58;0.74;0.15;0.38;0.70;0.29;0.20;0.72;0.20;0.26;0.39
KNN com k=3;0.67;0.76;0.00;0.36;0.84;0.00;0.33;0.80;0.00;0.34;0.38
KNN com k=4;0.66;0.74;0.00;0.25;0.86;0.00;0.20;0.79;0.00;0.22;0.34
KNN com k=5;0.70;0.77;0.00;0.31;0.88;0.00;0.33;0.82;0.00;0.32;0.38
KNN com k=6;0.72;0.77;0.00;0.38;0.92;0.00;0.33;0.84;0.00;0.36;0.40
KNN com k=7;0.72;0.77;0.00;0.40;0.90;0.00;0.40;0.83;0.00;0.40;0.41
KNN com k=8;0.72;0.77;0.00;0.38;0.92;0.00;0.33;0.84;0.00;0.36;0.40
KNN com k=9;0.71;0.77;0.00;0.36;0.90;0.00;0.33;0.83;0.00;0.34;0.39
KNN com k=10;0.73;0.77;0.00;0.42;0.93;0.00;0.33;0.84;0.00;0.37;0.40
KNN com k=11;0.73;0.77;0.00;0.42;0.93;0.00;0.33;0.84;0.00;0.37;0.40
KNN com k=12;0.73;0.77;0.00;0.42;0.93;0.00;0.33;0.84;0.00;0.37;0.40
KNN com k=13;0.72;0.76;0.00;0.45;0.92;0.00;0.33;0.83;0.00;0.38;0.41
KNN com k=14;0.71;0.75;0.00;0.40;0.92;0.00;0.27;0.83;0.00;0.32;0.38
KNN com k=15;0.70;0.75;0.00;0.36;0.88;0.00;0.33;0.81;0.00;0.34;0.39
KNN com k=16;0.72;0.75;0.00;0.44;0.93;0.00;0.27;0.83;0.00;0.33;0.39
KNN com k=17;0.72;0.76;0.00;0.45;0.92;0.00;0.33;0.83;0.00;0.38;0.41
KNN com k=18;0.74;0.76;0.00;0.56;0.94;0.00;0.33;0.84;0.00;0.42;0.42
KNN com k=19;0.75;0.77;0.00;0.62;0.95;0.00;0.33;0.85;0.00;0.43;0.43
KNN com k=20;0.75;0.77;0.00;0.62;0.95;0.00;0.33;0.85;0.00;0.43;0.43
KNN com k=21;0.75;0.77;0.00;0.62;0.95;0.00;0.33;0.85;0.00;0.43;0.43
KNN com k=22;0.74;0.76;0.00;0.56;0.94;0.00;0.33;0.84;0.00;0.42;0.42
KNN com k=23;0.76;0.77;0.00;0.62;0.96;0.00;0.33;0.86;0.00;0.43;0.43
KNN com k=24;0.75;0.76;0.00;0.57;0.96;0.00;0.27;0.85;0.00;0.36;0.40
KNN com k=25;0.75;0.76;0.00;0.57;0.96;0.00;0.27;0.85;0.00;0.36;0.40
KNN com k=26;0.75;0.76;0.00;0.57;0.96;0.00;0.27;0.85;0.00;0.36;0.40
KNN com k=27;0.75;0.77;0.00;0.56;0.95;0.00;0.33;0.85;0.00;0.42;0.42
KNN com k=28;0.74;0.76;0.00;0.50;0.95;0.00;0.27;0.84;0.00;0.35;0.40
KNN com k=29;0.74;0.76;0.00;0.50;0.95;0.00;0.27;0.84;0.00;0.35;0.40
KNN com k=30;0.73;0.75;0.00;0.43;0.95;0.00;0.20;0.84;0.00;0.27;0.37
