Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
KNN com k=1;0.51;0.52;0.00;0.59;0.80;0.00;0.26;0.63;0.00;0.36;0.33
KNN com k=2;0.47;0.53;0.06;0.81;0.79;0.22;0.14;0.63;0.09;0.25;0.32
KNN com k=3;0.51;0.52;0.00;0.61;0.82;0.00;0.22;0.63;0.00;0.33;0.32
KNN com k=4;0.51;0.51;0.00;0.68;0.90;0.00;0.14;0.65;0.00;0.24;0.30
KNN com k=5;0.54;0.53;0.00;0.71;0.91;0.00;0.19;0.67;0.00;0.30;0.32
KNN com k=6;0.54;0.52;0.00;0.73;0.92;0.00;0.18;0.67;0.00;0.29;0.32
KNN com k=7;0.58;0.55;0.00;0.77;0.93;0.00;0.26;0.69;0.00;0.38;0.36
KNN com k=8;0.55;0.54;0.00;0.69;0.93;0.00;0.20;0.68;0.00;0.31;0.33
KNN com k=9;0.56;0.54;0.00;0.78;0.94;0.00;0.20;0.69;0.00;0.32;0.34
KNN com k=10;0.55;0.54;0.00;0.75;0.96;0.00;0.17;0.69;0.00;0.27;0.32
KNN com k=11;0.57;0.55;0.00;0.79;0.96;0.00;0.21;0.70;0.00;0.33;0.34
KNN com k=12;0.55;0.53;0.00;0.74;0.94;0.00;0.19;0.68;0.00;0.30;0.33
KNN com k=13;0.56;0.53;0.00;0.80;0.96;0.00;0.18;0.68;0.00;0.29;0.32
KNN com k=14;0.55;0.53;0.00;0.75;0.95;0.00;0.17;0.68;0.00;0.27;0.32
KNN com k=15;0.55;0.53;0.00;0.78;0.96;0.00;0.16;0.68;0.00;0.26;0.31
KNN com k=16;0.55;0.53;0.00;0.82;0.97;0.00;0.16;0.68;0.00;0.26;0.32
KNN com k=17;0.55;0.53;0.00;0.87;0.98;0.00;0.14;0.69;0.00;0.25;0.31
KNN com k=18;0.55;0.52;0.00;0.92;0.99;0.00;0.12;0.69;0.00;0.22;0.30
KNN com k=19;0.55;0.52;0.00;0.86;0.98;0.00;0.13;0.68;0.00;0.23;0.30
KNN com k=20;0.55;0.52;0.00;0.92;0.99;0.00;0.12;0.69;0.00;0.22;0.30
KNN com k=21;0.55;0.53;0.00;0.92;0.99;0.00;0.13;0.69;0.00;0.23;0.31
KNN com k=22;0.56;0.53;0.00;0.93;0.99;0.00;0.14;0.69;0.00;0.25;0.31
KNN com k=23;0.56;0.53;0.00;1.00;1.00;0.00;0.14;0.70;0.00;0.25;0.32
KNN com k=24;0.55;0.53;0.00;0.92;0.99;0.00;0.13;0.69;0.00;0.23;0.31
KNN com k=25;0.55;0.53;0.00;1.00;1.00;0.00;0.12;0.69;0.00;0.22;0.30
KNN com k=26;0.54;0.52;0.00;0.83;0.98;0.00;0.11;0.68;0.00;0.20;0.29
KNN com k=27;0.55;0.52;0.00;1.00;1.00;0.00;0.11;0.69;0.00;0.20;0.30
KNN com k=28;0.55;0.52;0.00;1.00;1.00;0.00;0.11;0.69;0.00;0.20;0.30
KNN com k=29;0.55;0.52;0.00;1.00;1.00;0.00;0.11;0.69;0.00;0.20;0.30
KNN com k=30;0.55;0.53;0.00;1.00;1.00;0.00;0.12;0.69;0.00;0.22;0.30
