Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
MLP - Relu-camadas (1) e neurônios (50);0.62;0.73;0.21;0.49;0.71;0.44;0.45;0.72;0.29;0.47;0.49
MLP - Logistic-camadas (1) e neurônios(50);0.71;0.75;0.67;0.60;0.85;0.22;0.46;0.80;0.33;0.52;0.55
MLP - TanHip-camadas (1) e neurônios(50);0.64;0.73;0.27;0.49;0.75;0.44;0.43;0.74;0.33;0.46;0.51
MLP - Relu-camadas(3) e neurônios (50);0.67;0.74;0.15;0.56;0.79;0.22;0.45;0.76;0.18;0.50;0.48
MLP - Logistic-camadas (3) e neurônios(50);0.70;0.76;0.20;0.60;0.83;0.22;0.46;0.79;0.21;0.52;0.51
MLP - TanHip-camadas (3) e neurônios(50);0.62;0.73;0.12;0.47;0.73;0.22;0.43;0.73;0.15;0.45;0.45
MLP - Relu-camadas(6) e neurônios (50);0.71;0.74;0.38;0.62;0.86;0.33;0.42;0.80;0.35;0.50;0.55
MLP - Logistic-camadas (6) e neurônios(50);0.66;0.66;0.00;0.00;1.00;0.00;0.00;0.79;0.00;0.00;0.26
MLP - TanHip-camadas (6) e neurônios(50);0.62;0.70;0.22;0.46;0.74;0.22;0.40;0.72;0.22;0.43;0.46
MLP - Relu-camadas (1) e neurônios (100);0.64;0.74;0.21;0.50;0.74;0.44;0.44;0.74;0.29;0.47;0.50
MLP - Logistic-camadas (1) e neurônios(100);0.71;0.75;0.50;0.59;0.83;0.44;0.46;0.79;0.47;0.52;0.59
MLP - TanHip-camadas (1) e neurônios(100);0.62;0.72;0.18;0.47;0.72;0.33;0.43;0.72;0.23;0.45;0.47
MLP - Relu-camadas(3) e neurônios (100);0.67;0.75;0.23;0.54;0.78;0.33;0.48;0.76;0.27;0.51;0.51
MLP - Logistic-camadas (3) e neurônios(100);0.69;0.75;0.20;0.59;0.82;0.22;0.48;0.78;0.21;0.53;0.51
MLP - TanHip-camadas (3) e neurônios(100);0.60;0.72;0.11;0.46;0.70;0.22;0.43;0.71;0.14;0.44;0.43
MLP - Relu-camadas(6) e neurônios (100);0.68;0.76;0.33;0.54;0.77;0.44;0.51;0.76;0.38;0.53;0.56
MLP - Logistic-camadas (6) e neurônios(100);0.66;0.66;0.00;0.00;1.00;0.00;0.00;0.79;0.00;0.00;0.26
MLP - TanHip-camadas (6) e neurônios(100);0.61;0.72;0.12;0.49;0.70;0.33;0.43;0.71;0.18;0.46;0.45
MLP - Relu-camadas (1) e neurônios (150);0.63;0.73;0.22;0.49;0.74;0.44;0.43;0.74;0.30;0.46;0.50
MLP - Logistic-camadas (1) e neurônios(150);0.69;0.75;0.50;0.55;0.80;0.44;0.46;0.77;0.47;0.50;0.58
MLP - TanHip-camadas (1) e neurônios(150);0.61;0.72;0.16;0.48;0.72;0.33;0.42;0.72;0.21;0.45;0.46
MLP - Relu-camadas(3) e neurônios (150);0.68;0.76;0.27;0.56;0.78;0.44;0.48;0.77;0.33;0.51;0.54
MLP - Logistic-camadas (3) e neurônios(150);0.66;0.74;0.17;0.53;0.77;0.22;0.48;0.75;0.19;0.50;0.48
MLP - TanHip-camadas (3) e neurônios(150);0.61;0.71;0.24;0.46;0.72;0.44;0.40;0.72;0.31;0.43;0.48
MLP - Relu-camadas(6) e neurônios (150);0.69;0.76;0.18;0.63;0.82;0.44;0.44;0.79;0.26;0.52;0.52
MLP - Logistic-camadas (6) e neurônios(150);0.66;0.66;0.00;0.00;1.00;0.00;0.00;0.79;0.00;0.00;0.26
MLP - TanHip-camadas (6) e neurônios(150);0.67;0.74;0.17;0.58;0.81;0.33;0.40;0.78;0.22;0.48;0.49
