Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
MLP - Relu-camadas (1) e neurônios (50);0.76;0.82;0.44;0.62;0.86;0.30;0.62;0.84;0.36;0.62;0.61
MLP - Logistic-camadas (1) e neurônios(50);0.79;0.80;0.80;0.73;0.95;0.17;0.55;0.87;0.29;0.63;0.59
MLP - TanHip-camadas (1) e neurônios(50);0.73;0.82;0.33;0.62;0.82;0.35;0.62;0.82;0.34;0.62;0.60
MLP - Relu-camadas(3) e neurônios (50);0.77;0.82;0.55;0.62;0.89;0.26;0.60;0.85;0.35;0.61;0.61
MLP - Logistic-camadas (3) e neurônios(50);0.78;0.84;0.25;0.65;0.90;0.09;0.70;0.87;0.13;0.67;0.56
MLP - TanHip-camadas (3) e neurônios(50);0.74;0.84;0.36;0.61;0.82;0.39;0.62;0.83;0.37;0.62;0.61
MLP - Relu-camadas(6) e neurônios (50);0.78;0.82;0.58;0.62;0.90;0.30;0.57;0.86;0.40;0.60;0.62
MLP - Logistic-camadas (6) e neurônios(50);0.71;0.71;0.00;0.00;1.00;0.00;0.00;0.83;0.00;0.00;0.28
MLP - TanHip-camadas (6) e neurônios(50);0.71;0.82;0.35;0.52;0.78;0.30;0.65;0.80;0.33;0.58;0.57
MLP - Relu-camadas (1) e neurônios (100);0.75;0.83;0.47;0.58;0.83;0.39;0.62;0.83;0.43;0.60;0.62
MLP - Logistic-camadas (1) e neurônios(100);0.80;0.82;0.86;0.72;0.94;0.26;0.57;0.87;0.40;0.64;0.64
MLP - TanHip-camadas (1) e neurônios(100);0.74;0.82;0.37;0.60;0.83;0.30;0.62;0.83;0.33;0.61;0.59
MLP - Relu-camadas(3) e neurônios (100);0.77;0.82;0.47;0.65;0.87;0.35;0.60;0.85;0.40;0.62;0.62
MLP - Logistic-camadas (3) e neurônios(100);0.74;0.82;0.21;0.60;0.86;0.13;0.62;0.84;0.16;0.61;0.54
MLP - TanHip-camadas (3) e neurônios(100);0.74;0.83;0.35;0.62;0.83;0.35;0.62;0.83;0.35;0.62;0.60
MLP - Relu-camadas(6) e neurônios (100);0.77;0.82;0.53;0.65;0.89;0.35;0.55;0.85;0.42;0.59;0.62
MLP - Logistic-camadas (6) e neurônios(100);0.71;0.71;0.00;0.00;1.00;0.00;0.00;0.83;0.00;0.00;0.28
MLP - TanHip-camadas (6) e neurônios(100);0.70;0.82;0.23;0.66;0.77;0.35;0.62;0.79;0.28;0.64;0.57
MLP - Relu-camadas (1) e neurônios (150);0.75;0.82;0.44;0.62;0.85;0.35;0.62;0.83;0.39;0.62;0.62
MLP - Logistic-camadas (1) e neurônios(150);0.80;0.83;0.62;0.73;0.92;0.35;0.60;0.87;0.44;0.66;0.66
MLP - TanHip-camadas (1) e neurônios(150);0.74;0.83;0.32;0.66;0.81;0.35;0.68;0.82;0.33;0.67;0.61
MLP - Relu-camadas(3) e neurônios (150);0.78;0.82;0.53;0.66;0.89;0.35;0.57;0.85;0.42;0.61;0.63
MLP - Logistic-camadas (3) e neurônios(150);0.74;0.83;0.30;0.55;0.85;0.13;0.68;0.84;0.18;0.61;0.54
MLP - TanHip-camadas (3) e neurônios(150);0.75;0.83;0.37;0.60;0.84;0.30;0.65;0.84;0.33;0.63;0.60
MLP - Relu-camadas(6) e neurônios (150);0.80;0.81;0.62;0.76;0.95;0.22;0.55;0.88;0.32;0.64;0.61
MLP - Logistic-camadas (6) e neurônios(150);0.71;0.71;0.00;0.00;1.00;0.00;0.00;0.83;0.00;0.00;0.28
MLP - TanHip-camadas (6) e neurônios(150);0.73;0.82;0.32;0.59;0.83;0.26;0.60;0.82;0.29;0.59;0.57
