Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
MLP - Relu-camadas (1) e neurônios (50);0.61;0.73;0.18;0.49;0.68;0.09;0.64;0.70;0.12;0.56;0.46
MLP - Logistic-camadas (1) e neurônios(50);0.66;0.71;0.50;0.57;0.82;0.09;0.53;0.76;0.15;0.55;0.49
MLP - TanHip-camadas (1) e neurônios(50);0.63;0.74;0.27;0.52;0.69;0.13;0.67;0.71;0.18;0.58;0.49
MLP - Relu-camadas(3) e neurônios (50);0.64;0.73;0.18;0.53;0.74;0.09;0.60;0.74;0.12;0.56;0.47
MLP - Logistic-camadas (3) e neurônios(50);0.64;0.76;0.07;0.52;0.74;0.04;0.60;0.75;0.05;0.56;0.45
MLP - TanHip-camadas (3) e neurônios(50);0.64;0.73;0.38;0.51;0.72;0.13;0.63;0.72;0.19;0.56;0.49
MLP - Relu-camadas(6) e neurônios (50);0.68;0.74;0.40;0.58;0.81;0.09;0.62;0.77;0.14;0.60;0.51
MLP - Logistic-camadas (6) e neurônios(50);0.61;0.61;0.00;0.00;1.00;0.00;0.00;0.76;0.00;0.00;0.25
MLP - TanHip-camadas (6) e neurônios(50);0.64;0.71;0.50;0.53;0.76;0.13;0.58;0.73;0.21;0.55;0.50
MLP - Relu-camadas (1) e neurônios (100);0.62;0.73;0.27;0.51;0.68;0.13;0.66;0.71;0.18;0.57;0.48
MLP - Logistic-camadas (1) e neurônios(100);0.66;0.73;0.22;0.57;0.78;0.09;0.59;0.76;0.12;0.58;0.49
MLP - TanHip-camadas (1) e neurônios(100);0.62;0.73;0.25;0.50;0.68;0.13;0.64;0.71;0.17;0.56;0.48
MLP - Relu-camadas(3) e neurônios (100);0.66;0.73;0.25;0.57;0.78;0.09;0.62;0.75;0.13;0.59;0.49
MLP - Logistic-camadas (3) e neurônios(100);0.66;0.72;0.25;0.56;0.78;0.09;0.59;0.75;0.13;0.57;0.48
MLP - TanHip-camadas (3) e neurônios(100);0.64;0.76;0.20;0.52;0.70;0.13;0.67;0.73;0.16;0.59;0.49
MLP - Relu-camadas(6) e neurônios (100);0.65;0.68;0.17;0.60;0.84;0.04;0.45;0.76;0.07;0.52;0.45
MLP - Logistic-camadas (6) e neurônios(100);0.61;0.61;0.00;0.00;1.00;0.00;0.00;0.76;0.00;0.00;0.25
MLP - TanHip-camadas (6) e neurônios(100);0.64;0.71;0.43;0.53;0.76;0.13;0.58;0.73;0.20;0.55;0.49
MLP - Relu-camadas (1) e neurônios (150);0.65;0.74;0.33;0.54;0.72;0.17;0.66;0.73;0.23;0.59;0.52
MLP - Logistic-camadas (1) e neurônios(150);0.66;0.73;0.22;0.57;0.78;0.09;0.60;0.76;0.12;0.59;0.49
MLP - TanHip-camadas (1) e neurônios(150);0.63;0.74;0.27;0.51;0.69;0.13;0.67;0.72;0.18;0.58;0.49
MLP - Relu-camadas(3) e neurônios (150);0.67;0.70;0.29;0.63;0.82;0.09;0.55;0.76;0.13;0.59;0.49
MLP - Logistic-camadas (3) e neurônios(150);0.66;0.73;0.25;0.56;0.78;0.09;0.60;0.75;0.13;0.58;0.49
MLP - TanHip-camadas (3) e neurônios(150);0.63;0.74;0.25;0.52;0.69;0.13;0.67;0.72;0.17;0.58;0.49
MLP - Relu-camadas(6) e neurônios (150);0.68;0.71;0.31;0.66;0.89;0.17;0.42;0.79;0.22;0.52;0.51
MLP - Logistic-camadas (6) e neurônios(150);0.61;0.61;0.00;0.00;1.00;0.00;0.00;0.76;0.00;0.00;0.25
MLP - TanHip-camadas (6) e neurônios(150);0.63;0.75;0.20;0.53;0.70;0.13;0.66;0.72;0.16;0.59;0.49
