Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
MLP - Relu-camadas (1) e neurônios (50);0.70;0.67;0.00;0.76;0.87;0.00;0.68;0.76;0.00;0.71;0.49
MLP - Logistic-camadas (1) e neurônios(50);0.69;0.66;0.00;0.82;0.89;0.00;0.62;0.75;0.00;0.71;0.49
MLP - TanHip-camadas (1) e neurônios(50);0.70;0.67;0.00;0.76;0.87;0.00;0.68;0.76;0.00;0.71;0.49
MLP - Relu-camadas(3) e neurônios (50);0.65;0.62;0.00;0.76;0.89;0.00;0.51;0.73;0.00;0.61;0.45
MLP - Logistic-camadas (3) e neurônios(50);0.65;0.61;0.00;0.75;0.91;0.00;0.49;0.73;0.00;0.59;0.44
MLP - TanHip-camadas (3) e neurônios(50);0.64;0.62;0.00;0.72;0.89;0.00;0.49;0.73;0.00;0.58;0.44
MLP - Relu-camadas(6) e neurônios (50);0.62;0.58;0.00;0.78;0.93;0.00;0.38;0.72;0.00;0.51;0.41
MLP - Logistic-camadas (6) e neurônios(50);0.49;0.49;0.00;0.00;1.00;0.00;0.00;0.66;0.00;0.00;0.22
MLP - TanHip-camadas (6) e neurônios(50);0.62;0.60;0.00;0.70;0.89;0.00;0.43;0.71;0.00;0.53;0.42
MLP - Relu-camadas (1) e neurônios (100);0.71;0.68;0.00;0.78;0.89;0.00;0.68;0.77;0.00;0.72;0.50
MLP - Logistic-camadas (1) e neurônios(100);0.67;0.64;0.00;0.79;0.87;0.00;0.59;0.74;0.00;0.68;0.47
MLP - TanHip-camadas (1) e neurônios(100);0.68;0.66;0.00;0.74;0.82;0.00;0.68;0.73;0.00;0.70;0.48
MLP - Relu-camadas(3) e neurônios (100);0.64;0.60;0.00;0.77;0.91;0.00;0.46;0.73;0.00;0.58;0.43
MLP - Logistic-camadas (3) e neurônios(100);0.65;0.62;0.00;0.78;0.91;0.00;0.49;0.74;0.00;0.60;0.45
MLP - TanHip-camadas (3) e neurônios(100);0.63;0.60;0.00;0.74;0.89;0.00;0.46;0.71;0.00;0.57;0.43
MLP - Relu-camadas(6) e neurônios (100);0.66;0.62;0.50;0.79;0.89;0.11;0.51;0.73;0.18;0.62;0.51
MLP - Logistic-camadas (6) e neurônios(100);0.49;0.49;0.00;0.00;1.00;0.00;0.00;0.66;0.00;0.00;0.22
MLP - TanHip-camadas (6) e neurônios(100);0.67;0.64;0.00;0.73;0.87;0.00;0.59;0.74;0.00;0.66;0.46
MLP - Relu-camadas (1) e neurônios (150);0.70;0.67;0.00;0.76;0.87;0.00;0.68;0.76;0.00;0.71;0.49
MLP - Logistic-camadas (1) e neurônios(150);0.67;0.64;0.00;0.72;0.84;0.00;0.62;0.73;0.00;0.67;0.47
MLP - TanHip-camadas (1) e neurônios(150);0.68;0.66;0.00;0.74;0.82;0.00;0.68;0.73;0.00;0.70;0.48
MLP - Relu-camadas(3) e neurônios (150);0.62;0.58;0.00;0.78;0.93;0.00;0.38;0.72;0.00;0.51;0.41
MLP - Logistic-camadas (3) e neurônios(150);0.66;0.63;0.00;0.76;0.91;0.00;0.51;0.75;0.00;0.61;0.45
MLP - TanHip-camadas (3) e neurônios(150);0.64;0.61;0.00;0.72;0.89;0.00;0.49;0.72;0.00;0.58;0.43
MLP - Relu-camadas(6) e neurônios (150);0.60;0.58;0.00;0.72;0.93;0.00;0.35;0.71;0.00;0.47;0.39
MLP - Logistic-camadas (6) e neurônios(150);0.49;0.49;0.00;0.00;1.00;0.00;0.00;0.66;0.00;0.00;0.22
MLP - TanHip-camadas (6) e neurônios(150);0.67;0.66;0.00;0.73;0.82;0.00;0.65;0.73;0.00;0.69;0.47
