Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
MLP - Relu-camadas (1) e neurônios (50);0.71;0.80;0.44;0.33;0.84;0.17;1.00;0.82;0.24;0.50;0.52
MLP - Logistic-camadas (1) e neurônios(50);0.77;0.81;0.80;0.40;0.93;0.17;0.80;0.87;0.28;0.53;0.56
MLP - TanHip-camadas (1) e neurônios(50);0.66;0.77;0.40;0.14;0.81;0.17;0.40;0.79;0.24;0.21;0.41
MLP - Relu-camadas(3) e neurônios (50);0.70;0.77;0.29;0.27;0.87;0.08;0.60;0.82;0.13;0.37;0.44
MLP - Logistic-camadas (3) e neurônios(50);0.71;0.79;0.50;0.20;0.90;0.04;0.60;0.84;0.08;0.30;0.41
MLP - TanHip-camadas (3) e neurônios(50);0.71;0.81;0.50;0.21;0.82;0.29;0.60;0.82;0.37;0.32;0.50
MLP - Relu-camadas(6) e neurônios (50);0.74;0.82;0.47;0.29;0.87;0.33;0.40;0.84;0.39;0.33;0.52
MLP - Logistic-camadas (6) e neurônios(50);0.76;0.76;0.00;0.00;1.00;0.00;0.00;0.86;0.00;0.00;0.29
MLP - TanHip-camadas (6) e neurônios(50);0.70;0.82;0.53;0.19;0.80;0.33;0.60;0.81;0.41;0.29;0.50
MLP - Relu-camadas (1) e neurônios (100);0.69;0.78;0.40;0.23;0.83;0.17;0.60;0.81;0.24;0.33;0.46
MLP - Logistic-camadas (1) e neurônios(100);0.74;0.80;0.57;0.33;0.89;0.17;0.80;0.84;0.26;0.47;0.52
MLP - TanHip-camadas (1) e neurônios(100);0.68;0.78;0.50;0.14;0.81;0.25;0.40;0.80;0.33;0.21;0.45
MLP - Relu-camadas(3) e neurônios (100);0.73;0.79;0.50;0.33;0.89;0.12;0.80;0.84;0.20;0.47;0.50
MLP - Logistic-camadas (3) e neurônios(100);0.73;0.80;0.80;0.21;0.89;0.17;0.60;0.84;0.28;0.32;0.48
MLP - TanHip-camadas (3) e neurônios(100);0.65;0.78;0.43;0.12;0.77;0.25;0.40;0.78;0.32;0.18;0.42
MLP - Relu-camadas(6) e neurônios (100);0.76;0.80;0.75;0.40;0.93;0.12;0.80;0.86;0.21;0.53;0.54
MLP - Logistic-camadas (6) e neurônios(100);0.76;0.76;0.00;0.00;1.00;0.00;0.00;0.86;0.00;0.00;0.29
MLP - TanHip-camadas (6) e neurônios(100);0.68;0.82;0.47;0.18;0.78;0.33;0.60;0.80;0.39;0.27;0.49
MLP - Relu-camadas (1) e neurônios (150);0.69;0.78;0.44;0.21;0.83;0.17;0.60;0.81;0.24;0.32;0.45
MLP - Logistic-camadas (1) e neurônios(150);0.73;0.80;0.50;0.33;0.88;0.17;0.80;0.84;0.25;0.47;0.52
MLP - TanHip-camadas (1) e neurônios(150);0.66;0.78;0.43;0.13;0.78;0.25;0.40;0.78;0.32;0.20;0.43
MLP - Relu-camadas(3) e neurônios (150);0.76;0.80;0.67;0.40;0.91;0.17;0.80;0.85;0.27;0.53;0.55
MLP - Logistic-camadas (3) e neurônios(150);0.70;0.79;0.50;0.19;0.86;0.12;0.60;0.82;0.20;0.29;0.44
MLP - TanHip-camadas (3) e neurônios(150);0.68;0.81;0.53;0.12;0.79;0.33;0.40;0.80;0.41;0.19;0.47
MLP - Relu-camadas(6) e neurônios (150);0.71;0.77;0.43;0.00;0.90;0.12;0.00;0.83;0.19;0.00;0.34
MLP - Logistic-camadas (6) e neurônios(150);0.76;0.76;0.00;0.00;1.00;0.00;0.00;0.86;0.00;0.00;0.29
MLP - TanHip-camadas (6) e neurônios(150);0.70;0.80;0.47;0.23;0.81;0.29;0.60;0.81;0.36;0.33;0.50
