Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
MLP - Relu-camadas (1) e neurônios (50);0.73;0.87;0.30;0.60;0.81;0.43;0.60;0.84;0.35;0.60;0.60
MLP - Logistic-camadas (1) e neurônios(50);0.76;0.84;0.30;0.62;0.87;0.21;0.67;0.85;0.25;0.65;0.58
MLP - TanHip-camadas (1) e neurônios(50);0.73;0.84;0.31;0.57;0.83;0.36;0.53;0.84;0.33;0.55;0.57
MLP - Relu-camadas(3) e neurônios (50);0.73;0.85;0.29;0.60;0.82;0.36;0.60;0.83;0.32;0.60;0.59
MLP - Logistic-camadas (3) e neurônios(50);0.76;0.83;0.33;0.57;0.89;0.21;0.53;0.86;0.26;0.55;0.56
MLP - TanHip-camadas (3) e neurônios(50);0.74;0.84;0.31;0.59;0.83;0.29;0.67;0.84;0.30;0.62;0.59
MLP - Relu-camadas(6) e neurônios (50);0.76;0.82;0.33;0.58;0.90;0.21;0.47;0.86;0.26;0.52;0.55
MLP - Logistic-camadas (6) e neurônios(50);0.74;0.74;0.00;0.00;1.00;0.00;0.00;0.85;0.00;0.00;0.28
MLP - TanHip-camadas (6) e neurônios(50);0.69;0.85;0.26;0.56;0.75;0.43;0.60;0.79;0.32;0.58;0.57
MLP - Relu-camadas (1) e neurônios (100);0.74;0.84;0.35;0.62;0.83;0.43;0.53;0.84;0.39;0.57;0.60
MLP - Logistic-camadas (1) e neurônios(100);0.75;0.84;0.33;0.60;0.86;0.29;0.60;0.85;0.31;0.60;0.58
MLP - TanHip-camadas (1) e neurônios(100);0.71;0.84;0.22;0.60;0.80;0.29;0.60;0.81;0.25;0.60;0.55
MLP - Relu-camadas(3) e neurônios (100);0.74;0.85;0.29;0.57;0.86;0.29;0.53;0.85;0.29;0.55;0.56
MLP - Logistic-camadas (3) e neurônios(100);0.75;0.84;0.29;0.67;0.87;0.29;0.53;0.85;0.29;0.59;0.58
MLP - TanHip-camadas (3) e neurônios(100);0.73;0.84;0.29;0.59;0.82;0.29;0.67;0.83;0.29;0.62;0.58
MLP - Relu-camadas(6) e neurônios (100);0.71;0.83;0.25;0.70;0.82;0.36;0.47;0.82;0.29;0.56;0.56
MLP - Logistic-camadas (6) e neurônios(100);0.74;0.74;0.00;0.00;1.00;0.00;0.00;0.85;0.00;0.00;0.28
MLP - TanHip-camadas (6) e neurônios(100);0.74;0.84;0.29;0.60;0.84;0.29;0.60;0.84;0.29;0.60;0.58
MLP - Relu-camadas (1) e neurônios (150);0.74;0.84;0.33;0.57;0.84;0.36;0.53;0.84;0.34;0.55;0.58
MLP - Logistic-camadas (1) e neurônios(150);0.73;0.84;0.29;0.56;0.83;0.29;0.60;0.84;0.29;0.58;0.57
MLP - TanHip-camadas (1) e neurônios(150);0.71;0.83;0.24;0.57;0.81;0.29;0.53;0.82;0.26;0.55;0.54
MLP - Relu-camadas(3) e neurônios (150);0.73;0.83;0.31;0.53;0.84;0.29;0.53;0.84;0.30;0.53;0.56
MLP - Logistic-camadas (3) e neurônios(150);0.75;0.84;0.29;0.67;0.87;0.29;0.53;0.85;0.29;0.59;0.58
MLP - TanHip-camadas (3) e neurônios(150);0.71;0.84;0.29;0.53;0.80;0.29;0.67;0.81;0.29;0.59;0.56
MLP - Relu-camadas(6) e neurônios (150);0.79;0.84;0.43;0.64;0.92;0.21;0.60;0.87;0.29;0.62;0.59
MLP - Logistic-camadas (6) e neurônios(150);0.74;0.74;0.00;0.00;1.00;0.00;0.00;0.85;0.00;0.00;0.28
MLP - TanHip-camadas (6) e neurônios(150);0.66;0.77;0.19;0.71;0.78;0.29;0.33;0.78;0.23;0.45;0.49
