Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
MLP - Relu-camadas (1) e neurônios (50);0.63;0.60;0.11;0.78;0.82;0.11;0.48;0.69;0.11;0.59;0.47
MLP - Logistic-camadas (1) e neurônios(50);0.63;0.59;0.20;0.82;0.89;0.11;0.41;0.71;0.14;0.55;0.47
MLP - TanHip-camadas (1) e neurônios(50);0.65;0.61;0.14;0.81;0.85;0.11;0.49;0.71;0.12;0.61;0.48
MLP - Relu-camadas(3) e neurônios (50);0.62;0.59;0.17;0.75;0.82;0.11;0.47;0.69;0.13;0.58;0.47
MLP - Logistic-camadas (3) e neurônios(50);0.63;0.61;0.00;0.78;0.86;0.00;0.44;0.71;0.00;0.57;0.43
MLP - TanHip-camadas (3) e neurônios(50);0.60;0.59;0.25;0.68;0.78;0.22;0.46;0.67;0.24;0.55;0.48
MLP - Relu-camadas(6) e neurônios (50);0.62;0.58;0.25;0.83;0.90;0.11;0.38;0.70;0.15;0.52;0.46
MLP - Logistic-camadas (6) e neurônios(50);0.50;0.50;0.00;0.00;1.00;0.00;0.00;0.66;0.00;0.00;0.22
MLP - TanHip-camadas (6) e neurônios(50);0.61;0.59;0.17;0.74;0.83;0.11;0.43;0.69;0.13;0.55;0.46
MLP - Relu-camadas (1) e neurônios (100);0.63;0.60;0.17;0.75;0.82;0.11;0.48;0.69;0.13;0.59;0.47
MLP - Logistic-camadas (1) e neurônios(100);0.65;0.60;0.20;0.83;0.89;0.11;0.44;0.72;0.14;0.58;0.48
MLP - TanHip-camadas (1) e neurônios(100);0.61;0.59;0.14;0.73;0.79;0.11;0.48;0.67;0.12;0.58;0.46
MLP - Relu-camadas(3) e neurônios (100);0.62;0.58;0.20;0.81;0.89;0.11;0.39;0.70;0.14;0.53;0.46
MLP - Logistic-camadas (3) e neurônios(100);0.64;0.62;0.00;0.76;0.84;0.00;0.50;0.71;0.00;0.60;0.44
MLP - TanHip-camadas (3) e neurônios(100);0.63;0.61;0.17;0.74;0.85;0.11;0.44;0.71;0.13;0.56;0.47
MLP - Relu-camadas(6) e neurônios (100);0.63;0.62;0.12;0.75;0.84;0.11;0.47;0.71;0.12;0.58;0.47
MLP - Logistic-camadas (6) e neurônios(100);0.50;0.50;0.00;0.00;1.00;0.00;0.00;0.66;0.00;0.00;0.22
MLP - TanHip-camadas (6) e neurônios(100);0.59;0.58;0.12;0.70;0.79;0.11;0.43;0.67;0.12;0.53;0.44
MLP - Relu-camadas (1) e neurônios (150);0.62;0.59;0.14;0.76;0.82;0.11;0.47;0.69;0.12;0.58;0.46
MLP - Logistic-camadas (1) e neurônios(150);0.66;0.62;0.20;0.81;0.87;0.11;0.49;0.72;0.14;0.61;0.49
MLP - TanHip-camadas (1) e neurônios(150);0.62;0.59;0.14;0.75;0.80;0.11;0.48;0.68;0.12;0.59;0.46
MLP - Relu-camadas(3) e neurônios (150);0.64;0.61;0.20;0.78;0.85;0.11;0.48;0.71;0.14;0.59;0.48
MLP - Logistic-camadas (3) e neurônios(150);0.63;0.60;0.14;0.80;0.86;0.11;0.43;0.70;0.12;0.56;0.46
MLP - TanHip-camadas (3) e neurônios(150);0.59;0.58;0.14;0.69;0.80;0.11;0.42;0.67;0.12;0.52;0.44
MLP - Relu-camadas(6) e neurônios (150);0.63;0.59;0.20;0.81;0.87;0.11;0.42;0.70;0.14;0.55;0.47
MLP - Logistic-camadas (6) e neurônios(150);0.50;0.50;0.00;0.00;1.00;0.00;0.00;0.66;0.00;0.00;0.22
MLP - TanHip-camadas (6) e neurônios(150);0.60;0.60;0.08;0.71;0.74;0.11;0.50;0.66;0.10;0.59;0.45
