Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
MNB - alpha 1.0 e fit_prior;0.55;0.68;0.00;0.42;0.60;0.00;0.50;0.64;0.00;0.45;0.36
MNB - alpha 1.0;0.33;0.67;0.05;0.44;0.17;0.56;0.64;0.28;0.09;0.52;0.29
MNB - alpha 0.9 e fit_prior;0.53;0.67;0.00;0.40;0.58;0.00;0.50;0.62;0.00;0.45;0.36
MNB - alpha 0.9;0.33;0.67;0.05;0.44;0.17;0.56;0.63;0.28;0.09;0.52;0.29
MNB - alpha 0.8 e fit_prior;0.51;0.67;0.00;0.40;0.53;0.00;0.54;0.59;0.00;0.46;0.35
MNB - alpha 0.8;0.32;0.67;0.05;0.45;0.16;0.56;0.64;0.26;0.08;0.53;0.29
MNB - alpha 0.7 e fit_prior;0.50;0.67;0.04;0.40;0.50;0.11;0.55;0.57;0.06;0.46;0.36
MNB - alpha 0.7;0.31;0.67;0.04;0.44;0.16;0.56;0.60;0.26;0.08;0.51;0.28
MNB - alpha 0.6 e fit_prior;0.47;0.65;0.03;0.40;0.45;0.11;0.56;0.53;0.05;0.47;0.35
MNB - alpha 0.6;0.31;0.70;0.04;0.44;0.16;0.56;0.60;0.26;0.08;0.51;0.28
MNB - alpha 0.5 e fit_prior;0.47;0.67;0.06;0.40;0.41;0.22;0.61;0.51;0.09;0.48;0.36
MNB - alpha 0.5;0.29;0.68;0.04;0.44;0.14;0.56;0.58;0.23;0.08;0.50;0.27
MNB - alpha 0.4 e fit_prior;0.44;0.66;0.08;0.40;0.36;0.44;0.61;0.47;0.14;0.49;0.37
MNB - alpha 0.4;0.27;0.67;0.04;0.43;0.12;0.56;0.55;0.21;0.07;0.48;0.25
MNB - alpha 0.3 e fit_prior;0.40;0.65;0.07;0.39;0.34;0.44;0.55;0.44;0.11;0.46;0.34
MNB - alpha 0.3;0.26;0.66;0.04;0.43;0.12;0.67;0.52;0.20;0.08;0.47;0.25
MNB - alpha 0.2 e fit_prior;0.41;0.66;0.07;0.40;0.34;0.56;0.54;0.45;0.13;0.46;0.35
MNB - alpha 0.2;0.26;0.66;0.04;0.43;0.12;0.67;0.51;0.20;0.08;0.47;0.25
MNB - alpha 0.1 e fit_prior;0.40;0.67;0.07;0.41;0.34;0.56;0.51;0.45;0.12;0.45;0.34
MNB - alpha 0.1;0.24;0.57;0.04;0.39;0.12;0.67;0.44;0.19;0.08;0.42;0.23
MNB - alpha 0.0 e fit_prior;0.60;0.71;0.11;0.52;0.72;0.33;0.39;0.71;0.16;0.45;0.44
MNB - alpha 0.0;0.60;0.73;0.09;0.51;0.69;0.33;0.43;0.71;0.15;0.46;0.44
