Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
MNB - alpha 1.0 e fit_prior;0.75;0.77;0.50;0.66;0.93;0.04;0.47;0.84;0.08;0.55;0.49
MNB - alpha 1.0;0.64;0.88;0.25;0.60;0.63;0.65;0.70;0.73;0.36;0.64;0.58
MNB - alpha 0.9 e fit_prior;0.75;0.77;0.50;0.63;0.92;0.04;0.47;0.84;0.08;0.54;0.49
MNB - alpha 0.9;0.63;0.88;0.23;0.61;0.61;0.65;0.70;0.72;0.34;0.65;0.57
MNB - alpha 0.8 e fit_prior;0.76;0.78;0.67;0.62;0.92;0.09;0.50;0.85;0.15;0.56;0.52
MNB - alpha 0.8;0.61;0.88;0.23;0.61;0.58;0.70;0.70;0.70;0.34;0.65;0.57
MNB - alpha 0.7 e fit_prior;0.75;0.79;0.50;0.61;0.90;0.09;0.55;0.84;0.15;0.58;0.52
MNB - alpha 0.7;0.61;0.88;0.23;0.61;0.57;0.70;0.70;0.70;0.34;0.65;0.56
MNB - alpha 0.6 e fit_prior;0.74;0.79;0.40;0.58;0.89;0.09;0.55;0.84;0.14;0.56;0.51
MNB - alpha 0.6;0.58;0.87;0.21;0.61;0.53;0.74;0.68;0.66;0.33;0.64;0.54
MNB - alpha 0.5 e fit_prior;0.76;0.81;0.56;0.62;0.88;0.22;0.60;0.84;0.31;0.61;0.59
MNB - alpha 0.5;0.57;0.87;0.21;0.61;0.52;0.74;0.68;0.65;0.33;0.64;0.54
MNB - alpha 0.4 e fit_prior;0.75;0.81;0.46;0.61;0.86;0.26;0.62;0.83;0.33;0.62;0.59
MNB - alpha 0.4;0.57;0.89;0.22;0.60;0.51;0.83;0.65;0.65;0.35;0.63;0.54
MNB - alpha 0.3 e fit_prior;0.73;0.81;0.42;0.59;0.83;0.35;0.60;0.82;0.38;0.59;0.60
MNB - alpha 0.3;0.56;0.89;0.22;0.60;0.49;0.87;0.62;0.63;0.35;0.61;0.53
MNB - alpha 0.2 e fit_prior;0.72;0.81;0.37;0.62;0.80;0.43;0.57;0.80;0.40;0.60;0.60
MNB - alpha 0.2;0.55;0.89;0.22;0.60;0.48;0.87;0.62;0.63;0.35;0.61;0.53
MNB - alpha 0.1 e fit_prior;0.69;0.81;0.29;0.60;0.75;0.43;0.60;0.78;0.35;0.60;0.58
MNB - alpha 0.1;0.54;0.88;0.21;0.61;0.47;0.87;0.62;0.61;0.34;0.62;0.52
MNB - alpha 0.0 e fit_prior;0.68;0.79;0.32;0.50;0.78;0.35;0.50;0.79;0.33;0.50;0.54
MNB - alpha 0.0;0.64;0.79;0.22;0.49;0.72;0.35;0.50;0.75;0.27;0.49;0.51
