Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
MNB - alpha 1.0 e fit_prior;0.64;0.69;0.67;0.53;0.78;0.09;0.53;0.73;0.15;0.53;0.47
MNB - alpha 1.0;0.45;0.73;0.08;0.53;0.39;0.26;0.66;0.50;0.12;0.59;0.40
MNB - alpha 0.9 e fit_prior;0.64;0.69;0.67;0.53;0.78;0.09;0.55;0.73;0.15;0.54;0.48
MNB - alpha 0.9;0.44;0.75;0.09;0.50;0.39;0.30;0.59;0.51;0.13;0.54;0.39
MNB - alpha 0.8 e fit_prior;0.64;0.69;0.50;0.53;0.77;0.09;0.55;0.73;0.15;0.54;0.47
MNB - alpha 0.8;0.44;0.76;0.08;0.51;0.38;0.30;0.60;0.50;0.13;0.55;0.40
MNB - alpha 0.7 e fit_prior;0.63;0.69;0.20;0.55;0.74;0.09;0.56;0.71;0.12;0.56;0.46
MNB - alpha 0.7;0.42;0.75;0.08;0.49;0.36;0.30;0.58;0.49;0.13;0.53;0.38
MNB - alpha 0.6 e fit_prior;0.62;0.69;0.18;0.54;0.72;0.09;0.58;0.71;0.12;0.56;0.46
MNB - alpha 0.6;0.42;0.77;0.09;0.49;0.36;0.35;0.56;0.49;0.14;0.53;0.38
MNB - alpha 0.5 e fit_prior;0.60;0.68;0.12;0.53;0.69;0.09;0.58;0.69;0.10;0.55;0.45
MNB - alpha 0.5;0.42;0.77;0.10;0.51;0.34;0.43;0.56;0.48;0.17;0.53;0.39
MNB - alpha 0.4 e fit_prior;0.60;0.69;0.19;0.55;0.68;0.17;0.58;0.69;0.18;0.56;0.48
MNB - alpha 0.4;0.40;0.77;0.10;0.50;0.32;0.43;0.55;0.46;0.16;0.52;0.38
MNB - alpha 0.3 e fit_prior;0.58;0.68;0.15;0.53;0.65;0.17;0.56;0.66;0.16;0.55;0.46
MNB - alpha 0.3;0.41;0.82;0.12;0.50;0.32;0.57;0.55;0.46;0.20;0.52;0.39
MNB - alpha 0.2 e fit_prior;0.55;0.68;0.12;0.50;0.63;0.17;0.51;0.65;0.14;0.50;0.43
MNB - alpha 0.2;0.42;0.85;0.13;0.49;0.34;0.61;0.52;0.48;0.21;0.51;0.40
MNB - alpha 0.1 e fit_prior;0.55;0.69;0.13;0.53;0.64;0.22;0.49;0.66;0.16;0.51;0.44
MNB - alpha 0.1;0.41;0.82;0.13;0.47;0.36;0.61;0.45;0.50;0.21;0.46;0.39
MNB - alpha 0.0 e fit_prior;0.58;0.65;0.11;0.51;0.76;0.09;0.36;0.70;0.10;0.42;0.41
MNB - alpha 0.0;0.55;0.65;0.09;0.46;0.72;0.09;0.36;0.69;0.09;0.40;0.39
