Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
MNB - alpha 1.0 e fit_prior;0.59;0.56;0.00;0.75;0.93;0.00;0.32;0.70;0.00;0.45;0.38
MNB - alpha 1.0;0.51;0.62;0.18;0.81;0.51;0.67;0.46;0.56;0.29;0.59;0.48
MNB - alpha 0.9 e fit_prior;0.59;0.56;0.00;0.75;0.93;0.00;0.32;0.70;0.00;0.45;0.38
MNB - alpha 0.9;0.51;0.62;0.18;0.81;0.51;0.67;0.46;0.56;0.29;0.59;0.48
MNB - alpha 0.8 e fit_prior;0.60;0.57;0.00;0.82;0.91;0.00;0.38;0.70;0.00;0.52;0.41
MNB - alpha 0.8;0.51;0.62;0.18;0.81;0.51;0.67;0.46;0.56;0.29;0.59;0.48
MNB - alpha 0.7 e fit_prior;0.60;0.57;0.00;0.82;0.91;0.00;0.38;0.70;0.00;0.52;0.41
MNB - alpha 0.7;0.48;0.59;0.18;0.80;0.49;0.67;0.43;0.54;0.28;0.56;0.46
MNB - alpha 0.6 e fit_prior;0.60;0.57;0.00;0.82;0.91;0.00;0.38;0.70;0.00;0.52;0.41
MNB - alpha 0.6;0.45;0.56;0.17;0.76;0.42;0.67;0.43;0.48;0.27;0.55;0.43
MNB - alpha 0.5 e fit_prior;0.58;0.57;0.00;0.82;0.87;0.00;0.38;0.68;0.00;0.52;0.40
MNB - alpha 0.5;0.45;0.56;0.17;0.76;0.42;0.67;0.43;0.48;0.27;0.55;0.43
MNB - alpha 0.4 e fit_prior;0.59;0.59;0.11;0.84;0.82;0.11;0.43;0.69;0.11;0.57;0.46
MNB - alpha 0.4;0.44;0.55;0.16;0.76;0.40;0.67;0.43;0.46;0.26;0.55;0.42
MNB - alpha 0.3 e fit_prior;0.56;0.57;0.08;0.84;0.76;0.11;0.43;0.65;0.10;0.57;0.44
MNB - alpha 0.3;0.44;0.55;0.16;0.76;0.40;0.67;0.43;0.46;0.26;0.55;0.42
MNB - alpha 0.2 e fit_prior;0.57;0.60;0.19;0.83;0.76;0.33;0.41;0.67;0.24;0.55;0.48
MNB - alpha 0.2;0.42;0.51;0.14;0.75;0.40;0.56;0.41;0.45;0.22;0.53;0.40
MNB - alpha 0.1 e fit_prior;0.56;0.59;0.18;0.83;0.73;0.33;0.41;0.65;0.23;0.55;0.48
MNB - alpha 0.1;0.41;0.51;0.14;0.74;0.40;0.56;0.38;0.45;0.22;0.50;0.39
MNB - alpha 0.0 e fit_prior;0.58;0.56;0.22;0.88;0.82;0.22;0.38;0.67;0.22;0.53;0.47
MNB - alpha 0.0;0.55;0.57;0.14;0.74;0.69;0.22;0.46;0.63;0.17;0.57;0.46
