Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
MNB - alpha 1.0 e fit_prior;0.69;0.76;0.33;0.49;0.83;0.08;0.61;0.80;0.13;0.54;0.49
MNB - alpha 1.0;0.49;0.80;0.22;0.45;0.44;0.60;0.61;0.57;0.32;0.52;0.47
MNB - alpha 0.9 e fit_prior;0.69;0.76;0.33;0.49;0.83;0.08;0.61;0.80;0.13;0.54;0.49
MNB - alpha 0.9;0.49;0.81;0.23;0.45;0.42;0.64;0.61;0.56;0.33;0.52;0.47
MNB - alpha 0.8 e fit_prior;0.69;0.76;0.29;0.50;0.83;0.08;0.61;0.80;0.12;0.55;0.49
MNB - alpha 0.8;0.47;0.81;0.21;0.45;0.40;0.64;0.61;0.54;0.32;0.52;0.46
MNB - alpha 0.7 e fit_prior;0.69;0.77;0.38;0.50;0.83;0.12;0.61;0.80;0.18;0.55;0.51
MNB - alpha 0.7;0.47;0.82;0.22;0.47;0.39;0.72;0.58;0.53;0.34;0.52;0.46
MNB - alpha 0.6 e fit_prior;0.67;0.76;0.31;0.50;0.79;0.16;0.61;0.78;0.21;0.55;0.51
MNB - alpha 0.6;0.47;0.82;0.23;0.50;0.38;0.76;0.58;0.52;0.35;0.54;0.47
MNB - alpha 0.5 e fit_prior;0.68;0.77;0.38;0.50;0.78;0.24;0.61;0.78;0.29;0.55;0.54
MNB - alpha 0.5;0.48;0.84;0.23;0.51;0.38;0.80;0.58;0.53;0.36;0.55;0.48
MNB - alpha 0.4 e fit_prior;0.67;0.77;0.35;0.50;0.78;0.24;0.61;0.77;0.29;0.55;0.54
MNB - alpha 0.4;0.46;0.86;0.22;0.51;0.36;0.80;0.58;0.51;0.34;0.55;0.47
MNB - alpha 0.3 e fit_prior;0.66;0.76;0.32;0.50;0.76;0.24;0.61;0.76;0.27;0.55;0.53
MNB - alpha 0.3;0.44;0.85;0.21;0.53;0.33;0.80;0.58;0.47;0.33;0.55;0.45
MNB - alpha 0.2 e fit_prior;0.63;0.76;0.31;0.47;0.71;0.32;0.58;0.73;0.31;0.52;0.52
MNB - alpha 0.2;0.43;0.85;0.20;0.50;0.33;0.76;0.58;0.47;0.32;0.54;0.44
MNB - alpha 0.1 e fit_prior;0.62;0.75;0.30;0.47;0.71;0.32;0.55;0.73;0.31;0.51;0.51
MNB - alpha 0.1;0.46;0.82;0.21;0.49;0.38;0.72;0.58;0.51;0.33;0.53;0.46
MNB - alpha 0.0 e fit_prior;0.66;0.72;0.20;0.44;0.88;0.04;0.35;0.79;0.07;0.39;0.42
MNB - alpha 0.0;0.64;0.71;0.29;0.42;0.81;0.16;0.35;0.76;0.21;0.39;0.45
