Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
MNB - alpha 1.0 e fit_prior;0.74;0.77;1.00;0.25;0.93;0.08;0.40;0.84;0.15;0.31;0.44
MNB - alpha 1.0;0.61;0.82;0.36;0.20;0.64;0.50;0.60;0.72;0.42;0.30;0.48
MNB - alpha 0.9 e fit_prior;0.74;0.77;1.00;0.25;0.93;0.08;0.40;0.84;0.15;0.31;0.44
MNB - alpha 0.9;0.63;0.85;0.41;0.20;0.63;0.62;0.60;0.73;0.49;0.30;0.51
MNB - alpha 0.8 e fit_prior;0.74;0.77;0.67;0.29;0.93;0.08;0.40;0.84;0.15;0.33;0.44
MNB - alpha 0.8;0.63;0.88;0.41;0.19;0.62;0.67;0.60;0.73;0.51;0.29;0.51
MNB - alpha 0.7 e fit_prior;0.72;0.77;0.40;0.29;0.91;0.08;0.40;0.83;0.14;0.33;0.43
MNB - alpha 0.7;0.62;0.87;0.40;0.19;0.61;0.67;0.60;0.72;0.50;0.29;0.50
MNB - alpha 0.6 e fit_prior;0.71;0.76;0.33;0.29;0.90;0.08;0.40;0.83;0.13;0.33;0.43
MNB - alpha 0.6;0.63;0.89;0.40;0.20;0.61;0.71;0.60;0.72;0.52;0.30;0.51
MNB - alpha 0.5 e fit_prior;0.72;0.78;0.38;0.38;0.89;0.12;0.60;0.83;0.19;0.46;0.49
MNB - alpha 0.5;0.62;0.90;0.38;0.23;0.59;0.75;0.60;0.71;0.51;0.33;0.52
MNB - alpha 0.4 e fit_prior;0.71;0.77;0.33;0.33;0.87;0.12;0.60;0.82;0.18;0.43;0.48
MNB - alpha 0.4;0.61;0.93;0.38;0.23;0.56;0.83;0.60;0.69;0.53;0.33;0.52
MNB - alpha 0.3 e fit_prior;0.71;0.79;0.42;0.33;0.86;0.21;0.60;0.82;0.28;0.43;0.51
MNB - alpha 0.3;0.63;0.94;0.39;0.29;0.57;0.83;0.80;0.71;0.53;0.42;0.55
MNB - alpha 0.2 e fit_prior;0.70;0.80;0.44;0.20;0.82;0.29;0.40;0.81;0.35;0.27;0.48
MNB - alpha 0.2;0.59;0.92;0.36;0.25;0.52;0.83;0.60;0.67;0.50;0.35;0.51
MNB - alpha 0.1 e fit_prior;0.71;0.82;0.45;0.25;0.81;0.42;0.40;0.82;0.43;0.31;0.52
MNB - alpha 0.1;0.57;0.88;0.35;0.25;0.51;0.79;0.60;0.65;0.48;0.35;0.49
MNB - alpha 0.0 e fit_prior;0.69;0.77;0.33;0.30;0.83;0.17;0.60;0.80;0.22;0.40;0.47
MNB - alpha 0.0;0.59;0.76;0.24;0.27;0.67;0.25;0.80;0.71;0.24;0.40;0.45
