Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
MNB - alpha 1.0 e fit_prior;0.63;0.59;0.00;0.78;0.87;0.00;0.43;0.70;0.00;0.56;0.42
MNB - alpha 1.0;0.56;0.71;0.11;0.70;0.45;0.56;0.69;0.55;0.18;0.70;0.48
MNB - alpha 0.9 e fit_prior;0.63;0.60;0.25;0.77;0.86;0.11;0.44;0.70;0.15;0.56;0.47
MNB - alpha 0.9;0.55;0.72;0.10;0.69;0.45;0.56;0.67;0.55;0.17;0.68;0.47
MNB - alpha 0.8 e fit_prior;0.64;0.60;0.20;0.78;0.85;0.11;0.47;0.70;0.14;0.58;0.48
MNB - alpha 0.8;0.54;0.72;0.10;0.69;0.44;0.56;0.66;0.54;0.16;0.67;0.46
MNB - alpha 0.7 e fit_prior;0.63;0.60;0.20;0.75;0.83;0.11;0.48;0.70;0.14;0.59;0.47
MNB - alpha 0.7;0.52;0.70;0.09;0.67;0.39;0.56;0.67;0.50;0.16;0.67;0.44
MNB - alpha 0.6 e fit_prior;0.63;0.60;0.12;0.77;0.80;0.11;0.51;0.69;0.12;0.61;0.47
MNB - alpha 0.6;0.51;0.69;0.08;0.70;0.37;0.56;0.67;0.48;0.15;0.68;0.44
MNB - alpha 0.5 e fit_prior;0.61;0.59;0.09;0.73;0.74;0.11;0.51;0.66;0.10;0.60;0.45
MNB - alpha 0.5;0.49;0.68;0.08;0.69;0.35;0.56;0.63;0.46;0.14;0.66;0.42
MNB - alpha 0.4 e fit_prior;0.61;0.59;0.08;0.74;0.74;0.11;0.51;0.66;0.10;0.61;0.45
MNB - alpha 0.4;0.46;0.64;0.07;0.69;0.30;0.56;0.63;0.41;0.13;0.66;0.40
MNB - alpha 0.3 e fit_prior;0.60;0.59;0.07;0.72;0.71;0.11;0.52;0.65;0.09;0.61;0.45
MNB - alpha 0.3;0.45;0.62;0.07;0.68;0.30;0.56;0.61;0.40;0.13;0.64;0.39
MNB - alpha 0.2 e fit_prior;0.60;0.61;0.12;0.73;0.70;0.22;0.53;0.65;0.15;0.62;0.47
MNB - alpha 0.2;0.45;0.62;0.09;0.67;0.31;0.67;0.59;0.41;0.15;0.63;0.40
MNB - alpha 0.1 e fit_prior;0.56;0.58;0.09;0.71;0.66;0.22;0.49;0.62;0.13;0.58;0.44
MNB - alpha 0.1;0.46;0.60;0.09;0.66;0.36;0.67;0.54;0.45;0.16;0.60;0.40
MNB - alpha 0.0 e fit_prior;0.56;0.56;0.07;0.69;0.76;0.11;0.40;0.65;0.09;0.51;0.41
MNB - alpha 0.0;0.55;0.57;0.11;0.65;0.71;0.22;0.41;0.64;0.15;0.50;0.43
