Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
SVM - kernel linear e random 42;0.71;0.73;0.33;0.63;0.88;0.11;0.40;0.80;0.17;0.49;0.49
SVM - kernel rbf scale e random 42;0.68;0.68;0.00;0.80;0.99;0.00;0.10;0.80;0.00;0.17;0.32
SVM - kernel rbf auto e random 42;0.66;0.66;0.00;0.00;1.00;0.00;0.00;0.79;0.00;0.00;0.26
SVM - kernel sigmoid auto e random 42;0.66;0.66;0.00;0.00;1.00;0.00;0.00;0.79;0.00;0.00;0.26
SVM - kernel sigmoid scale e random 42;0.71;0.72;0.00;0.64;0.91;0.00;0.35;0.80;0.00;0.45;0.42
SVM - kernel poly g2 auto e random 42;0.66;0.66;0.00;0.00;1.00;0.00;0.00;0.79;0.00;0.00;0.26
SVM - kernel poly g2 scale e random 42;0.66;0.66;0.00;0.00;1.00;0.00;0.00;0.79;0.00;0.00;0.26
SVM - kernel poly g3 auto e random 42;0.66;0.66;0.00;0.00;1.00;0.00;0.00;0.79;0.00;0.00;0.26
SVM - kernel poly g3 scale e random 42;0.66;0.66;0.00;0.00;1.00;0.00;0.00;0.79;0.00;0.00;0.26
SVM - kernel poly g4 auto e random 42;0.66;0.66;0.00;0.00;1.00;0.00;0.00;0.79;0.00;0.00;0.26
SVM - kernel poly g4 scale e random 42;0.66;0.66;0.00;0.00;1.00;0.00;0.00;0.79;0.00;0.00;0.26
SVM - kernel poly g5 scale e random 42;0.66;0.66;0.00;0.00;1.00;0.00;0.00;0.79;0.00;0.00;0.26
SVM - kernel poly g5 auto e random 42;0.66;0.66;0.00;0.00;1.00;0.00;0.00;0.79;0.00;0.00;0.26
SVM - kernel poly g6 auto e random 42;0.66;0.66;0.00;0.00;1.00;0.00;0.00;0.79;0.00;0.00;0.26
