Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
SVM - kernel linear e random 42;0.80;0.82;0.75;0.71;0.92;0.26;0.62;0.87;0.39;0.67;0.64
SVM - kernel rbf scale e random 42;0.76;0.75;0.00;0.87;0.99;0.00;0.33;0.85;0.00;0.47;0.44
SVM - kernel rbf auto e random 42;0.71;0.71;0.00;0.00;1.00;0.00;0.00;0.83;0.00;0.00;0.28
SVM - kernel sigmoid auto e random 42;0.71;0.71;0.00;0.00;1.00;0.00;0.00;0.83;0.00;0.00;0.28
SVM - kernel sigmoid scale e random 42;0.78;0.79;0.00;0.77;0.95;0.00;0.57;0.86;0.00;0.66;0.51
SVM - kernel poly g2 auto e random 42;0.71;0.71;0.00;0.00;1.00;0.00;0.00;0.83;0.00;0.00;0.28
SVM - kernel poly g2 scale e random 42;0.71;0.71;0.00;0.50;0.99;0.00;0.03;0.83;0.00;0.05;0.29
SVM - kernel poly g3 auto e random 42;0.71;0.71;0.00;0.00;1.00;0.00;0.00;0.83;0.00;0.00;0.28
SVM - kernel poly g3 scale e random 42;0.71;0.71;0.00;0.00;0.99;0.00;0.00;0.83;0.00;0.00;0.28
SVM - kernel poly g4 auto e random 42;0.71;0.71;0.00;0.00;1.00;0.00;0.00;0.83;0.00;0.00;0.28
SVM - kernel poly g4 scale e random 42;0.71;0.71;0.00;0.00;0.99;0.00;0.00;0.83;0.00;0.00;0.28
SVM - kernel poly g5 scale e random 42;0.71;0.71;0.00;0.00;0.99;0.00;0.00;0.83;0.00;0.00;0.28
SVM - kernel poly g5 auto e random 42;0.71;0.71;0.00;0.00;1.00;0.00;0.00;0.83;0.00;0.00;0.28
SVM - kernel poly g6 auto e random 42;0.71;0.71;0.00;0.00;1.00;0.00;0.00;0.83;0.00;0.00;0.28
