Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
SVM - kernel linear e random 42;0.64;0.68;0.12;0.56;0.83;0.04;0.42;0.75;0.06;0.48;0.43
SVM - kernel rbf scale e random 42;0.66;0.65;0.00;0.82;0.97;0.00;0.25;0.78;0.00;0.38;0.39
SVM - kernel rbf auto e random 42;0.61;0.61;0.00;0.00;1.00;0.00;0.00;0.76;0.00;0.00;0.25
SVM - kernel sigmoid auto e random 42;0.61;0.61;0.00;0.00;1.00;0.00;0.00;0.76;0.00;0.00;0.25
SVM - kernel sigmoid scale e random 42;0.64;0.68;0.00;0.56;0.85;0.00;0.41;0.76;0.00;0.47;0.41
SVM - kernel poly g2 auto e random 42;0.61;0.61;0.00;0.00;1.00;0.00;0.00;0.76;0.00;0.00;0.25
SVM - kernel poly g2 scale e random 42;0.61;0.61;0.00;0.50;0.97;0.00;0.05;0.75;0.00;0.10;0.28
SVM - kernel poly g3 auto e random 42;0.61;0.61;0.00;0.00;1.00;0.00;0.00;0.76;0.00;0.00;0.25
SVM - kernel poly g3 scale e random 42;0.59;0.60;0.00;0.00;0.98;0.00;0.00;0.75;0.00;0.00;0.25
SVM - kernel poly g4 auto e random 42;0.61;0.61;0.00;0.00;1.00;0.00;0.00;0.76;0.00;0.00;0.25
SVM - kernel poly g4 scale e random 42;0.60;0.60;0.00;0.00;0.99;0.00;0.00;0.75;0.00;0.00;0.25
SVM - kernel poly g5 scale e random 42;0.60;0.60;0.00;0.00;0.99;0.00;0.00;0.75;0.00;0.00;0.25
SVM - kernel poly g5 auto e random 42;0.61;0.61;0.00;0.00;1.00;0.00;0.00;0.76;0.00;0.00;0.25
SVM - kernel poly g6 auto e random 42;0.61;0.61;0.00;0.00;1.00;0.00;0.00;0.76;0.00;0.00;0.25
