Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
SVM - kernel linear e random 42;0.68;0.79;0.33;0.50;0.76;0.20;0.74;0.77;0.25;0.60;0.54
SVM - kernel rbf scale e random 42;0.72;0.72;0.00;0.80;0.99;0.00;0.26;0.84;0.00;0.39;0.41
SVM - kernel rbf auto e random 42;0.68;0.68;0.00;0.00;1.00;0.00;0.00;0.81;0.00;0.00;0.27
SVM - kernel sigmoid auto e random 42;0.68;0.68;0.00;0.00;1.00;0.00;0.00;0.81;0.00;0.00;0.27
SVM - kernel sigmoid scale e random 42;0.72;0.76;0.33;0.58;0.90;0.04;0.58;0.82;0.07;0.58;0.49
SVM - kernel poly g2 auto e random 42;0.68;0.68;0.00;0.00;1.00;0.00;0.00;0.81;0.00;0.00;0.27
SVM - kernel poly g2 scale e random 42;0.69;0.69;0.00;0.75;0.98;0.00;0.10;0.81;0.00;0.17;0.33
SVM - kernel poly g3 auto e random 42;0.68;0.68;0.00;0.00;1.00;0.00;0.00;0.81;0.00;0.00;0.27
SVM - kernel poly g3 scale e random 42;0.66;0.68;0.00;0.00;0.97;0.00;0.00;0.80;0.00;0.00;0.27
SVM - kernel poly g4 auto e random 42;0.68;0.68;0.00;0.00;1.00;0.00;0.00;0.81;0.00;0.00;0.27
SVM - kernel poly g4 scale e random 42;0.68;0.68;0.00;0.00;0.99;0.00;0.00;0.81;0.00;0.00;0.27
SVM - kernel poly g5 scale e random 42;0.68;0.68;0.00;0.00;1.00;0.00;0.00;0.81;0.00;0.00;0.27
SVM - kernel poly g5 auto e random 42;0.68;0.68;0.00;0.00;1.00;0.00;0.00;0.81;0.00;0.00;0.27
SVM - kernel poly g6 auto e random 42;0.68;0.68;0.00;0.00;1.00;0.00;0.00;0.81;0.00;0.00;0.27
