Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
SVM - kernel linear e random 42;0.73;0.79;0.60;0.31;0.89;0.12;0.80;0.84;0.21;0.44;0.50
SVM - kernel rbf scale e random 42;0.75;0.75;0.00;0.00;0.99;0.00;0.00;0.86;0.00;0.00;0.29
SVM - kernel rbf auto e random 42;0.76;0.76;0.00;0.00;1.00;0.00;0.00;0.86;0.00;0.00;0.29
SVM - kernel sigmoid auto e random 42;0.76;0.76;0.00;0.00;1.00;0.00;0.00;0.86;0.00;0.00;0.29
SVM - kernel sigmoid scale e random 42;0.73;0.76;0.00;0.17;0.96;0.00;0.20;0.85;0.00;0.18;0.34
SVM - kernel poly g2 auto e random 42;0.76;0.76;0.00;0.00;1.00;0.00;0.00;0.86;0.00;0.00;0.29
SVM - kernel poly g2 scale e random 42;0.76;0.76;0.00;1.00;1.00;0.00;0.20;0.87;0.00;0.33;0.40
SVM - kernel poly g3 auto e random 42;0.76;0.76;0.00;0.00;1.00;0.00;0.00;0.86;0.00;0.00;0.29
SVM - kernel poly g3 scale e random 42;0.76;0.76;0.00;0.00;1.00;0.00;0.00;0.86;0.00;0.00;0.29
SVM - kernel poly g4 auto e random 42;0.76;0.76;0.00;0.00;1.00;0.00;0.00;0.86;0.00;0.00;0.29
SVM - kernel poly g4 scale e random 42;0.76;0.76;0.00;0.00;1.00;0.00;0.00;0.86;0.00;0.00;0.29
SVM - kernel poly g5 scale e random 42;0.76;0.76;0.00;0.00;1.00;0.00;0.00;0.86;0.00;0.00;0.29
SVM - kernel poly g5 auto e random 42;0.76;0.76;0.00;0.00;1.00;0.00;0.00;0.86;0.00;0.00;0.29
SVM - kernel poly g6 auto e random 42;0.76;0.76;0.00;0.00;1.00;0.00;0.00;0.86;0.00;0.00;0.29
