Parametros;Acuracia;Precisao-Neutral;Precisao-Negative;Precisao-Positive;Revocação-Neutral;Revocação-Negative;Revocação-Positive;F1-Neutral;F1-Negative;F1-Positive;Media-F1
SVM - kernel linear e random 42;0.76;0.82;0.33;0.64;0.88;0.21;0.60;0.85;0.26;0.62;0.58
SVM - kernel rbf scale e random 42;0.77;0.76;0.00;1.00;1.00;0.00;0.20;0.86;0.00;0.33;0.40
SVM - kernel rbf auto e random 42;0.74;0.74;0.00;0.00;1.00;0.00;0.00;0.85;0.00;0.00;0.28
SVM - kernel sigmoid auto e random 42;0.74;0.74;0.00;0.00;1.00;0.00;0.00;0.85;0.00;0.00;0.28
SVM - kernel sigmoid scale e random 42;0.78;0.80;0.00;0.62;0.95;0.00;0.53;0.87;0.00;0.57;0.48
SVM - kernel poly g2 auto e random 42;0.74;0.74;0.00;0.00;1.00;0.00;0.00;0.85;0.00;0.00;0.28
SVM - kernel poly g2 scale e random 42;0.76;0.75;0.00;1.00;1.00;0.00;0.13;0.86;0.00;0.24;0.37
SVM - kernel poly g3 auto e random 42;0.74;0.74;0.00;0.00;1.00;0.00;0.00;0.85;0.00;0.00;0.28
SVM - kernel poly g3 scale e random 42;0.75;0.75;0.00;0.50;1.00;0.00;0.07;0.86;0.00;0.12;0.33
SVM - kernel poly g4 auto e random 42;0.74;0.74;0.00;0.00;1.00;0.00;0.00;0.85;0.00;0.00;0.28
SVM - kernel poly g4 scale e random 42;0.74;0.74;0.00;0.00;1.00;0.00;0.00;0.85;0.00;0.00;0.28
SVM - kernel poly g5 scale e random 42;0.74;0.74;0.00;0.00;1.00;0.00;0.00;0.85;0.00;0.00;0.28
SVM - kernel poly g5 auto e random 42;0.74;0.74;0.00;0.00;1.00;0.00;0.00;0.85;0.00;0.00;0.28
SVM - kernel poly g6 auto e random 42;0.74;0.74;0.00;0.00;1.00;0.00;0.00;0.85;0.00;0.00;0.28
