Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
KNR_1_;0.004167401969958143;0.0012630060398844132;0.03234999754474961;0.002462808562877265;-0.3970666548977819;0.1902266598411443;31.91598789691925;0.11840249408675574
KNR_2_;0.0037649635123795135;0.00127875044030144;0.03135561846689896;0.0015496893403313292;-0.2418468847392206;0.08247453109479473;32.042018961906436;0.45742102686881075
KNR_3_;0.0036034104016378953;0.0013307015538108844;0.03127033676783721;0.0016928667766319223;-0.1805325162055296;0.06074595562155904;31.865545392036438;0.08729430288716601
KNR_4_;0.0034963718866259223;0.0012807584335832957;0.031523635654719204;0.0015763342356207998;-0.14568455010527198;0.049469405799337646;31.870234084129333;0.11150689383245982
KNR_5_;0.0034030791959028276;0.001212683608167608;0.03153564916820386;0.0018415626847575518;-0.11609872722252546;0.05494453477925719;31.884941864013673;0.09036277746490465
KNR_6_;0.003345724366138652;0.0011644137964926277;0.031605350791231134;0.0017364589304047422;-0.09941100553748929;0.04611813452109243;31.692474842071533;0.2143152358976523
KNR_7_;0.0033264452629511083;0.0011990337049264976;0.031644510700621714;0.001703140314972169;-0.0888356780947861;0.04135971955750283;32.11422085762024;3.4650553165108042
KNR_8_;0.0032834489363305283;0.001220135847326867;0.031428720211407725;0.0014500503687017699;-0.07163115926244727;0.03880051393789081;29.026475715637208;0.6228828534647699
KNR_9_;0.0032361408544331676;0.0012187516439841205;0.03125624813780526;0.001335631032283813;-0.05466901504558871;0.03310265610485104;28.696028804779054;0.09987319294274491
KNR_10_;0.0032088383393086657;0.0012184361442028968;0.03135451146922184;0.0011479518548695201;-0.04538693732150425;0.03414934736719223;28.884183096885682;0.2060339116933896
KNR_11_;0.0032091633072673783;0.0012278898787037003;0.031483029707171116;0.0010804659548983896;-0.045188936547938416;0.03162246920350643;28.79766800403595;0.18198375249244267
KNR_12_;0.0032038332454790556;0.0012314844095307079;0.03158174235776628;0.0010359852635729767;-0.04346229520132598;0.030259708779004607;28.787586212158203;0.14755353990688302
KNR_13_;0.003183704549124664;0.0012292556364893914;0.03146281129126134;0.0009993952054675702;-0.03663891714901042;0.025241355340423488;28.79939913749695;0.09617536235336407
KNR_14_;0.0031783677304903176;0.0012280126739776607;0.0314835181404879;0.0009673349590708735;-0.034989281909895434;0.023912814682570015;28.679529976844787;0.08300582071492961
KNR_15_;0.0031682016110507125;0.001239549460678854;0.03149034374928833;0.0010296217424619481;-0.02995287777422053;0.02281039369061884;28.7182434797287;0.06272713825190362
KNR_16_;0.003144932223329231;0.0012221721967930273;0.03150368007340131;0.0011099529333191487;-0.023195915591302886;0.022775681501928744;28.74058563709259;0.1755944479564426
KNR_17_;0.0031410178715279404;0.0012326894019206124;0.031564502347746846;0.0010969290530234183;-0.020753317291664065;0.020461854123199293;28.712601017951965;0.12539188829305362
KNR_18_;0.0031373194627038075;0.0012415815586817964;0.03153490348968178;0.0010991842888414672;-0.019026819921399964;0.01972940800803311;28.686872172355653;0.1356109646342885
KNR_19_;0.0031344610387834216;0.0012337503096557802;0.03154215246352071;0.0010320130436118535;-0.018707837782358894;0.022039145174282338;28.74089982509613;0.10071963283156106
KNR_20_;0.003140031354636462;0.0012385356448427485;0.031647712133633946;0.0011296682673511964;-0.020521265743366445;0.022377287827656172;28.786782956123353;0.13815208429995726
KNR_21_;0.0031357112664247974;0.0012366583840182977;0.031690536097569104;0.0010690164684686635;-0.019262164308497264;0.02505017061908425;28.915552926063537;0.20426669417889784
KNR_22_;0.003131751565231932;0.0012313577929282504;0.03174203533270292;0.001086317301134205;-0.01798064577335351;0.023106485959430354;28.68897099494934;0.11073966160980399
KNR_23_;0.0031202560522999726;0.0012307414198413948;0.03171653087600364;0.0011420025351266123;-0.013203353666874862;0.023021683302567146;28.845994186401366;0.2697085598446854
KNR_24_;0.003119982131268912;0.0012284740362623902;0.03166950310357882;0.0011363999992552226;-0.013278713200666259;0.023532711817284457;28.87427201271057;0.18882396331386853
KNR_25_;0.003113937006562343;0.001217603655466607;0.03174929278113685;0.0011058291294813425;-0.011983300684094556;0.022358963413978444;28.704175806045534;0.14923272056892223
KNR_26_;0.0031081864972415814;0.0012144725076064936;0.031730574719920794;0.0010411641534090988;-0.010188642577105767;0.018332720708828236;28.679504585266113;0.12335185221785468
KNR_27_;0.0031063675161100636;0.0012238272365542263;0.03171100676889997;0.0010969948601193059;-0.008587242589099075;0.019253478337482345;28.708167576789855;0.10478153439153558
KNR_28_;0.003108979111976789;0.001225476056268892;0.031779879539468224;0.0010938162829204944;-0.009428424696194714;0.020685024580211035;28.70216989517212;0.11442724010020046
KNR_29_;0.0031076338700243276;0.0012281581150861628;0.031785582320606964;0.0011145438193393736;-0.008588999360743043;0.021306664672534194;28.76840445995331;0.14234722565051794
KNR_30_;0.003100967843982926;0.001227793100065227;0.031790424007509505;0.001120768424351119;-0.006298196401680578;0.02104874076302627;28.857771039009094;0.4200544241672166
