Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
MLPR_Relu-camadas (1) e neurônios (50)_;0.004552593033338357;0.0012269259591961644;0.04594569913638163;0.003384781831519662;-0.5342970139203436;0.20638434754556964;7.457355785369873;0.5801303315219754
MLPR_Logistic-camadas (1) e neurônios(50)_;0.0034262332598940064;0.001145301874774329;0.036004836364820166;0.002115951371678706;-0.13634846822983793;0.10930995370721375;6.8313466787338255;0.5679673412253204
MLPR_TanHip-camadas (1) e neurônios(50)_;0.00627272062129762;0.0009152069779386983;0.05680378173139959;0.0028150502829803322;-1.191190031123664;0.4416055579694254;7.375667238235474;0.6151799645230054
MLPR_Relu-camadas(3) e neurônios (50)_;0.003783302579497783;0.0010254339632217323;0.03831015042269529;0.003098144597234424;-0.28322442352451516;0.20176510331086459;8.536756134033203;1.4332994845717082
MLPR_Logistic-camadas (3) e neurônios(50)_;0.0031126224198938595;0.0012708856167686945;0.031585193221465774;0.001607040029149629;-0.007823745914817182;0.00971470622591492;6.9697263717651365;0.6092139075581892
MLPR_TanHip-camadas (3) e neurônios(50)_;0.005667490735348523;0.0014335449025325222;0.05307505650635168;0.006338421219613368;-0.9358813833703093;0.4311696926428659;9.214415144920348;0.6099069386405185
MLPR_Relu-camadas(6) e neurônios (50)_;0.003805749488307312;0.0011592692061032825;0.03614280080967064;0.001972985485457865;-0.2682325661094746;0.12605631227243944;13.012517738342286;1.5385322113339253
MLPR_Logistic-camadas (6) e neurônios(50)_;0.003095521940160838;0.001239675300853225;0.03334140197232367;0.001602382294139154;-0.004313913272617142;0.005256376887158783;9.123810863494873;0.8868340610306295
MLPR_TanHip-camadas (6) e neurônios(50)_;0.005879001501051034;0.0008100048171938948;0.053621490592161015;0.0030718400138358966;-1.0616284379974474;0.4259373821949772;11.667458701133729;1.0163369106985256
MLPR_Relu-camadas (1) e neurônios (100)_;0.004361999246922368;0.0010074773295209378;0.044366662367916566;0.0021201340202052347;-0.48868313663888896;0.22609324785751564;8.998399710655212;0.4337621348026082
MLPR_Logistic-camadas (1) e neurônios(100)_;0.0034485284231503856;0.0012142456891207217;0.036425021006326004;0.0021516214305093893;-0.13541241226012163;0.08786089408966437;9.649242782592774;0.9796839278588186
MLPR_TanHip-camadas (1) e neurônios(100)_;0.006337720551604008;0.0007865294806141646;0.05695617232534291;0.0026084032289694714;-1.2366987600714707;0.5256774533346598;7.775405550003052;0.6300585197522253
MLPR_Relu-camadas(3) e neurônios (100)_;0.0038497507986973954;0.0011931240103655405;0.03815985710739149;0.002407093201144369;-0.2792541909162852;0.10333622549174105;11.134732794761657;1.8768882624085335
MLPR_Logistic-camadas (3) e neurônios(100)_;0.003176842982465443;0.0011990437740575263;0.03192207263400022;0.0039681738270787225;-0.03894681834871076;0.054089112930816564;8.664057850837708;1.4762003563892703
MLPR_TanHip-camadas (3) e neurônios(100)_;0.005801728123448435;0.0010628596810029246;0.05288082947513632;0.0026494043322527827;-1.0102671709707916;0.3877727116435117;10.729824686050415;1.1819570395854702
MLPR_Relu-camadas(6) e neurônios (100)_;0.0036650843039001775;0.001209044165332409;0.0355316004475958;0.0016776601569429112;-0.21177716073255137;0.08341334853552043;13.478145813941955;1.8609657394851784
MLPR_Logistic-camadas (6) e neurônios(100)_;0.0031137961780898058;0.0012273390025997995;0.032879549933233596;0.0027489776108964876;-0.012797047940392381;0.018751924734545834;11.297587084770203;1.239974850151011
MLPR_TanHip-camadas (6) e neurônios(100)_;0.005586673428825002;0.0010258901720269396;0.05206010123619843;0.00196774293884938;-0.9284161401755406;0.3172352654341796;11.78686809539795;3.6818952858246567
MLPR_Relu-camadas (1) e neurônios (150)_;0.0043869877810187325;0.001083565514945904;0.043974577578228286;0.0018519472900628234;-0.48944142438565236;0.21892624228278385;6.955275559425354;0.48442012732962514
MLPR_Logistic-camadas (1) e neurônios(150)_;0.003675614551785546;0.0011508544734847809;0.03855369961396747;0.002823608002958674;-0.2269026939328577;0.15644974738225584;6.228699493408203;0.3984874172126783
MLPR_TanHip-camadas (1) e neurônios(150)_;0.006452184651977019;0.0010525655359310076;0.05734738683784296;0.002208735070321763;-1.2520492146900235;0.4644504245995734;6.3069854259490965;0.5847810029427155
MLPR_Relu-camadas(3) e neurônios (150)_;0.0036414383691752913;0.0011750235803162305;0.03645933444974721;0.0017851254885330899;-0.20638279297550444;0.08446036769420714;8.310654091835023;0.40483977020565903
MLPR_Logistic-camadas (3) e neurônios(150)_;0.0031473334356992553;0.001222601701045892;0.03192270673088997;0.0042351862726819275;-0.02554332012931356;0.03436626766185016;7.008028674125671;0.5131229085339732
MLPR_TanHip-camadas (3) e neurônios(150)_;0.005731207984213374;0.0010931026694739965;0.05271876163495113;0.003096605253698585;-0.981499365639336;0.3484064301157736;8.862573599815368;0.7059477021695407
MLPR_Relu-camadas(6) e neurônios (150)_;0.003574934665691718;0.001174242269948928;0.034741525007838864;0.0015181559890196437;-0.18435498097218853;0.08383699404179171;10.076595139503478;1.120630586347751
MLPR_Logistic-camadas (6) e neurônios(150)_;0.0031353005051786647;0.001245422380406909;0.03397386079911156;0.003799213580470629;-0.017037555963260266;0.042203130529660626;9.135162115097046;0.6368420726126156
MLPR_TanHip-camadas (6) e neurônios(150)_;0.005486672453566831;0.0008572365065221408;0.051179553565748236;0.0024848350804373247;-0.9052088878277091;0.33114253226634854;13.802399015426635;1.0168409746433642
