Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
KNR_1_;0.005984621643769932;0.0012732729206628595;0.0439270769283323;0.003610460415937494;-1.0759526229681766;0.4620274529652258;93.27053546905518;28.313747775855703
KNR_2_;0.004710453259702795;0.0010781248343231483;0.04089638256217121;0.002867312114397184;-0.6122192869064607;0.2760359799083452;57.63928456306458;12.087575649118298
KNR_3_;0.0041597195174648445;0.001049503174829627;0.03932123535389766;0.0023425811512484936;-0.41153365770864775;0.1969930875897595;33.902720952033995;0.30454309506057026
KNR_4_;0.0038588743846775923;0.0010197537830829025;0.03843186693503621;0.0018763954120414683;-0.3006264272544979;0.13625826683681813;33.65761969089508;0.42825149066547735
KNR_5_;0.003682070889045405;0.0011250017565067269;0.037757821573751446;0.001958543869197725;-0.22603851050357374;0.08793589529915409;33.48322010040283;0.19089124148880732
KNR_6_;0.0036110333282386936;0.0011826989223745713;0.0372291631972911;0.0018883396318697318;-0.19457273540951175;0.0665649103754759;33.65690577030182;0.371873911552675
KNR_7_;0.0035227419822312714;0.001199131210754174;0.03649690973950556;0.001817146707518134;-0.16210738206563416;0.05886164387565774;33.457511234283444;0.22980733734683606
KNR_8_;0.003489299318652424;0.0012207555766921474;0.036367590147720674;0.0017928621326217962;-0.14974130639793176;0.06138647114533099;33.52796087265015;0.14445208997190911
KNR_9_;0.0034240427877291766;0.001231396654482472;0.03588529331109138;0.0017789884876976924;-0.12444394348988856;0.045176108103396014;34.53676116466522;2.4819839700465898
KNR_10_;0.003383110354946094;0.0012506413359950274;0.03568177553033409;0.001792063866571061;-0.10714690526703978;0.039105696850259095;31.745504522323607;0.8434444732785199
KNR_11_;0.003330943273107012;0.001268012086293347;0.0354303699722683;0.0018254889807751975;-0.08762029909465974;0.03644887433485614;31.19637277126312;0.249905181074846
KNR_12_;0.0032956243184992995;0.001252853616508481;0.03532571743128146;0.0017976235274214786;-0.07631927667719222;0.03598414220371919;32.066930532455444;1.5057665402509233
KNR_13_;0.003292337037975791;0.0012728743774662386;0.035301032379415176;0.0018157502309386151;-0.07353181370261574;0.0432858538831798;31.74128758907318;1.100591639318822
KNR_14_;0.003264033499092608;0.0012337710614751273;0.03522697017069022;0.0017166130408703695;-0.06642866559032841;0.04081083554847489;31.50053505897522;1.36097523512976
KNR_15_;0.0032552608434205112;0.0012503051528721402;0.03519035111503951;0.0018163147814183186;-0.06252233223614426;0.04672307422747015;31.14091911315918;1.038834936165551
KNR_16_;0.003236450120305087;0.0012587465366016258;0.035066369487962865;0.0017708072121819594;-0.055137653825549825;0.04161699867451144;30.627801060676575;0.26022591944969325
KNR_17_;0.0032158472825345582;0.0012472990108510214;0.03493492534657335;0.001635745736935237;-0.0481412078942795;0.04496195918790766;30.644428253173828;0.2007955097282918
KNR_18_;0.003213045070216045;0.0012425531905520405;0.03497108260648433;0.0015612064025576544;-0.04745547889792236;0.04799329145834655;31.213151621818543;1.1795461335100967
KNR_19_;0.0032096493809732423;0.0012460401579769463;0.03500688369057507;0.0015760364224062743;-0.046099722834280134;0.049402192355813224;30.778372764587402;0.6511775329289289
KNR_20_;0.0032061777837549253;0.0012399003864754623;0.03497746867420749;0.0015104348685923998;-0.04538295792485806;0.04801088002754182;31.44584822654724;0.5262216964228857
KNR_21_;0.003191625639226438;0.0012298963423244904;0.034881124960146656;0.0014830477679332764;-0.04085970254061927;0.04733230253339832;31.19068639278412;0.8438276318271356
KNR_22_;0.0031665603275297287;0.0012269483263413882;0.03477441780481594;0.0014122030394357016;-0.03266619159923345;0.05133915083782127;32.39585144519806;1.4181129037706743
KNR_23_;0.0031567127836375753;0.001212911274206642;0.03472897156940719;0.0013917752142668528;-0.030513681928400416;0.051760076728316756;30.914096236228943;0.5925258151766678
KNR_24_;0.0031485234448483798;0.0012055323120271715;0.034708755262775844;0.0014072332811088763;-0.028291858314940167;0.04907922235565818;32.18988847732544;1.8533095113816926
KNR_25_;0.003137545849494523;0.0012039512888326583;0.03463245926419348;0.0014062471481604462;-0.02484136499758006;0.04753145211931696;31.497783946990968;1.4429789300330205
KNR_26_;0.0031355059341239876;0.0012003054135764199;0.034650348222661484;0.0013422300665807039;-0.024517526979123228;0.04723830477854865;30.672630977630615;0.3146218129843962
KNR_27_;0.003141446036244406;0.0012072154304898597;0.0346625537071197;0.0012973931092083873;-0.02634248546065473;0.047790476531716655;30.977565741539003;0.3544740006526043
KNR_28_;0.0031245626817022532;0.0011876746050130096;0.03458681481357787;0.001278226113690558;-0.021524065188564846;0.046362044559228564;31.17473249435425;0.808688397830829
KNR_29_;0.003119979012629312;0.001189215310581099;0.034516172848449725;0.0013104314072448302;-0.019537976790528266;0.04588746127262642;30.618559408187867;0.2684174996265422
KNR_30_;0.0031175596487152514;0.0011964871746614127;0.034473295415727266;0.0013515381420080431;-0.017774940331130584;0.044741158830449566;31.40076003074646;1.0149009925224035
