Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
MLPR_Relu-camadas (1) e neurônios (50)_;0.0034619835173953714;0.0013820355356766525;0.037405025792598495;0.0021753996063342555;-0.12686905337921514;0.0653067721050963;1.1457757472991943;0.41976611800008895
MLPR_Logistic-camadas (1) e neurônios(50)_;0.0033214918034045354;0.0012518951763519123;0.034497746191585445;0.0052232602444155524;-0.11014983064742141;0.30927869269660874;1.2082210540771485;0.2841749770038242
MLPR_TanHip-camadas (1) e neurônios(50)_;0.0037007058243343745;0.0013760881571357408;0.03940157767001186;0.0032732940036857383;-0.21444455239480886;0.08796810396188108;1.2543558597564697;0.22467324767638677
MLPR_Relu-camadas(3) e neurônios (50)_;0.0032242104856419263;0.001257499134690465;0.033905566418367214;0.0025057299161234748;-0.053277956753962775;0.08975695453540955;1.789491105079651;0.15343209802385044
MLPR_Logistic-camadas (3) e neurônios(50)_;0.003095716903142203;0.0012556273052808122;0.03336429637916274;0.0029080879046113448;-0.0020891369339826604;0.013974329061874636;2.195604133605957;0.18949487316463812
MLPR_TanHip-camadas (3) e neurônios(50)_;0.0033281185768842024;0.0012304340816819367;0.035061614269101454;0.0025150082107949826;-0.09146811608643438;0.06739802495206788;2.44356791973114;0.19804356363492187
MLPR_Relu-camadas(6) e neurônios (50)_;0.003218862370660827;0.0012016205377032463;0.03164822347619338;0.003328242107178985;-0.05673203404341851;0.13630407278346693;2.886457920074463;0.9790119085495348
MLPR_Logistic-camadas (6) e neurônios(50)_;0.003102202261566117;0.0012479747577997208;0.03209474904682467;0.0013404395058287243;-0.005306077403020648;0.010737651069462006;3.1752089500427245;0.29267310053268786
MLPR_TanHip-camadas (6) e neurônios(50)_;0.003124350151258702;0.0012537926513714892;0.03329460882610721;0.0026911753853644765;-0.013984994724190847;0.03482528809771172;3.912755584716797;0.17774143442395227
MLPR_Relu-camadas (1) e neurônios (100)_;0.0036120085899760874;0.0012886566387680187;0.037119731307980804;0.0019378393040570044;-0.18874660157035245;0.10224516310843976;1.7680896759033202;0.07474900322131937
MLPR_Logistic-camadas (1) e neurônios(100)_;0.0031117556193657877;0.00125174565352;0.033000319348941515;0.0017150341066511916;-0.008281858996357794;0.033425718447271144;1.8687044858932496;0.14749222017920072
MLPR_TanHip-camadas (1) e neurônios(100)_;0.003646436994675346;0.0011999240092809215;0.039182536944219755;0.002225740312687287;-0.2129722828530758;0.13179275137088453;2.048241901397705;0.1797579684266127
MLPR_Relu-camadas(3) e neurônios (100)_;0.0035657155334289344;0.0011401216008431107;0.03664577924849999;0.0031703033546431215;-0.1953622392212579;0.18005356084416013;4.729059457778931;1.6755499324372698
MLPR_Logistic-camadas (3) e neurônios(100)_;0.0030939284516907075;0.0012477836037443756;0.03232298267474468;0.003109173628322999;-0.0023954368002998107;0.009711618969007232;4.3946243047714235;0.378015570293223
MLPR_TanHip-camadas (3) e neurônios(100)_;0.0033013981258605287;0.0012525228437430978;0.03509203257407086;0.0030660574982855336;-0.07886711981287449;0.048669370773615266;4.6679813146591185;0.17133960838128873
MLPR_Relu-camadas(6) e neurônios (100)_;0.0032988366083981043;0.0013708631593804972;0.032655069661055844;0.0024665258177920244;-0.06296781904476828;0.06489380079379989;7.5821432828903195;2.5970800366849627
MLPR_Logistic-camadas (6) e neurônios(100)_;0.003147735689046554;0.0012504907201754153;0.030918398715859552;0.002214272621838718;-0.021806312607195656;0.03964816972908891;7.05789852142334;0.6049654328483591
MLPR_TanHip-camadas (6) e neurônios(100)_;0.003079969657488299;0.0012273983628833102;0.03338616260731754;0.0017271469121251856;-0.0019300241866279655;0.04674006206045376;8.581605339050293;0.3217934750238528
MLPR_Relu-camadas (1) e neurônios (150)_;0.0036885622810071197;0.00136583100604146;0.03731044115567722;0.002362778196422081;-0.2133697633166935;0.10852828236068272;3.446570062637329;0.7000694307195314
MLPR_Logistic-camadas (1) e neurônios(150)_;0.00315834754467439;0.001257337860579513;0.033103298375759954;0.002867424159924774;-0.02488869571451736;0.03203809446963613;3.3381751775741577;0.27161080603210686
MLPR_TanHip-camadas (1) e neurônios(150)_;0.00367834065858027;0.0011925576347635496;0.03711974380588134;0.0018101276755684839;-0.23052250096286028;0.16301496775894822;3.5452173709869386;0.2511395599431819
MLPR_Relu-camadas(3) e neurônios (150)_;0.0034667670372244158;0.0012248302808826285;0.035656018981842195;0.0026247427509671147;-0.14104205354057814;0.10367664775332941;7.005930113792419;2.006853419656728
MLPR_Logistic-camadas (3) e neurônios(150)_;0.003145669741600967;0.0012413081928297513;0.03325900654975892;0.002681310675732972;-0.024011584558053765;0.03843692657459694;6.267583322525025;0.45460206675134746
MLPR_TanHip-camadas (3) e neurônios(150)_;0.003274984193937646;0.0012586746182160246;0.03459542048610444;0.0026221269792933042;-0.06763410415218776;0.05898399160626604;6.832611417770385;0.19406260605325504
MLPR_Relu-camadas(6) e neurônios (150)_;0.003628286820651318;0.0012123826502791924;0.033400654712714306;0.00221157744401634;-0.20593671384535278;0.1487304004098803;12.039149117469787;2.131754525616761
MLPR_Logistic-camadas (6) e neurônios(150)_;0.0031288609942247267;0.001245427162648078;0.0335358784296463;0.0022310994282427232;-0.016832943469844652;0.0311395568157365;8.345117902755737;0.6832146431174553
MLPR_TanHip-camadas (6) e neurônios(150)_;0.0030557526638918227;0.0012679090148474542;0.0315022308821677;0.0022475901298493394;0.013395226382853809;0.03426763532417742;10.121975207328797;0.3481837803704325
