Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
SVR_kernel linear scale_;0.005735084662612957;0.0012038034034584975;0.06193894230968727;0.0024824890148827166;-0.9642178197396127;0.28366987469378296;0.5233341932296753;0.05402752263059909
SVR_kernel linear auto_;0.005735084662612957;0.0012038034034584975;0.06193894230968727;0.0024824890148827166;-0.9642178197396127;0.28366987469378296;0.5038987636566162;0.042338616446274874
SVR_kernel rbf scale_;0.006851670508688403;0.0011311778558420033;0.07189991195101422;0.0015891306073601565;-1.3766933788682842;0.41690237283963466;0.5003865957260132;0.0470104741993108
SVR_kernel rbf auto_;0.007666023112769501;0.0010993313734547821;0.07938676860144321;0.0011324725355126067;-1.6773623356739944;0.521607312344802;0.18152315616607667;0.03460079811665224
SVR_kernel sigmoid auto_;0.007672958319217186;0.0010980713679833631;0.07942747706306885;0.001118660129644053;-1.6801876350267229;0.523633996865903;0.1504138231277466;0.027979527307714476
SVR_kernel sigmoid scale_;1.365219966825786;0.1758376112994155;0.8932012790554366;0.05048869576060993;-499.6199840657173;175.92319476330428;3.563720774650574;0.2559127389048153
SVR_kernel poly g2 auto_;0.007712190836744605;0.001097011768017718;0.07966833744441022;0.0011133631319443591;-1.6946496731229197;0.5289927294637307;0.11147427558898926;0.007696281863935873
SVR_kernel poly g2 scale_;0.0064651448166509265;0.001136884377858254;0.06833475834013225;0.0019483978325126102;-1.2345747423437448;0.3676312483821094;0.4520658016204834;0.07145759124989598
SVR_kernel poly g3 auto_;0.00771234493773999;0.0010969923513287627;0.07966930263467606;0.0011133042341604348;-1.694707797292893;0.5290159360665954;0.11820087432861329;0.021858872308165852
SVR_kernel poly g3 scale_;0.007440587636277883;0.0010452637749587997;0.07650587684059615;0.0012675514055475832;-1.5994302519923722;0.5035128991041051;0.5125423431396484;0.0630325695511433
SVR_kernel poly g4 auto_;0.007712345230773941;0.0010969923303884744;0.07966930445631612;0.001113304119976728;-1.6947079076070772;0.5290159846080645;0.11626498699188233;0.007649109420680535
SVR_kernel poly g4 scale_;0.00807888896592052;0.001008494659594458;0.0811815005571811;0.0009261783981553067;-1.8358445586123597;0.5858546421112648;0.6572336196899414;0.08189632358805908
SVR_kernel poly g5 scale_;0.008427156122630123;0.001002556727050098;0.0836366136031613;0.0007809026069067453;-1.9634244498508409;0.6274319489989033;0.8122955083847045;0.07625752791635038
SVR_kernel poly g5 auto_;0.007712345231298806;0.0010969923304137246;0.07966930445958467;0.0011133041201806283;-1.6947079077959555;0.5290159846635664;0.14044792652130128;0.027754845632823676
SVR_kernel poly g6 auto_;0.007712345231299456;0.00109699233041376;0.07966930445958871;0.0011133041201809308;-1.6947079077961882;0.5290159846636329;0.12571964263916016;0.017506093151960955
