Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
KNR_1_;0.0002509050224595372;0.00015802138404009318;0.012595168505819803;0.0008769843155670234;-1.0554259564574955;0.4458225566164723;3208.8712545394897;11.292694649442476
KNR_2_;0.0002559875910305413;0.00017363461921087242;0.012525306639880654;0.002578866486309277;-1.0492632491953402;0.5647259176587456;5773.167477178574;4197.789181142761
KNR_3_;0.0001823839105560906;0.0001640339924871475;0.008746659648266519;0.0016402990300592845;-0.3418497257527551;0.19669863243550323;3558.3944230794905;23.54694568652741
KNR_4_;0.00016740075596209056;0.000162803733199316;0.004343741092450862;0.00020500010980065974;-0.20029294330474706;0.06549804551139113;5319.589342927933;1366.7774801515416
KNR_5_;0.00016402568503969228;0.0001616824536539211;0.0042900285335734055;0.000224509745626388;-0.1691600334135552;0.05871409494985757;3939.5046118974687;997.3533479778727
KNR_6_;0.00016169421860092636;0.00016187454660503053;0.004256212839320565;0.00022424908546778607;-0.14562818966184188;0.048655503259647986;3312.370237159729;7.793690983655495
KNR_7_;0.00015848784293506603;0.00015927476989414612;0.0041967336236283966;0.00022615631138096353;-0.12111637683456696;0.04446765489215006;4481.394254660607;1035.1647577126962
KNR_8_;0.00015690310239043214;0.00015981742873861146;0.004156270658623744;0.00021980757522976172;-0.10402646892130829;0.03672556172480901;3296.419708967209;7.4525493548195
KNR_9_;0.0001559495365578333;0.00016016399163018287;0.0041299906177892694;0.00020620023727183754;-0.09346142153198714;0.03126341630670304;3289.6507288217545;18.48240732625951
KNR_10_;0.00015524175585279805;0.0001603126647504397;0.004097809077024457;0.00020189233176992616;-0.08599081759859413;0.028247915703977253;4465.227076363563;1051.784855392719
KNR_11_;0.00015470590833028183;0.00016056127417717904;0.004084779825322905;0.00020211390460846457;-0.08002767866485941;0.02595396475334682;3295.432749795914;6.383449249750516
KNR_12_;0.00015416006960248106;0.00016084477656425343;0.0040603545179891554;0.00020338857582311528;-0.073807208454469;0.0238519354092873;3254.7735243320467;34.96461719058525
KNR_13_;0.00015375337043129755;0.00016099056647215403;0.004046372837114064;0.00020713843242244512;-0.06906655534001307;0.022271267770704237;5368.858818125725;1070.0213157696692
KNR_14_;0.00015341845152904264;0.0001611211731738553;0.004037953229667461;0.00020487788482805887;-0.06532062017121687;0.021101741760555164;5840.945849967003;231.10478517949528
KNR_15_;0.00015295432078539186;0.00016110033247121176;0.0040188576458792665;0.00019447299182814398;-0.060943409182959;0.019555513792701908;4777.209466981888;407.53986211280255
KNR_16_;0.0001525404022957952;0.00016133629323240062;0.004006980001819543;0.00019831820403036363;-0.05613829333012772;0.017972167454420356;4374.919059443474;85.31113833733205
KNR_17_;0.0001522930892742254;0.00016142354009439502;0.004000081233808847;0.00019827382001319938;-0.05360723424535056;0.016731472777009163;3934.9448441982267;473.45932411048494
KNR_18_;0.0001520390479749593;0.00016148811516929846;0.003987180201119897;0.00019953469652490748;-0.050694318024581755;0.01666749517090175;3231.1697911739348;8.812117635827805
KNR_19_;0.00015203752375976342;0.00016150404745816368;0.003978541024487367;0.0002036829185458959;-0.05047366648330236;0.018006506819913837;3229.228153204918;11.989579386300537
KNR_20_;0.0001518145535415381;0.00016141089533733857;0.003964986162727208;0.0002027188065469273;-0.048603609848412964;0.017015231968268395;4996.839591312409;1306.9103636753905
KNR_21_;0.00015160748275892106;0.00016145027829771042;0.003950538773465281;0.00020199882567955405;-0.04661447123954114;0.015743641631584142;6121.522463893891;114.64680073080206
KNR_22_;0.00015145115773994509;0.0001613955551505797;0.003943246650891572;0.0001945127396470754;-0.04522384210604295;0.015474396819362995;4917.473582792282;467.1398693455714
KNR_23_;0.00015142505793403724;0.000161415127516607;0.0039473060465384366;0.00019458325619568933;-0.0450040120622069;0.015192636703753395;4391.5295274019245;100.96923439717794
KNR_24_;0.00015123339349661476;0.00016145544231851275;0.003932461932675481;0.00019129616442641425;-0.042941900233543606;0.01432704548866635;4002.336416745186;473.4262488020303
KNR_25_;0.00015115196331793278;0.00016157603629287834;0.003922479119475772;0.0001927931514044057;-0.04182218725756086;0.013574075802753528;3156.1278549194335;37.567588510691174
KNR_26_;0.0001510411524464027;0.00016161059590880173;0.003920727613405121;0.00019064860655174746;-0.040638946193363765;0.013453031034655713;3179.0404250144957;24.81059907062451
