Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
MLPR_Relu-camadas (1) e neurônios (50)_;0.0002318587325927896;0.00016103415810895657;0.008402302191759272;0.0005333112943393286;-0.8441963232220508;0.31153473471826504;74.1333259344101;4.837896940572594
MLPR_Logistic-camadas (1) e neurônios(50)_;0.00016980848661530775;0.0001592721345701011;0.006012892346757672;0.000490580003422449;-0.23426888124913106;0.1063172301831372;73.62386174201966;1.928373973969756
MLPR_TanHip-camadas (1) e neurônios(50)_;0.0002364957660983043;0.00015448132566756736;0.00834554083875176;0.0009238319758524429;-0.9315415916370042;0.4812937812327711;74.66956868171692;4.105557133034703
MLPR_Relu-camadas(3) e neurônios (50)_;0.00018112818644749158;0.00016047621760395048;0.006028934035005503;0.000516559359782602;-0.3431080651955817;0.12930960260497054;72.66717357635498;5.757033880017145
MLPR_Logistic-camadas (3) e neurônios(50)_;0.00015142430303664574;0.00016035539541006484;0.004804147151270111;0.001583072590661856;-0.04682760722082594;0.07374242210246496;44.28585767745972;0.7843015227269116
MLPR_TanHip-camadas (3) e neurônios(50)_;0.00019994755020328318;0.00016219275300762448;0.007437564939317046;0.0013652224565795688;-0.5240704302951225;0.27445437719575505;44.31979796886444;0.8399841032650158
MLPR_Relu-camadas(6) e neurônios (50)_;0.00018057381726106805;0.0001644918668392381;0.005339630679216247;0.0007360370907543984;-0.3294104469528314;0.1338380986729097;46.00055902004242;0.8097964724509095
MLPR_Logistic-camadas (6) e neurônios(50)_;0.0001673091046167173;0.00016135575435004712;0.005997251124086207;0.0030427588115314896;-0.24334240411879454;0.5911428094302197;44.14229576587677;2.595470356308872
MLPR_TanHip-camadas (6) e neurônios(50)_;0.00018201940115507087;0.0001589331480043304;0.006344882956740354;0.0005006609023656722;-0.3616166577968379;0.1755455197588505;43.307747626304625;0.4514910513191015
MLPR_Relu-camadas (1) e neurônios (100)_;0.00021466973740588333;0.00016717160789073138;0.007719004564560329;0.00097792613302312;-0.6508040757767979;0.271407307971112;62.076463031768796;2.3176272380738148
MLPR_Logistic-camadas (1) e neurônios(100)_;0.00018062781244236728;0.00015867641145651023;0.006652749638356857;0.0014788702586349723;-0.3519153937653418;0.29091698186473514;62.524267530441286;1.9798341595586628
MLPR_TanHip-camadas (1) e neurônios(100)_;0.00021232677712919795;0.0001547303022665553;0.0075771956234235716;0.0007016335790897291;-0.6652268543840479;0.30686451677521975;68.33508841991424;1.347669608344562
MLPR_Relu-camadas(3) e neurônios (100)_;0.00017811772748689054;0.00015657600987860074;0.005474219098864681;0.0003776027851142635;-0.3256618451950972;0.15721022316890182;64.27378582954407;2.154330261723271
MLPR_Logistic-camadas (3) e neurônios(100)_;0.00015074749474336537;0.00016167225042204664;0.005220080881493517;0.0012279852370332088;-0.03599527842751018;0.0539016040683959;66.16908423900604;0.5749768641405668
MLPR_TanHip-camadas (3) e neurônios(100)_;0.00018937201974862178;0.00015539031459886607;0.006936679897610548;0.0006007843229790388;-0.44649092255361067;0.21587042205621487;65.94521598815918;0.8940603649703289
MLPR_Relu-camadas(6) e neurônios (100)_;0.00016753298573127758;0.00016345368215629535;0.004882312292239084;0.00044870191871450033;-0.20058505856301573;0.0858685125177682;68.03844666481018;0.6243748500468075
MLPR_Logistic-camadas (6) e neurônios(100)_;0.00016629075188606739;0.0001913790242446819;0.005554009296565245;0.0025093688874007476;-0.11557992371108294;0.16019153138062375;70.44778573513031;0.6014498914100186
MLPR_TanHip-camadas (6) e neurônios(100)_;0.00018169342354171523;0.00016027084363059096;0.006659695514252531;0.0008015293668048867;-0.3466088303591784;0.1390979900408646;71.73828930854798;0.8534416920148277
MLPR_Relu-camadas (1) e neurônios (150)_;0.00020412668050569558;0.00015834289033091588;0.007289042340795087;0.0008662855147859127;-0.5754121255361453;0.21495994169936133;85.69130492210388;2.816001346680692
MLPR_Logistic-camadas (1) e neurônios(150)_;0.00018160525862832475;0.00015892206302994347;0.006666516359275396;0.0015047010879946985;-0.35266089905352954;0.26528257423310064;87.41918580532074;0.2762759927938765
MLPR_TanHip-camadas (1) e neurônios(150)_;0.0002086756181348893;0.00016117728475188316;0.007457009655517567;0.0006748975263133603;-0.6078212437456053;0.27763031136436983;97.81350946426392;3.361667938169413
MLPR_Relu-camadas(3) e neurônios (150)_;0.0001776797171554012;0.00016248115592533985;0.0054358176396746526;0.0006003835032663519;-0.3045323518561842;0.17931172545038943;90.77418665885925;0.6900258907708818
MLPR_Logistic-camadas (3) e neurônios(150)_;0.0001679621648309407;0.00016914176694720457;0.006468940806448084;0.0025763003992397395;-0.19100206801386857;0.19652550795798301;92.76263465881348;0.4329691268899035
MLPR_TanHip-camadas (3) e neurônios(150)_;0.00019757987539831094;0.0001542186946019474;0.0072861537183511555;0.0008537218482780838;-0.5256460144301468;0.23452367042183442;92.92094399929047;0.7383632874019865
MLPR_Relu-camadas(6) e neurônios (150)_;0.00017040549396359032;0.0001619116629383801;0.005260936264834907;0.0008624815549063894;-0.23598162528098898;0.1249497611926886;96.04549403190613;0.4688591299669778
MLPR_Logistic-camadas (6) e neurônios(150)_;0.00015585562074935065;0.0001597942784741168;0.0047470506107777696;0.0018749070400113758;-0.09939534121899887;0.18995922387821532;99.85503942966461;0.7352662412456243
MLPR_TanHip-camadas (6) e neurônios(150)_;0.00017176391721759562;0.00015983493032531996;0.005914987436324825;0.0005466010462010052;-0.25435233176829086;0.13393953401411654;100.8616783618927;0.3988457275913133
