Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
SVR_kernel linear scale_;0.0015673670058959012;0.0025203183348890762;0.027147301310251254;0.02203941081120573;-7.600354799085785;2.29867603532789;9.105689668655396;1.5383548814842052
SVR_kernel linear auto_;0.0015673670058959012;0.0025203183348890762;0.027147301310251254;0.02203941081120573;-7.600354799085785;2.29867603532789;8.404901504516602;1.4241390845536765
SVR_kernel rbf scale_;0.0059370041371997855;0.0013150753497740489;0.07578187401889538;0.0071433810491678094;-54.42429095661421;14.807301527211964;15.611209273338318;3.264268225729071
SVR_kernel rbf auto_;0.009522500069637544;0.00013614682280152724;0.09699377318773787;0.00015952920027922002;-93.28952200652562;28.14548706935441;1.5779243469238282;0.22427286765980106
SVR_kernel sigmoid auto_;0.009524909098935495;0.00013626828754624684;0.09700614286006257;0.00016014753365780468;-93.31320142972207;28.152682175197096;1.190143632888794;0.16749316670266495
SVR_kernel sigmoid scale_;0.0009328681839360639;0.00026371375539263966;0.023140767252489248;0.002929964554397841;-7.5115524325158916;2.060607066971185;14.861148238182068;1.9133280087698807
SVR_kernel poly g2 auto_;0.009527277987490281;0.00013640254550769936;0.09701830407254056;0.0001608182797536187;-93.33640374592567;28.159580303257925;1.2238234281539917;0.19866752419113062
SVR_kernel poly g2 scale_;0.007995722454228565;0.0006122085946310644;0.0887026396733593;0.0027452366290777793;-76.80831422903455;22.495215340201803;13.234682035446166;3.302731638384074
SVR_kernel poly g3 auto_;0.009514957688758983;0.0001343073885670956;0.09695477440824642;0.00015037613174234425;-93.21546874867704;28.112366358070727;1.2170489072799682;0.20121707813856082
SVR_kernel poly g3 scale_;0.009385051163514195;0.0001702672952979741;0.09628071661053875;0.0003341338502219465;-91.82095884187378;27.62435540126931;17.97786602973938;5.391145728801011
SVR_kernel poly g4 auto_;0.009523536361210127;0.00013816308337601948;0.09699900659053297;0.00017848622828529792;-93.29615802856861;28.147468392184603;1.187483811378479;0.16538675714080597
SVR_kernel poly g4 scale_;0.009403345147213447;0.00017212210045372417;0.09637734231470625;0.0003472328094833092;-91.99442765137488;27.659619520499938;5.306721448898315;1.3131983888685168
SVR_kernel poly g5 scale_;0.0094545339013507;0.00015896934587116023;0.09664255266512285;0.0003137825025303234;-92.55666346147004;27.8865867433366;3.049658179283142;0.5874360037362937
SVR_kernel poly g5 auto_;0.009514179587017682;0.00013484433701763126;0.09695073455399471;0.00015943891732971864;-93.20676817058636;28.109019731543235;1.130540680885315;0.123644979103203
SVR_kernel poly g6 auto_;0.00951791815362653;0.00014019845274856522;0.09697004337226448;0.0001931146312253433;-93.2297411797424;28.105613759034963;1.1137410163879395;0.13748195436678848
