Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
MLPR_Relu-camadas (1) e neurônios (50)_;0.00017539561674985075;0.0001625108081513875;0.006639852668602783;0.0005503740432419719;-0.2783595896267969;0.10980529300157645;2.6897747993469237;0.2600568830202703
MLPR_Logistic-camadas (1) e neurônios(50)_;0.00014963581875569582;0.00015989524955331585;0.005033334091714149;0.0009025662213254279;-0.03110288791397895;0.06116469461976911;2.713189196586609;0.1870787025886733
MLPR_TanHip-camadas (1) e neurônios(50)_;0.00017343307768259052;0.00015934354581879361;0.006732640628340064;0.0017406115089388288;-0.26596358463857295;0.26325189063288806;2.9850515842437746;0.19099137433185073
MLPR_Relu-camadas(3) e neurônios (50)_;0.00015511531681747503;0.00015967306699335603;0.005438982109880626;0.0013416430077627403;-0.08196382702025104;0.10998544679091;3.7487261295318604;0.1942220484499109
MLPR_Logistic-camadas (3) e neurônios(50)_;0.0001528121236350144;0.00016022318615728222;0.004640018781414434;0.0009526935109580778;-0.06628790036156137;0.16354312206170268;4.197057294845581;0.24254741120207304
MLPR_TanHip-camadas (3) e neurônios(50)_;0.00016079130700825202;0.00015768391016834568;0.006203238058470549;0.0009908877044803738;-0.1543686832363168;0.1854882640864269;4.591891646385193;0.24351367793465772
MLPR_Relu-camadas(6) e neurônios (50)_;0.00014903608079911974;0.00015943223572214147;0.004717834668226042;0.0011767260897304012;-0.03148285528425023;0.1087055640616644;5.588940834999084;0.2705108488148266
MLPR_Logistic-camadas (6) e neurônios(50)_;0.00015558920653599195;0.0001598286602334257;0.005505202209006531;0.0019642080937807204;-0.10063551841985496;0.22796452804909328;6.486995720863343;0.2155820242862228
MLPR_TanHip-camadas (6) e neurônios(50)_;0.00015470399613726435;0.00015930063020241743;0.00511905993950767;0.0008706186384061295;-0.08884739160085883;0.11271915712289474;7.1563180685043335;0.37328637561958317
MLPR_Relu-camadas (1) e neurônios (100)_;0.00019132086556592723;0.00015775975361678328;0.00745424485218108;0.0011754853365471035;-0.4626812234070779;0.28531533232390777;3.548884057998657;0.12143089585140242
MLPR_Logistic-camadas (1) e neurônios(100)_;0.00014853722570293973;0.00015998570987128634;0.005054167071813094;0.0003326568541357686;-0.020569298052957662;0.04516334218400117;4.068948030471802;0.14357493394969828
MLPR_TanHip-camadas (1) e neurônios(100)_;0.00017964366376241813;0.00017256330588941483;0.006629863395301904;0.0012726767291107487;-0.30322685113804926;0.23532198926423853;4.314840459823609;0.2520662076052994
MLPR_Relu-camadas(3) e neurônios (100)_;0.0001530212613780011;0.00015916572711844736;0.005413818951728712;0.0006853418553632966;-0.06782809195426578;0.06750451814406756;5.92108736038208;0.35840055001272564
MLPR_Logistic-camadas (3) e neurônios(100)_;0.0001488790491178811;0.00016201325903618822;0.004218772921863132;0.0011664913175453064;-0.019615948339785992;0.039166165565385117;10.37097761631012;3.7678406862535856
MLPR_TanHip-camadas (3) e neurônios(100)_;0.000152044120115774;0.00015969919217277635;0.005178436154043643;0.0010357359974144701;-0.05830781472382721;0.0695502485353178;16.150671696662904;0.06467540716211066
MLPR_Relu-camadas(6) e neurônios (100)_;0.000170448371965732;0.00015691168021828448;0.006076043945307893;0.002684165587277963;-0.2667932058565866;0.43016989341741807;19.096237063407898;0.06970901259801959
MLPR_Logistic-camadas (6) e neurônios(100)_;0.00019105215400345502;0.00017245504708964662;0.007378532909962763;0.004544428639059544;-0.5102344013698616;1.081348868705708;23.625664782524108;0.14767636131566883
MLPR_TanHip-camadas (6) e neurônios(100)_;0.0001493080276388327;0.00015875126687124578;0.004937774108607102;0.0011135078126620415;-0.03246916610680243;0.07617620808304948;26.60247859954834;0.09250369171560893
MLPR_Relu-camadas (1) e neurônios (150)_;0.0001926329712348474;0.00015720293822373737;0.00745587696555933;0.0006222772865633986;-0.4646855597553742;0.1606789799184787;10.283253145217895;0.07113793229708174
MLPR_Logistic-camadas (1) e neurônios(150)_;0.00016063105133544338;0.0001821663689400401;0.005964691416444429;0.001318959083592754;-0.07851253005070472;0.08264481641955469;11.067609834671021;0.34362003627035204
MLPR_TanHip-camadas (1) e neurônios(150)_;0.00019736149321777008;0.00015802807547188287;0.007715890848822372;0.002132814789523471;-0.5556116251964047;0.7141584098926596;11.751368021965027;0.05062408554770403
MLPR_Relu-camadas(3) e neurônios (150)_;0.00015940053491402852;0.000160675982036102;0.005661101394802903;0.0010600765855825135;-0.12809215404508875;0.12108808960879922;18.174680161476136;0.07512777957357512
MLPR_Logistic-camadas (3) e neurônios(150)_;0.0001675111197632564;0.00015517639803525963;0.0053941212002629885;0.0014397156029081332;-0.2383835505710865;0.26627304439292476;21.155376076698303;0.07969310714982131
MLPR_TanHip-camadas (3) e neurônios(150)_;0.00015555841623531613;0.00016306113101009707;0.00504261158130833;0.000496247685420671;-0.0815083005175524;0.10170603027629398;22.850558972358705;0.09789889583397282
MLPR_Relu-camadas(6) e neurônios (150)_;0.00014853243762798173;0.0001590710888059046;0.004965779479857846;0.001390490332427087;-0.026435784679835185;0.11395235594931341;29.069232392311097;0.08386269662440693
MLPR_Logistic-camadas (6) e neurônios(150)_;0.00015820223571891674;0.00016147820704981084;0.005706063373953694;0.002134317141984898;-0.10853320525062346;0.1187288146490852;36.76241962909698;0.3111881548096609
MLPR_TanHip-camadas (6) e neurônios(150)_;0.000146504430057037;0.0001609449378391113;0.00475126008373627;0.0004027203653442207;0.001449817088303529;0.026195609368184384;39.09343583583832;0.07753521894374336
