Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
SVR_kernel linear scale_;0.0035033532138833063;0.0013019173997725808;0.05507194163092947;0.009664676565674518;-30.564979434508654;8.929102176036524;1.0015912294387816;0.1664474445622147
SVR_kernel linear auto_;0.0035033532138833063;0.0013019173997725808;0.05507194163092947;0.009664676565674518;-30.564979434508654;8.929102176036524;0.8753542184829712;0.06482318232364724
SVR_kernel rbf scale_;0.0037545790515377763;0.0017578856999452674;0.05801474071589234;0.011663412645897738;-31.67429610352758;8.243875737040094;0.8810992240905762;0.1222922747316035
SVR_kernel rbf auto_;0.009531170165675987;0.000136341891972519;0.09703824465340163;0.00016864862131927392;-93.36793518631609;28.141846308382277;0.16453707218170166;0.019522106357958334
SVR_kernel sigmoid auto_;0.009547385426628339;0.00014000722326443246;0.09712211399046569;0.0001816813427163761;-93.52329807802955;28.200408764871312;0.12799322605133057;0.02947284020207799
SVR_kernel sigmoid scale_;104.83233775140494;52.577687289722434;6.7026890150620915;3.3397350036617737;-1063869.5822601565;660624.2387371939;145.96949207782745;72.82105827364471
SVR_kernel poly g2 auto_;0.009535254829561109;0.00013750340387411658;0.0970594268022763;0.00017166367334505215;-93.40755888129567;28.16154456963113;0.1271453857421875;0.018976493156650145
SVR_kernel poly g2 scale_;0.004457677204386182;0.0015482194109092552;0.06403654985971566;0.009928299037520747;-39.443624059556996;11.45477004270088;1.0132944345474244;0.14870257952242458
SVR_kernel poly g3 auto_;0.009523221058419955;0.00013578604901293262;0.09699739257605827;0.000162318560903355;-93.29295174099113;28.131232523180103;0.10266497135162353;0.012652507991274578
SVR_kernel poly g3 scale_;0.006594972883980839;0.0010109852877741652;0.07989967026527728;0.0054538417738000155;-62.1850270005534;18.67141449490285;1.233070683479309;0.25335211770721633
SVR_kernel poly g4 auto_;0.009522134163813034;0.00013253427297419933;0.0969917612616032;0.00014732892374779748;-93.29123210117393;28.136038479291578;0.12237894535064697;0.026266749233383537
SVR_kernel poly g4 scale_;0.008277029142989546;0.0005033358709089925;0.09017245695741627;0.0022605486662966483;-80.19356452601016;24.325837458880997;1.8618199586868287;0.3624319737425537
SVR_kernel poly g5 scale_;0.009035321422294582;0.0002425966975111385;0.09439660535305008;0.0007479191683609231;-88.21620311000534;26.61125239354651;2.797431969642639;0.6271574475462453
SVR_kernel poly g5 auto_;0.009512930172796358;0.00013520820101942146;0.09694431456490041;0.00016263101042412342;-93.19091695222541;28.09638509960966;0.11824374198913574;0.02197894553227017
SVR_kernel poly g6 auto_;0.009509343176437476;0.00013626978873415737;0.09692582204377116;0.00016448536685194769;-93.15362721399906;28.088505825426072;0.09950814247131348;0.008714059137924739
