Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
KNR_1_;0.0010730825906951128;0.00042719572995090696;0.011289247593604107;0.0003568248811731436;-0.03631636865253714;0.01182853320856467;2062.855685210228;58.51519791615188
KNR_2_;0.001099273201252473;0.0004259897950776126;0.010697442987742346;0.00039166639246949575;-0.06576122879565349;0.016656163184082175;2107.455890393257;27.52320908914107
KNR_3_;0.001116390041457507;0.0004248967426501389;0.010548175991082301;0.0004327283233464568;-0.08510688203268515;0.021771453978558054;2095.5663427352906;21.768074115851725
KNR_4_;0.0011768843884544594;0.00041286287541704946;0.013983841475231679;0.0012288186591660397;-0.15752157741474798;0.06663879665591872;2066.8811396837236;41.02828811081981
KNR_5_;0.0011483524362708804;0.0004098810210056662;0.013846866332039704;0.0011783703888742353;-0.12593014009997702;0.05035136025661611;2059.075062227249;11.569976651768357
KNR_6_;0.001126883276869419;0.00040979235871598977;0.013675057174359285;0.001118580714245879;-0.10193095656869841;0.03955485250527947;2071.052902698517;9.721115450445803
KNR_7_;0.0011109399515515559;0.00040804691483216387;0.013495521162218766;0.0010537242702943859;-0.0846089028722596;0.03310882587275152;1397.5906928539275;140.4403196194399
KNR_8_;0.0011004138510283114;0.00040529037179610274;0.01335911916830147;0.0010022716940563223;-0.07379500786802744;0.032864773821604715;1392.3287185192107;15.197598964150405
KNR_9_;0.001092191005301223;0.00040661199303293266;0.013277214275387455;0.0009759120135047975;-0.06418955565558462;0.02866278479116383;1365.8151397943498;5.421486375979463
KNR_10_;0.0010833777360870873;0.00040858782072387723;0.013154572166280552;0.0009494059707195798;-0.05404787762127468;0.02694977312695857;1363.247237467766;3.1521930313375743
KNR_11_;0.0010760326125495022;0.00041066086977039815;0.013023757996846047;0.0009195351458206365;-0.04495743682471722;0.023955945567526726;1363.250622534752;3.3157605251644484
KNR_12_;0.0010723420258872717;0.00041067111633249814;0.012971409649318866;0.0009065473534562037;-0.040894138818484846;0.023347744108080146;1363.4150275707245;3.2304283755103027
KNR_13_;0.0010665147814275205;0.00041342439794878207;0.012903194715152808;0.0009039558897114217;-0.033503021609190144;0.023324196573027076;1363.4330135583878;3.2864042212037967
KNR_14_;0.0010645855728238355;0.00041481698503081254;0.012838146312649276;0.0008881154548727881;-0.030762466701205714;0.02272950908900579;1363.466987466812;3.5666732983403313
KNR_15_;0.0010618927727781388;0.0004150107930940533;0.012766560093364807;0.0008712272433217652;-0.02766675819801636;0.022587448202731383;1364.8790942192077;3.3125696449110436
KNR_16_;0.0010592068326168128;0.0004154080297740825;0.01269216818695727;0.0008594467471802613;-0.02455950838091083;0.022232045869958316;1363.647224187851;3.256567954810232
KNR_17_;0.0010565061042593442;0.0004152221618360294;0.012625893975005853;0.000845449599819547;-0.02169302460895577;0.022332963602948792;1363.3379197835923;3.0841956192426605
KNR_18_;0.00105321606168673;0.0004146816335518979;0.012560367897228373;0.0008370384265282817;-0.018217785137304144;0.022789237203654236;1364.285959672928;3.6312506641745235
KNR_19_;0.0010509645110058819;0.0004143090299778569;0.012509638682835578;0.0008168045860028854;-0.01600260269267272;0.020978597356884985;1363.2793489217759;3.441208858734995
KNR_20_;0.0010481472059801211;0.0004124274064771798;0.012484686793502998;0.0007679376478750913;-0.013502098673816177;0.019841767313276006;1364.000776696205;3.5943835042639782
KNR_21_;0.001047284386315624;0.0004128769078287075;0.01247019471003558;0.000752916741305715;-0.01247610240356103;0.017148095212690364;1364.1894879579545;3.607848670715856
KNR_22_;0.001047622116060907;0.0004141854101980266;0.012483950266285234;0.0007278688762417358;-0.012530949704260963;0.016051413840508472;1363.95802590847;3.4725083173915636
KNR_23_;0.0010479770577208676;0.0004147678069788937;0.012511064454254341;0.0007068770298825092;-0.012738364948171621;0.015707928634621237;1363.595965409279;3.2201488164756684
KNR_24_;0.0010478069560579265;0.0004143862855051951;0.01252932895147823;0.0006753852074333024;-0.012708073241131334;0.01552757710996909;1592.7390328645706;313.62360172344756
KNR_25_;0.0010472902656111296;0.0004140777838508456;0.01254553641561508;0.000672168957464886;-0.012266344399855467;0.014025286191509959;2087.972751903534;52.260627957107076
KNR_26_;0.001047343058656394;0.00041382674538314887;0.012571141318987006;0.0006434508641448947;-0.012456327992122184;0.01434661675924844;2081.8415920972825;50.866968844003
KNR_27_;0.0010471547386542582;0.00041447532468449243;0.012593569792303111;0.0006476656294937548;-0.012120846076438884;0.014027064053496522;2103.76170361042;46.2780753341575
KNR_28_;0.0010463385577445124;0.00041449452464392255;0.012608032022504795;0.0006374312161503869;-0.011231625805401458;0.012679021208779345;1986.8782896757125;49.134125090798975
KNR_29_;0.0010469992402864431;0.0004146314848739485;0.012641778671377887;0.0006368022147070277;-0.011946561040571003;0.012449955785360995;1981.3918007135392;24.6609795020554
KNR_30_;0.0010461222164924917;0.0004137498377391162;0.012657448002876446;0.0006234197173175421;-0.011349272455705028;0.012839598256063749;2030.3318791389465;45.718896731674725
