Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
MLPR_Relu-camadas (1) e neurônios (50)_;0.0015071707911124908;0.00034903593161194577;0.02241888223688071;0.0019365133487801978;-0.5645696247496913;0.34518744066536083;60.72228467464447;5.125953377061103
MLPR_Logistic-camadas (1) e neurônios(50)_;0.0011979762186485957;0.00038504287734446774;0.01813199718292939;0.0008467004278161355;-0.1942091757101236;0.1230551296112605;57.626611423492434;4.333777099529397
MLPR_TanHip-camadas (1) e neurônios(50)_;0.0018173431768231604;0.0004223752821953781;0.02603371016508787;0.0010580286729981207;-0.8704671861544305;0.33341695802211024;66.2990958929062;1.5423323961645552
MLPR_Relu-camadas(3) e neurônios (50)_;0.0013621028103829175;0.0004384058197523824;0.018336658774672894;0.0008169013377840084;-0.35650739929469283;0.15133117309057403;65.14095928668976;4.977422139060492
MLPR_Logistic-camadas (3) e neurônios(50)_;0.001044284754573843;0.00041433943987133804;0.012649010762212514;0.0012932664818033509;-0.009150251639878459;0.021412497172703875;65.94359111785889;2.990078106204134
MLPR_TanHip-camadas (3) e neurônios(50)_;0.0016090542373533919;0.00033980047758628955;0.0236715580846152;0.0005242283123470167;-0.6648783052075226;0.2999530716406174;71.04637806415558;2.9737000669790565
MLPR_Relu-camadas(6) e neurônios (50)_;0.001245606966251395;0.0004205195251295559;0.015417053854697615;0.0010783421004351308;-0.23442628504752888;0.12111908428716275;77.88358645439148;10.639052759407637
MLPR_Logistic-camadas (6) e neurônios(50)_;0.0010456085121147026;0.00040922339155862126;0.01369451383527851;0.00129462674384589;-0.012076807909173582;0.027444303864106092;64.12456576824188;2.0726087614837607
MLPR_TanHip-camadas (6) e neurônios(50)_;0.0015329956774583907;0.0003387242783961237;0.022162954289601963;0.0017875234597706782;-0.586405717679743;0.30558394931587;77.21018450260162;3.9284498275725883
MLPR_Relu-camadas (1) e neurônios (100)_;0.0014641573709744144;0.000452914034027571;0.02187890611080117;0.0014798667522743216;-0.46817541114223804;0.18200508704457152;88.68850879669189;2.539846004970908
MLPR_Logistic-camadas (1) e neurônios(100)_;0.001205489442280542;0.0003947379357472632;0.01805914100613374;0.0007238842700394647;-0.19791856958694778;0.11865428941793947;77.55393042564393;11.754535802001865
MLPR_TanHip-camadas (1) e neurônios(100)_;0.0017372375312854488;0.0003654498976939897;0.025060551895896777;0.0005822135599740782;-0.7967694478858915;0.31996610311364443;73.27505626678467;1.9051056995814424
MLPR_Relu-camadas(3) e neurônios (100)_;0.0012263236794248366;0.0004422011599436213;0.01618696133386724;0.0010286998022596722;-0.20058000924421981;0.05145587575912808;72.0741352558136;6.27830308379246
MLPR_Logistic-camadas (3) e neurônios(100)_;0.0010710759423744026;0.00043934311709915136;0.01454402307741794;0.002690459901072023;-0.030017356472357714;0.04038172842883399;69.76095125675201;0.8403088091847689
MLPR_TanHip-camadas (3) e neurônios(100)_;0.0015367741348225057;0.0003600751477391296;0.02270049160971161;0.0014866723326520362;-0.580134834504691;0.2679974463851185;75.16696701049804;3.170775551430823
MLPR_Relu-camadas(6) e neurônios (100)_;0.0012072356419501333;0.0004012418860024506;0.015230364108414158;0.0007589843493043165;-0.19341522768532027;0.07912066499701917;93.6630300283432;6.405674747664853
MLPR_Logistic-camadas (6) e neurônios(100)_;0.0010811272040997524;0.0004708248927250066;0.014525626552047102;0.004104766267878793;-0.03291476760194552;0.047357241144943725;76.05314531326295;1.6554009991213516
MLPR_TanHip-camadas (6) e neurônios(100)_;0.0015220552634242885;0.0004024878778053115;0.0223006704738123;0.0020637813069643582;-0.5589023107714677;0.3095702458554849;78.99708077907562;2.559825476210563
MLPR_Relu-camadas (1) e neurônios (150)_;0.0014122279395713277;0.00042847263804540335;0.021285432717746286;0.0017353912820301856;-0.4151623412097803;0.16911456480889636;96.3719471693039;7.431333548396537
MLPR_Logistic-camadas (1) e neurônios(150)_;0.0012364639984538957;0.0003787388280618227;0.018816573908367377;0.0007785072388336008;-0.23735117857606136;0.13499883758164333;102.2703547000885;4.741360845944827
MLPR_TanHip-camadas (1) e neurônios(150)_;0.0017437500965575298;0.00037788080179779166;0.025177780364142515;0.0008411704774264924;-0.8070156701941809;0.35535524818804964;114.5613808631897;2.2369969898353332
MLPR_Relu-camadas(3) e neurônios (150)_;0.0011794413940444557;0.0003888775019770052;0.01556201264858352;0.0006642107688918505;-0.17152053366150694;0.11755644362013254;123.49674756526947;11.435842353957339
MLPR_Logistic-camadas (3) e neurônios(150)_;0.0010728021327691046;0.0004021142611536734;0.014646300371294435;0.0034861692480852775;-0.04675469081438079;0.05268015864868974;112.95390236377716;4.099360560406459
MLPR_TanHip-camadas (3) e neurônios(150)_;0.0015006789996171528;0.0003416048503259092;0.022437844569767634;0.0012275825435329368;-0.5526160723338769;0.3184912718334595;117.2890475511551;4.9101975560630216
MLPR_Relu-camadas(6) e neurônios (150)_;0.0011555936324396984;0.0004150317409241485;0.014763631678673488;0.0009357780504421653;-0.13366206884825088;0.06677976512935138;148.55208353996278;3.8592619478669548
MLPR_Logistic-camadas (6) e neurônios(150)_;0.001067622264905782;0.00040935923556060025;0.014587843360628258;0.0030783198892420393;-0.03874158041459876;0.05765546741019011;117.58133523464203;6.784010246362274
MLPR_TanHip-camadas (6) e neurônios(150)_;0.0015130994953118895;0.0003379654284611275;0.022352442975458395;0.001245213737171503;-0.563813141608963;0.30732197078532925;117.19849178791046;3.653379818312449
