Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
SVR_kernel linear scale_;0.00293774929813368;0.00041977694772694837;0.0401223572330575;0.0013922027759827177;-2.130370102077511;0.8234469377744141;41.07866804599762;2.650757611682407
SVR_kernel linear auto_;0.00293774929813368;0.00041977694772694837;0.0401223572330575;0.0013922027759827177;-2.130370102077511;0.8234469377744141;39.74543159008026;2.1464234746288313
SVR_kernel rbf scale_;0.006794352999580665;0.0004625652372472587;0.0781070310812147;0.0013541538587249378;-6.387718489938914;2.189898955005445;70.12741641998291;4.594303543924466
SVR_kernel rbf auto_;0.008989211638101055;0.00034425549219049156;0.09173235882491587;0.0004438178336132963;-8.852202452125104;3.061540551472998;7.3128633260726925;0.377551265086702
SVR_kernel sigmoid auto_;0.008999849761063251;0.0003466650571791243;0.09179005194616588;0.00045416008992709084;-8.862785491091255;3.0609957852824516;6.830593538284302;0.5448759853232469
SVR_kernel sigmoid scale_;0.5844946939321833;0.09952146554988182;0.25042958568052587;0.016664858440643294;-619.5056990451219;159.94522363883365;945.8699330329895;39.27675721566076
SVR_kernel poly g2 auto_;0.009002472157694945;0.0003462285940633984;0.09180400502502437;0.0004542185966598273;-8.865999752476908;3.0633378445931356;6.285647511482239;0.4466018764779624
SVR_kernel poly g2 scale_;0.008244390706313758;0.00039077425631412296;0.08735428988151848;0.0007562388261253151;-8.015128037697767;2.763301389619489;79.67421128749848;5.502336650007442
SVR_kernel poly g3 auto_;0.008985242895792197;0.00034571174788405624;0.09171010700017897;0.0004543158216844919;-8.847167506842146;3.057951134237953;6.211028838157654;0.3525892801442621
SVR_kernel poly g3 scale_;0.008969858948426886;0.000338573433579653;0.0916218425651469;0.00040680225922178027;-8.833864948471653;3.0651079559766843;80.95590128898621;6.276495281831349
SVR_kernel poly g4 auto_;0.008985242895786954;0.0003457117478735713;0.09171010700014955;0.0004543158216676936;-8.847167506840144;3.0579511342465384;6.404048061370849;0.6867964143844537
SVR_kernel poly g4 scale_;0.008924845728343398;0.00033564501207765987;0.09137936915951266;0.00041100308273775096;-8.78366324019709;3.0431771087676442;22.835643768310547;4.235389085347601
SVR_kernel poly g5 scale_;0.008938109208541734;0.00034285770245189707;0.09145198623791251;0.00043259959910227846;-8.795715062834216;3.041243516413615;6.478542327880859;0.6363762794523573
SVR_kernel poly g5 auto_;0.008985242895786954;0.00034571174787357135;0.09171010700014955;0.0004543158216676941;-8.847167506840144;3.0579511342465384;6.488740348815918;0.4377198134442206
SVR_kernel poly g6 auto_;0.008985242895786954;0.00034571174787357135;0.09171010700014955;0.0004543158216676941;-8.847167506840144;3.0579511342465384;6.4831929206848145;0.3419742099339561
