Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
KNR_1_;0.0021091934153180903;0.0007673456678701243;0.018586962476450933;0.0013806132473121128;-1.137635135017322;0.782614339040639;2564.865726828575;724.1998601760856
KNR_2_;0.001540621680029082;0.0004242776234514285;0.017250498981523837;0.0005312579904882678;-0.5578281049674402;0.2329211673463719;1879.970854830742;43.70926177252786
KNR_3_;0.001379892855264918;0.00042233764540710705;0.016804431894489113;0.0003709108742944176;-0.37612994306797465;0.126140572113454;1897.9901885747909;35.43677007331804
KNR_4_;0.001286296530834689;0.00042446856942551743;0.016479938718014855;0.0004498635835702141;-0.2730348073072854;0.09804308979192938;1886.1785527944564;65.72761923996718
KNR_5_;0.0012250849109727853;0.0004185480563914513;0.016163533438856757;0.0003612765282000466;-0.20802060618075796;0.07700589368241116;1783.475278377533;9.831119010083981
KNR_6_;0.0011822461595373023;0.0004087855538016225;0.016037342725814235;0.00042772287611726257;-0.16411973953850234;0.06758324901340655;1810.348951792717;34.330137473503164
KNR_7_;0.0011647933182889845;0.00040474246840208137;0.016000171157954844;0.0004266060514293107;-0.1469740944234295;0.0644545069197375;1794.3055997371673;7.82568096667414
KNR_8_;0.0011446680395521965;0.0004078400068157047;0.015904980776673926;0.000489483706612892;-0.12336231514696425;0.05257660276618088;1796.808402132988;6.247974591778515
KNR_9_;0.0011327181744324294;0.0004093960283863804;0.01587787021370641;0.0005309749665444993;-0.11008777911915538;0.049641958275546724;1174.4779546499253;149.38263414022643
KNR_10_;0.0011268366306011854;0.00041138897014954777;0.01586485000584495;0.00045185669508166366;-0.10246422680855956;0.04334967827600942;1219.7128477811814;20.455643715359724
KNR_11_;0.0011164629593032635;0.0004114204583225078;0.01580051680606032;0.0004556318449493544;-0.09083695038624102;0.03922887679511762;1184.0184542894362;17.13427787329964
KNR_12_;0.0011042171221156646;0.00041205081253441325;0.015767092572296647;0.00042927523668873416;-0.0765927674468572;0.031043355145976195;1135.5224051952362;4.5738749156613805
KNR_13_;0.0010961417198202563;0.0004061901848650697;0.015729688371547403;0.00044345022874927356;-0.0694044388266418;0.03154698238463529;1138.35003426075;7.6595261944315665
KNR_14_;0.0010897690393141207;0.0004052759205153286;0.015667381995972625;0.0004368519477891377;-0.0627015199689422;0.03175345216634752;1130.891092300415;5.764799948801923
KNR_15_;0.001086598006594434;0.000405033090268855;0.015687631654401662;0.0004556126536532857;-0.05952589815116367;0.03275744153913975;1130.547842311859;5.408374660072941
KNR_16_;0.0010821403455071898;0.0004035878092612754;0.015649724976054165;0.0004280617945081702;-0.05501117971560769;0.03234017859652921;1133.795578455925;7.745551990372959
KNR_17_;0.0010773085021772344;0.0004043558498194023;0.01562473261028668;0.0004629877604444742;-0.04934513473678379;0.03088363040238836;1128.9671656608582;6.678423393163338
KNR_18_;0.001075537343225418;0.00040535105219293306;0.0156176853784937;0.000473155672136248;-0.04708389991513597;0.03048819417277705;1132.4278245925902;6.629898997477226
KNR_19_;0.0010717921699996702;0.0004090436855094698;0.015604788414631893;0.0005022878616674523;-0.041568868815865787;0.027161357712765597;1131.2599607229233;7.374718695874769
KNR_20_;0.0010672586621438115;0.0004076465531529783;0.015563135640745704;0.0004907258442738603;-0.03700115084150485;0.024819731538526343;1129.1895990610124;5.894525394614695
KNR_21_;0.0010650233653093587;0.0004057019319305148;0.015565087636326955;0.0004790095151751294;-0.03498115173057267;0.02572763032828439;1122.6389091730118;8.45387413322309
KNR_22_;0.0010622792076109633;0.00040535237622160876;0.015551161613665404;0.0004779616031212487;-0.03218673612000448;0.024870470474651043;1136.4287110567093;5.764642729789962
KNR_23_;0.001060954131027921;0.00040535048762997786;0.015558224735605527;0.0004655632629144576;-0.030641937383406693;0.024628253983253124;1130.2260675907135;8.330626031265371
KNR_24_;0.001058581075469489;0.0004033038731372907;0.01556350315619146;0.0004587384555037517;-0.02897622746852683;0.025749308161702438;1130.148315668106;6.493736542700575
KNR_25_;0.001057746236901099;0.00040399929618827003;0.015559095516722812;0.0004595487578671656;-0.027842940394444383;0.026940456154066133;1134.176164484024;5.76219289630434
KNR_26_;0.0010570406388180225;0.00040532889595111825;0.01557103066560087;0.00046240798940636626;-0.026530438135214808;0.024988470572877803;1134.107282114029;6.21850019817946
KNR_27_;0.001057102891688862;0.00040619013524108576;0.015592103746298037;0.00045750187037271094;-0.026369366986243016;0.024537863181021295;1131.9939826965333;4.433888900142738
KNR_28_;0.0010544917126870134;0.00040696279795530467;0.0155776234275838;0.0004588198978527656;-0.02335390456477231;0.0248749852169642;1129.1025921583175;5.091860124221352
KNR_29_;0.0010536922646907628;0.0004069448980776703;0.015589746953796812;0.00046487365640112;-0.022524595857532127;0.02412509879241046;1129.3673095464706;5.388682562435314
KNR_30_;0.0010526808131349462;0.0004067952127490975;0.015593993615773872;0.00045287061445861384;-0.021492514535911566;0.024541479589663462;1754.1469085454942;281.6192446367396
