Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
MLPR_Relu-camadas (1) e neurônios (50)_;0.001147805156338856;0.00039789103038143873;0.01734688391630036;0.000840626659906355;-0.13035664757587603;0.07354778052355557;5.9592629194259645;1.523041047435033
MLPR_Logistic-camadas (1) e neurônios(50)_;0.0010337300522554542;0.0004066471230971909;0.014615721406563953;0.00103272161336175;-0.00016391496536567464;0.033748576591804705;6.408798861503601;0.5722734865021959
MLPR_TanHip-camadas (1) e neurônios(50)_;0.0011111953952494774;0.00041435904590614157;0.016419987098316557;0.0014304339794917306;-0.08548538855069303;0.05363385789864796;6.840626049041748;0.41736088761272033
MLPR_Relu-camadas(3) e neurônios (50)_;0.0010501496000923061;0.00040570053606065403;0.014878053319522902;0.001031002038269526;-0.02020459850826195;0.03426857941774556;8.894256448745727;0.31025924330965055
MLPR_Logistic-camadas (3) e neurônios(50)_;0.0010345345793971426;0.0004103694892228937;0.014245595162704187;0.0020143828460370628;1.093020650633214e-05;0.02116240416887106;9.756924271583557;0.4801843613959691
MLPR_TanHip-camadas (3) e neurônios(50)_;0.001039574392691665;0.00041253045000673314;0.01478991298190457;0.0010596252580730803;-0.005353441551789584;0.020861584179332388;10.82308497428894;0.4536481599023445
MLPR_Relu-camadas(6) e neurônios (50)_;0.0010760725121403876;0.0004376763656804705;0.01472043613528205;0.002284811044195274;-0.03777394260473528;0.0551181371025626;12.835421156883239;0.28626660166451745
MLPR_Logistic-camadas (6) e neurônios(50)_;0.0010482110390705845;0.00041255788147950416;0.01457115774088522;0.0024153864953342778;-0.013867546899130745;0.011303060915947767;14.15000274181366;0.6147870003762552
MLPR_TanHip-camadas (6) e neurônios(50)_;0.0010460931293012;0.0003894155402601842;0.01472394941506908;0.0015882164955941637;-0.021431502966585837;0.046827730650067075;17.171396565437316;0.49364414582191746
MLPR_Relu-camadas (1) e neurônios (100)_;0.001176550610605043;0.00039879171543828393;0.017984051436164043;0.0008314747657381889;-0.16065373223814222;0.07203392172363249;8.230615067481995;0.7144235632967664
MLPR_Logistic-camadas (1) e neurônios(100)_;0.0010427404958758002;0.0004132272094056525;0.014864178676237894;0.0019534489603561587;-0.008022331753668233;0.040743230232195116;9.251946449279785;0.27349823222334807
MLPR_TanHip-camadas (1) e neurônios(100)_;0.0010925490404588764;0.0004029977504965629;0.01647021862599981;0.0014646129406114513;-0.06870309276422526;0.05924347077814857;9.705158448219299;0.6493587472560417
MLPR_Relu-camadas(3) e neurônios (100)_;0.0010871806812649762;0.0004003134789589116;0.015620297320980516;0.0009584935164974002;-0.06263872634506502;0.04803206010439795;12.76162509918213;0.9362427377692125
MLPR_Logistic-camadas (3) e neurônios(100)_;0.0011404047155415364;0.00039633917842054716;0.017510129575167753;0.006544500526829268;-0.13900166931582042;0.280286038724686;15.07787458896637;0.40639503475761296
MLPR_TanHip-camadas (3) e neurônios(100)_;0.0010565113371236927;0.00039124415710347586;0.014382907769074438;0.0010821079959236971;-0.03417383934771778;0.07748866622354288;17.54898910522461;0.6829436330542827
MLPR_Relu-camadas(6) e neurônios (100)_;0.0011082478549822253;0.00038348376618697243;0.014640787325566637;0.001837908470368981;-0.0934272672632605;0.10282836948048367;20.35279655456543;0.7699404218383845
MLPR_Logistic-camadas (6) e neurônios(100)_;0.0010690252078661903;0.0004153708876262382;0.014250834576868047;0.001362928990665105;-0.036388471524615794;0.08497461277174612;24.808605217933653;0.7344063964656442
MLPR_TanHip-camadas (6) e neurônios(100)_;0.001019534114745795;0.00040448977516969586;0.014512482175555666;0.0006059985677874388;0.01462593332841935;0.012041998208978524;34.361449122428894;3.0870626315984833
MLPR_Relu-camadas (1) e neurônios (150)_;0.001193474038336558;0.0004065591622995344;0.018381285143645447;0.0014743299452106616;-0.1753355659168721;0.09291294696662988;14.09674084186554;0.3860147531038675
MLPR_Logistic-camadas (1) e neurônios(150)_;0.0010397519623344662;0.0004020517151368754;0.014625590169242758;0.001499529269513996;-0.00864166116475762;0.04014416000670608;15.688082146644593;0.5694612428143628
MLPR_TanHip-camadas (1) e neurônios(150)_;0.0011766912232331638;0.00043645900069616024;0.018697323114352054;0.003442331727579094;-0.15297433659607093;0.1231163417420268;16.433704686164855;0.5449767598231965
MLPR_Relu-camadas(3) e neurônios (150)_;0.0011651382907854162;0.00037553352888324075;0.016925565089166046;0.0016804875105418905;-0.1561607603678342;0.11874252011354246;25.90080096721649;0.22319238757705614
MLPR_Logistic-camadas (3) e neurônios(150)_;0.0010614463228767765;0.0004091704281815368;0.013822459467653925;0.0029368769311686545;-0.02802378035530182;0.03731052474411939;28.401422929763793;0.8747337080547047
MLPR_TanHip-camadas (3) e neurônios(150)_;0.0010389581019624717;0.00040608840477534506;0.014780502725812456;0.0012674611191748303;-0.006786331395470124;0.024908748661106397;31.38500247001648;0.803545672653816
MLPR_Relu-camadas(6) e neurônios (150)_;0.001082561187981703;0.00040328085870529323;0.013681781562475495;0.0013408315159934654;-0.05782849838249482;0.0918081946195324;42.96577217578888;7.660951475739763
MLPR_Logistic-camadas (6) e neurônios(150)_;0.0010695430823980888;0.000392189239752614;0.01469178884908327;0.0035466914503580927;-0.04941115125560576;0.09798065696284024;48.22548711299896;2.142462180904642
MLPR_TanHip-camadas (6) e neurônios(150)_;0.0010283679420720246;0.0004059734209927098;0.01444145041377833;0.001684326595495474;0.004449032986066748;0.024547248555002857;52.65765507221222;2.1820826579893464
