Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
SVR_kernel linear scale_;0.004513337488793368;0.0004296157571765714;0.05979957600068001;0.0015264306065072397;-3.857948826011674;1.3094608896718645;9.744569683074952;1.3000700269151335
SVR_kernel linear auto_;0.004513337488793368;0.0004296157571765714;0.05979957600068001;0.0015264306065072397;-3.857948826011674;1.3094608896718645;10.429691672325134;0.25617461942452685
SVR_kernel rbf scale_;0.004913832490534766;0.00047244757503397733;0.06351308002783637;0.0018464342724829627;-4.294764115884146;1.4616787536809757;13.437644767761231;0.4699644646979692
SVR_kernel rbf auto_;0.008917722367337566;0.0003417946937770644;0.0913466082298955;0.0004486696266124903;-8.773374193032925;3.0345096657429664;2.8486581802368165;0.14850689799312675
SVR_kernel sigmoid auto_;0.00893844338361462;0.0003474617269840849;0.09145796770121421;0.00046253115058794567;-8.794081133506754;3.035548170942271;2.146227216720581;0.2410849448514123
SVR_kernel sigmoid scale_;74.01962732195264;2.5555356013187764;6.40193729531566;0.12601711754018918;-81915.50779509333;27172.163277781492;240.36367287635804;7.666178604246795
SVR_kernel poly g2 auto_;0.009013144870720488;0.0003440254633238929;0.09186204580662867;0.00044663678994559774;-8.878963389458644;3.071056904886961;1.619479513168335;0.11497234759726037
SVR_kernel poly g2 scale_;0.00406539354037157;0.00042693486944867225;0.05496554742124247;0.0017826356375617708;-3.364703459193822;1.1587730487646262;10.582775473594666;0.7367546507477697
SVR_kernel poly g3 auto_;0.009014335744784965;0.00034334720901050316;0.09186851659026862;0.000444080500262676;-8.880428091211524;3.0715563095710534;1.7736589431762695;0.18417048591807295
SVR_kernel poly g3 scale_;0.005274974991431617;0.0004915134123791159;0.06626331702790127;0.002041979336537257;-4.68673860990687;1.556364587368685;11.315770173072815;0.5038901430180887
SVR_kernel poly g4 auto_;0.00898631941440216;0.0003469086952512547;0.09171598172118897;0.0004566623290889462;-8.847928774485883;3.0571491952481256;1.7418737173080445;0.13334285524561842
SVR_kernel poly g4 scale_;0.006545142721752012;0.0005033803910148447;0.0758205297539891;0.0018139717842752985;-6.091669029073493;2.0165121613671038;13.235145425796508;1.2827076828586623
SVR_kernel poly g5 scale_;0.007658190229692904;0.00046799196175264385;0.08336795666583094;0.0013478501758020474;-7.336530837215157;2.458630368174726;13.160028862953187;1.2125306983203759
SVR_kernel poly g5 auto_;0.008985242895785044;0.00034571174787356354;0.09171010700013926;0.0004543158216677507;-8.847167506838023;3.0579511342458128;1.2702462673187256;0.18933073241463777
SVR_kernel poly g6 auto_;0.008985242895786952;0.00034571174787357184;0.09171010700014953;0.00045431582166769835;-8.84716750684014;3.0579511342465384;1.2711873054504395;0.10636314013383368
