Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
MLPR_Relu-camadas (1) e neurônios (50)_;0.014746343337778986;0.0025669555284010756;0.08370843227875917;0.004850974354774436;-0.5156247115854166;0.26316149816339585;3.57115581035614;0.4108016431372897
MLPR_Logistic-camadas (1) e neurônios(50)_;0.011049275311117625;0.003238059660860541;0.06333540223676884;0.0054029824806447885;-0.09706553154597157;0.117702674073835;3.8800135374069216;0.6812306095623104
MLPR_TanHip-camadas (1) e neurônios(50)_;0.01784794403471686;0.0035830746926598456;0.09531701472171888;0.006945850622343535;-0.8406417212123662;0.3670848512497914;3.2023578882217407;0.25921400283316165
MLPR_Relu-camadas(3) e neurônios (50)_;0.013654929077689958;0.003420104885679508;0.07270917224800817;0.008153526581765696;-0.38791487719155543;0.26095103041440965;5.421461176872254;0.8307009652286738
MLPR_Logistic-camadas (3) e neurônios(50)_;0.010254136823659464;0.0032116722158663474;0.057886390850232616;0.005921323192753573;-0.006749422084475853;0.010825458351600455;3.3352455377578734;0.4700014002705497
MLPR_TanHip-camadas (3) e neurônios(50)_;0.01854435762554126;0.004716748294308514;0.09653941229793433;0.011355131659507408;-0.8860951200389531;0.389980078540399;5.374546313285828;0.535838935726272
MLPR_Relu-camadas(6) e neurônios (50)_;0.012513776319981226;0.0034562363961917904;0.06134154351121861;0.0068351697280868914;-0.24574359399408613;0.10647070953382459;6.7675028324127195;0.9149984426864146
MLPR_Logistic-camadas (6) e neurônios(50)_;0.010255172596857832;0.0032410329771758463;0.05683440934398728;0.003477570858934338;-0.005777661950064595;0.005041959765712797;4.762013506889343;0.7282890342186915
MLPR_TanHip-camadas (6) e neurônios(50)_;0.017482019660770415;0.003931900691540466;0.09102449132221718;0.007656398918025082;-0.7951116178515375;0.35367327129558956;8.90335259437561;1.7625154824897666
MLPR_Relu-camadas (1) e neurônios (100)_;0.013782650551867014;0.0031682927697187363;0.07919528015999107;0.00466863819385027;-0.39618646165808274;0.1813550444774306;6.646623659133911;0.4875463077182077
MLPR_Logistic-camadas (1) e neurônios(100)_;0.010935372980434545;0.00430265809201551;0.06265798366110327;0.009061556941254009;-0.06574905091178922;0.1887082018785186;7.785823559761047;0.9528024578186927
MLPR_TanHip-camadas (1) e neurônios(100)_;0.018122629158876004;0.0028184957110628764;0.09615157748231937;0.005959602754086232;-0.8925638533109004;0.4363433132637901;6.22001051902771;0.3617883063905553
MLPR_Relu-camadas(3) e neurônios (100)_;0.01309232566113295;0.003601776246060546;0.06864533999475068;0.008531360619119263;-0.30838355165327824;0.1519105209006831;7.782957887649536;0.8412784186823643
MLPR_Logistic-camadas (3) e neurônios(100)_;0.010258411131736459;0.0032374054900976223;0.059542775242324666;0.004057780118351439;-0.006597099478124491;0.008294365578812243;6.031998515129089;0.5532942139851685
MLPR_TanHip-camadas (3) e neurônios(100)_;0.017879396435686316;0.0035601966184993197;0.09300917803394837;0.006163638637976062;-0.8335220795155653;0.32316827811135507;8.563569283485412;0.48620588523138086
MLPR_Relu-camadas(6) e neurônios (100)_;0.012280549242101998;0.003570620646431728;0.060207602702950135;0.005924474884884395;-0.21778089853108323;0.09514748098348753;8.906064414978028;1.054195841218084
MLPR_Logistic-camadas (6) e neurônios(100)_;0.0103463200385147;0.003158191245093307;0.058924972260093564;0.003691963122641426;-0.019654745241736694;0.04097847754902118;6.680970954895019;0.6155845561737735
MLPR_TanHip-camadas (6) e neurônios(100)_;0.017243863617922784;0.0038742225660421156;0.09072850034346099;0.008105228280139456;-0.7637486081205298;0.3118406729247615;10.800592136383056;0.44952054389126855
MLPR_Relu-camadas (1) e neurônios (150)_;0.014821837301172697;0.003439437657208541;0.0830011761734112;0.007752511878137482;-0.5090587101995333;0.2719188218616955;6.526189136505127;0.4898496635692594
MLPR_Logistic-camadas (1) e neurônios(150)_;0.011530994989378316;0.003378040146744827;0.06614234584381994;0.004598073879531595;-0.14382026008199894;0.0963918223279325;7.966893601417541;0.8601664034794264
MLPR_TanHip-camadas (1) e neurônios(150)_;0.018298840272679296;0.004640579821540944;0.0964964804207847;0.00982227838361079;-0.8602761015515643;0.3569550700519059;5.068249344825745;0.7487403615134597
MLPR_Relu-camadas(3) e neurônios (150)_;0.011962718045290819;0.0035685843897790056;0.06371157880802945;0.005894032778821512;-0.18639291972471322;0.12252813339314228;7.343309116363526;1.2306161916395275
MLPR_Logistic-camadas (3) e neurônios(150)_;0.010394558508888489;0.0031669294494645296;0.060637085079834965;0.008586580462678543;-0.02290252848425728;0.03942039369997659;6.845095014572143;1.0842244001276047
MLPR_TanHip-camadas (3) e neurônios(150)_;0.01734538787552355;0.0033178026691987237;0.091762053296556;0.00591839902825838;-0.7859633640536832;0.3241648394485322;8.065249371528626;0.733815823980579
MLPR_Relu-camadas(6) e neurônios (150)_;0.012426430072153343;0.0036560001007449145;0.0615995951016329;0.006186803419453626;-0.23281643974834748;0.1123948523559005;10.616783118247985;1.646730516603455
MLPR_Logistic-camadas (6) e neurônios(150)_;0.01067985396134785;0.0031687575559133973;0.06628769045056618;0.011122647682792494;-0.056702296670554486;0.10150007190275206;9.252237558364868;1.3798568010341197
MLPR_TanHip-camadas (6) e neurônios(150)_;0.0167870968194161;0.0036156149995646056;0.08853399845916358;0.006477005624970576;-0.7224404411159595;0.33124458739545576;13.42222065925598;1.6249288975300924
