Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
SVR_kernel linear scale_;0.013992727032096915;0.0027440991318878356;0.0894439934135792;0.006137668377779294;-0.42982652179004965;0.21136478691111565;0.8256056070327759;0.0903195664038523
SVR_kernel linear auto_;0.013992727032096915;0.0027440991318878356;0.0894439934135792;0.006137668377779294;-0.42982652179004965;0.21136478691111565;0.861991548538208;0.10734406161246461
SVR_kernel rbf scale_;0.015064648110128878;0.002704104641470401;0.10566361025038898;0.003664561932926399;-0.5417837626728307;0.21886529746771657;1.600447130203247;0.2483356657969933
SVR_kernel rbf auto_;0.013077116127076262;0.0029123312068413225;0.0936773382948716;0.0032676501559596753;-0.32004736269721035;0.12700434336219588;0.4412445783615112;0.08693814251269524
SVR_kernel sigmoid auto_;0.013068127593197646;0.0029137721210914683;0.09360827624249408;0.0032725284422000507;-0.3190430610609864;0.12663163456782706;0.4000490665435791;0.09394215841412051
SVR_kernel sigmoid scale_;0.021767605010199715;0.007137922912497961;0.10517679920889525;0.010865987183834927;-1.2171632548828732;0.5492530576761265;2.0790578365325927;0.4015231093187561
SVR_kernel poly g2 auto_;0.01306066384853177;0.002915110558539837;0.09354303399616734;0.0032719213925789096;-0.31819852692684397;0.126235219727375;0.3779104232788086;0.09310135718001061
SVR_kernel poly g2 scale_;0.015059530383670172;0.002674823267584061;0.10605951937202485;0.0028592389968852693;-0.5420930211645303;0.22104009021077392;1.707866334915161;0.31576591021959
SVR_kernel poly g3 auto_;0.013060648649506169;0.0029151123530608766;0.09354292543470792;0.003271929136124313;-0.3181968248005161;0.12623447704223434;0.38767180442810056;0.04983075600419467
SVR_kernel poly g3 scale_;0.015186115156742877;0.0027114435791367707;0.10672963586186601;0.0026956373171802416;-0.5541209877236066;0.2192570002423838;1.6347800016403198;0.13964785397154114
SVR_kernel poly g4 auto_;0.01306064864356645;0.002915112353737583;0.09354292539298131;0.003271929138912781;-0.31819682413931205;0.12623447677918725;0.33037805557250977;0.05411099108730197
SVR_kernel poly g4 scale_;0.0152144796927051;0.0027209175281150797;0.10681683443862673;0.0027326093772938186;-0.556658742474037;0.21792193612111965;1.8595450878143311;0.26513723545313955
SVR_kernel poly g5 scale_;0.015225859427668409;0.0027241800126632776;0.10684649767213261;0.002758715176350264;-0.5576765380703076;0.21725920852396732;1.7650867700576782;0.13849438910570303
SVR_kernel poly g5 auto_;0.013058642466225975;0.0029159720488563614;0.09352999833849489;0.0032828794053246565;-0.3179619405794952;0.12611409136100948;0.37269508838653564;0.047684604277350606
SVR_kernel poly g6 auto_;0.013058642466225975;0.0029159720488563614;0.09352999833849489;0.0032828794053246565;-0.3179619405794952;0.12611409136100948;0.35351929664611814;0.061353661608998945
