Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
MLPR_Relu-camadas (1) e neurônios (50)_;0.010676363656305109;0.003100443173823288;0.062245644409730606;0.004689631546111626;-0.059579361108901684;0.10368297684121612;0.33482367992401124;0.13006980748261276
MLPR_Logistic-camadas (1) e neurônios(50)_;0.009763166610583882;0.0031844699965706386;0.057052898268467475;0.004069627183542119;0.0444564128774955;0.04124134411787333;0.25013017654418945;0.03437690264644199
MLPR_TanHip-camadas (1) e neurônios(50)_;0.01105991427076282;0.003371578629973292;0.06588704395653369;0.004924253999679576;-0.09167518796188547;0.08430585231065361;0.3273207664489746;0.0542259613959064
MLPR_Relu-camadas(3) e neurônios (50)_;0.011143879714125619;0.00346143449493139;0.060643676044756;0.009347282607663673;-0.10286607093468839;0.1593919893842536;0.7042739391326904;0.256625390944656
MLPR_Logistic-camadas (3) e neurônios(50)_;0.0101493275387637;0.0032152307716509037;0.056801100349947696;0.005492297631227555;0.004667058984848471;0.0033991657127102775;0.3563498258590698;0.04361513990970103
MLPR_TanHip-camadas (3) e neurônios(50)_;0.011341789850923854;0.002886417583500609;0.06577302320557618;0.008521984799232567;-0.13528500159792953;0.10938940355978471;0.6091002941131591;0.17621979598465912
MLPR_Relu-camadas(6) e neurônios (50)_;0.011611061361521856;0.002933635033688389;0.053908965741128724;0.004764826976528418;-0.18044918082946787;0.25632605311592443;0.9635373592376709;0.35887911178549015
MLPR_Logistic-camadas (6) e neurônios(50)_;0.010219106619121362;0.003236113246555631;0.05661677614878069;0.004765375848243746;-0.0021116179535622948;0.0032115856947715652;0.5306967496871948;0.09457131317322322
MLPR_TanHip-camadas (6) e neurônios(50)_;0.010237200326487096;0.003069212319692898;0.061209474896368986;0.006852186630596887;-0.008591481777420085;0.05678741673672361;0.9269169092178344;0.2033426001984905
MLPR_Relu-camadas (1) e neurônios (100)_;0.011842323868210738;0.0026043467578719436;0.06971242153108015;0.005128903505010659;-0.20092505213599235;0.1681492873731516;0.9464320182800293;0.19484011754554534
MLPR_Logistic-camadas (1) e neurônios(100)_;0.009858358746176518;0.0032199537074747986;0.0575768862633961;0.005040597775314481;0.03443615284440016;0.05656677234321348;0.5736942052841186;0.12430575747383608
MLPR_TanHip-camadas (1) e neurônios(100)_;0.011384625619324828;0.003245435962582171;0.0681533071207063;0.006159027642266706;-0.13506835168999995;0.1485586480325159;0.7367197751998902;0.20554601131245975
MLPR_Relu-camadas(3) e neurônios (100)_;0.011507621485163298;0.003262870569157937;0.062308008213536034;0.006765222536047605;-0.14939653359664337;0.16327336420902402;4.7386112928390505;1.5474906736385172
MLPR_Logistic-camadas (3) e neurônios(100)_;0.01021800767759087;0.003174540979710263;0.0584738561022109;0.005006365708321023;-0.004093803739079116;0.012132227954274847;2.762374997138977;0.22820531916134176
MLPR_TanHip-camadas (3) e neurônios(100)_;0.011475227697749122;0.0033334969663428625;0.06573372067194112;0.007385556195857515;-0.13964250828034616;0.1207570511100004;4.589772152900696;1.445811596014533
MLPR_Relu-camadas(6) e neurônios (100)_;0.012250334720706406;0.002861976997582945;0.05607907025650172;0.005285044435948397;-0.24223956540449515;0.2040197729198128;7.708187317848205;0.5579195845551767
MLPR_Logistic-camadas (6) e neurônios(100)_;0.010434791535615526;0.003226500481441403;0.06048885837094024;0.005187292953646976;-0.026681050848661413;0.040001940847255196;4.138983106613159;0.42365401871552927
MLPR_TanHip-camadas (6) e neurônios(100)_;0.010150948331029279;0.002924181635093218;0.061012553674573124;0.006175722433050454;-0.005406885921043869;0.06715076341377087;6.576620936393738;1.3691941793520652
MLPR_Relu-camadas (1) e neurônios (150)_;0.012177283675443086;0.0029312764386903905;0.07185281588767731;0.007020592634140191;-0.22563222839263855;0.13209914554880106;5.508711552619934;0.7767920254493352
MLPR_Logistic-camadas (1) e neurônios(150)_;0.009902198489840194;0.0032376323046077937;0.05817881254820663;0.004623107967503648;0.03128195497101682;0.04892165068509109;2.597458243370056;0.19104383791537582
MLPR_TanHip-camadas (1) e neurônios(150)_;0.011917697755399328;0.0032347168536903635;0.07244599673379379;0.01026030181402955;-0.1895103848457695;0.1476934095436251;3.520063304901123;0.7532330469294889
MLPR_Relu-camadas(3) e neurônios (150)_;0.010802004689645322;0.0029850502476333105;0.05885370037117184;0.006554529532239504;-0.08008183187750309;0.14903567994473177;7.675905346870422;0.7056086723227779
MLPR_Logistic-camadas (3) e neurônios(150)_;0.010289676561318826;0.0032634223776384255;0.055001636380755156;0.007614266031356883;-0.009013479391447698;0.025302461588246863;4.420446228981018;0.6853324303765267
MLPR_TanHip-camadas (3) e neurônios(150)_;0.010888223535200338;0.0028281633683407375;0.06365977316885656;0.003851502921384462;-0.09042919201491997;0.11992355546106938;7.126507973670959;2.4575586878782767
MLPR_Relu-camadas(6) e neurônios (150)_;0.010857370484717426;0.0032068709141625344;0.05323273982956304;0.006073777385248152;-0.07777706259753762;0.1240843627949771;13.143249249458313;1.6518179849015666
MLPR_Logistic-camadas (6) e neurônios(150)_;0.010399226795875122;0.003151821929240227;0.05956783710660105;0.007119527048881285;-0.024945277176641033;0.04399052843095069;7.174131250381469;0.39626150152240897
MLPR_TanHip-camadas (6) e neurônios(150)_;0.010320453548967231;0.0030888047001706377;0.05958213615050424;0.004101476640313142;-0.024259163298017673;0.12354970579793703;11.6071941614151;3.3563916064816266
