Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
SVR_kernel linear scale_;0.011483681734112386;0.003048499939474797;0.07636294615053033;0.005419263013055785;-0.14593148982991028;0.09712949368197087;0.4849297761917114;0.029922432065131697
SVR_kernel linear auto_;0.011483681734112386;0.003048499939474797;0.07636294615053033;0.005419263013055785;-0.14593148982991028;0.09712949368197087;0.46379063129425047;0.023747825328058785
SVR_kernel rbf scale_;0.012531669952777038;0.002831205234697418;0.08696269042267361;0.00502405640736374;-0.2654000827587171;0.14153349282899552;0.5837716579437255;0.04975388109211883
SVR_kernel rbf auto_;0.013013728187180548;0.0029112015892030748;0.0934590804792081;0.0032686734101696367;-0.31328706155032937;0.1254283333835935;0.2693872690200806;0.015330417690720504
SVR_kernel sigmoid auto_;0.013041520507611034;0.002913855856864825;0.09356955678947206;0.0032856830205463664;-0.3161799442469693;0.12586097551619055;0.2330726146697998;0.014312500326717943
SVR_kernel sigmoid scale_;1.006190581543383;0.10180206723244714;0.7498714079343289;0.04340623519710143;-106.07656396708566;28.382365592419866;1.5178022384643555;0.06814031731804857
SVR_kernel poly g2 auto_;0.013060590392407447;0.002915069119667107;0.09354298964737572;0.0032717472666054393;-0.3181918660380402;0.12623687743241277;0.21344525814056398;0.01511673132449846
SVR_kernel poly g2 scale_;0.012387297715762932;0.0028258167818940895;0.08401982185140766;0.005894458508963196;-0.2520525478370405;0.15764647057432843;0.48049733638763426;0.04064462069279723
SVR_kernel poly g3 auto_;0.013060648281909285;0.002915112362907046;0.09354292352152546;0.003271929019751943;-0.3181967853979765;0.12623446795104476;0.21015496253967286;0.02215879408298311
SVR_kernel poly g3 scale_;0.013097906125171217;0.002713403625730802;0.09153003119819578;0.005127904004301204;-0.33090076465091556;0.1765331349043449;0.5076735973358154;0.032163286907982834
SVR_kernel poly g4 auto_;0.013060648643259792;0.0029151123537174964;0.09354292539163646;0.0032719291386813726;-0.31819682410744876;0.1262344767756254;0.2048173189163208;0.02776050090209249
SVR_kernel poly g4 scale_;0.01366928796157236;0.002677046734902386;0.09712858533937117;0.004370427305918304;-0.3920646453267366;0.18354733308984056;0.5808985233306885;0.032437842598986924
SVR_kernel poly g5 scale_;0.014191198902323562;0.002661667463451237;0.10109613829670801;0.003824521665895966;-0.4479763296756002;0.19402111410344441;0.6534979820251465;0.05545975503742284
SVR_kernel poly g5 auto_;0.013060648643564801;0.002915112353737573;0.09354292539297061;0.0032719291389114234;-0.3181968241391385;0.12623447677916932;0.2060698986053467;0.018370993734073554
SVR_kernel poly g6 auto_;0.013060648643565296;0.002915112353737583;0.09354292539297321;0.0032719291389116368;-0.3181968241391912;0.12623447677918065;0.21042356491088868;0.018446369210798435
