Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
MLPR_Relu-camadas (1) e neurônios (50)_;0.001156544456709411;0.00030558525877593637;0.018842297592622355;0.0008649582968670241;-0.5496813201798846;0.24306490240526007;135.75045688152312;8.223019861294818
MLPR_Logistic-camadas (1) e neurônios(50)_;0.0009041739980554539;0.0003289714075022367;0.014283806030708963;0.0006994595577620567;-0.1639768393754753;0.07022927511200203;129.03878576755523;3.266385833149722
MLPR_TanHip-camadas (1) e neurônios(50)_;0.0012231539058940744;0.0003317974263456931;0.019300111960994928;0.0007981227303828563;-0.6365252185252992;0.2529817778517559;120.1511815547943;11.31591851935401
MLPR_Relu-camadas(3) e neurônios (50)_;0.0010536090320361138;0.00033462978637955373;0.015055596094911222;0.0009306860971733032;-0.38850807472216886;0.18860435603956607;105.97954628467559;2.4987611715480136
MLPR_Logistic-camadas (3) e neurônios(50)_;0.0007971044981573784;0.00033049396362490243;0.01195572331308198;0.0015451983034718106;-0.006067651592418621;0.005952442115891675;107.96643154621124;3.0380661407317118
MLPR_TanHip-camadas (3) e neurônios(50)_;0.0010694794792698613;0.00032880768116987465;0.016984510782179392;0.0012341456971211428;-0.4143209462692635;0.19077208865373912;93.14843788146973;7.777591508990102
MLPR_Relu-camadas(6) e neurônios (50)_;0.0009621232171413429;0.0003461515526465248;0.013119421733716908;0.0016289144422473153;-0.2507013987990375;0.12795710874010513;91.92628662586212;9.019197114929902
MLPR_Logistic-camadas (6) e neurônios(50)_;0.0008006204879021895;0.00033288543030764905;0.012145627014048364;0.001753110191523743;-0.009426989036032252;0.016812741230025574;95.35062053203583;2.247083815848136
MLPR_TanHip-camadas (6) e neurônios(50)_;0.001061786434022005;0.00030852058499677136;0.01646024844493402;0.001877616355201451;-0.41032528050981154;0.19678725151864873;97.42616789340973;3.6087567652198387
MLPR_Relu-camadas (1) e neurônios (100)_;0.0011104138176197922;0.00033237147137548984;0.017966995279746167;0.0009636696953170896;-0.4696163324758153;0.19463884739564125;128.41526019573212;5.239200744574263
MLPR_Logistic-camadas (1) e neurônios(100)_;0.0009153880954805692;0.0003211717916633488;0.014530602785763425;0.000843260738442742;-0.18696868281871665;0.09556666335369737;127.80264959335327;4.565215481792038
MLPR_TanHip-camadas (1) e neurônios(100)_;0.001146345057127362;0.00031530158961427123;0.018304092756983154;0.00046703446390585987;-0.5320596002156144;0.2345416914474732;119.61374006271362;8.170750037466034
MLPR_Relu-camadas(3) e neurônios (100)_;0.0009512679847723514;0.000304722184044199;0.01314502844849907;0.0008214409143925342;-0.2543725622725675;0.16376242688512027;107.63272912502289;6.799829819130388
MLPR_Logistic-camadas (3) e neurônios(100)_;0.0008100350358430004;0.0003332009847049161;0.012291500428751769;0.0022940288745892296;-0.023435121873751096;0.022983069170061845;110.30242540836335;2.3678659646294986
MLPR_TanHip-camadas (3) e neurônios(100)_;0.0010398105489847357;0.0003081506960000815;0.01740155889108891;0.001829096488340287;-0.3741672438657787;0.1850278742745153;111.38935525417328;2.1714717108311263
MLPR_Relu-camadas(6) e neurônios (100)_;0.0009187560692293364;0.00032808002977587205;0.012730929714755645;0.0012418908654239825;-0.19026128438333567;0.09569644314773762;124.56325371265412;14.345739558756575
MLPR_Logistic-camadas (6) e neurônios(100)_;0.0008491294516751013;0.00031370631449273645;0.012651669576879646;0.004511108202540853;-0.10780183182390166;0.24083996018355913;119.37090559005738;2.7032570494031285
MLPR_TanHip-camadas (6) e neurônios(100)_;0.0010231626821639358;0.0003320981519498008;0.01641355878923512;0.0018166146353266837;-0.3414015114491225;0.14461102216913574;121.57449631690979;2.351378858218765
MLPR_Relu-camadas (1) e neurônios (150)_;0.0010587886155850586;0.00031613491604974217;0.017122779822164248;0.0013162058513848031;-0.39504253973628617;0.15697700627983216;151.05930559635163;6.956095550446781
MLPR_Logistic-camadas (1) e neurônios(150)_;0.0009341181428403497;0.0003188852534792593;0.014808477177422766;0.0006958038502521218;-0.21190356379326927;0.09092327780696084;112.910453748703;19.750904821950268
MLPR_TanHip-camadas (1) e neurônios(150)_;0.0011150490220619166;0.0003049840260798629;0.0180783626361544;0.0005729810811495796;-0.4894922040569961;0.22977568601730539;114.86820590496063;4.614517892158717
MLPR_Relu-camadas(3) e neurônios (150)_;0.0009118472938184057;0.00032795476764867963;0.012573529918234558;0.0007244778008275839;-0.176281231566878;0.08170458201925683;116.15139555931091;12.051974141957913
MLPR_Logistic-camadas (3) e neurônios(150)_;0.0008358561995270221;0.0003591234918931105;0.011215229405203985;0.0029156501635803026;-0.049337763487568645;0.03793452108396765;104.4734031200409;2.0135428765305656
MLPR_TanHip-camadas (3) e neurônios(150)_;0.0010616068343830992;0.0002738497325730715;0.018352720123878438;0.0013397478484752968;-0.44015329304426787;0.3001282546306358;104.53396019935607;1.8575852251227962
MLPR_Relu-camadas(6) e neurônios (150)_;0.0009025840850801199;0.00033264823175468077;0.012281312127239891;0.0010322598324415196;-0.16505890986744404;0.09127061985828484;125.75395233631134;14.54915982989868
MLPR_Logistic-camadas (6) e neurônios(150)_;0.0009066088848112572;0.00034556024167179663;0.015671742585073957;0.006462384702111556;-0.16370490335460053;0.24126827564312475;113.39932627677918;2.4177034509272866
MLPR_TanHip-camadas (6) e neurônios(150)_;0.0010535088532447278;0.00030354678759675336;0.01659861237942498;0.0012043179384408984;-0.40118291799975925;0.1995563313547957;118.40291147232055;4.50302635535317
