Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
SVR_kernel linear scale_;0.0026342741008113157;0.0002794940307528508;0.03809826611081946;0.0005202040212762185;-2.7480716646678074;1.0972661427496768;290.97068681716917;21.086312341666495
SVR_kernel linear auto_;0.0026342741008113157;0.0002794940307528508;0.03809826611081946;0.0005202040212762185;-2.7480716646678074;1.0972661427496768;276.84803009033203;44.607696221013164
SVR_kernel rbf scale_;0.006350964442265197;0.00037295323493938514;0.07565382710240197;0.0012454625970767768;-8.205198482557371;3.104406670395107;390.9200448513031;59.060833205504665
SVR_kernel rbf auto_;0.009152685395750636;0.0002699127280901474;0.09313383450296506;0.00030684934797058907;-12.36861204331752;4.689728466091023;28.534290885925294;1.8560154693076625
SVR_kernel sigmoid auto_;0.009157132062435682;0.00026931825681689246;0.09315768836927502;0.0003027003596089302;-12.375567236769498;4.693237042510759;26.76066164970398;1.8689345307736107
SVR_kernel sigmoid scale_;0.7172648082623154;0.09620554565513728;0.29018106622549983;0.011794834702763117;-1061.367936806655;428.4218909740364;10203.99958949089;1410.78781725209
SVR_kernel poly g2 auto_;0.009155145950944072;0.0002693456624072341;0.09314702253496558;0.0003051897842756655;-12.372333032104518;4.69075396195526;42.59613561630249;3.0215860229150433
SVR_kernel poly g2 scale_;0.007669772672880368;0.0003327352293891133;0.08438996269131507;0.0008170692128518467;-10.162489382019261;3.8466762573218882;468.36089541912077;41.545200128914516
SVR_kernel poly g3 auto_;0.009155146030969962;0.0002693456630473437;0.09314702296362387;0.00030518978558130794;-12.372333150145524;4.690754006264671;42.921142578125;2.1276234230401485
SVR_kernel poly g3 scale_;0.009057305028490165;0.00026442478843136504;0.0925825549136263;0.0003048547286813286;-12.233279501323908;4.656501633352275;673.029728770256;83.05377125139525
SVR_kernel poly g4 auto_;0.009155146030971922;0.00026934566304731263;0.09314702296363439;0.0003051897855811049;-12.372333150148439;4.690754006265814;43.64993097782135;2.1536028251086585
SVR_kernel poly g4 scale_;0.00912151261671399;0.00026405731120488353;0.09295902294004722;0.00029019880282472014;-12.32495444107544;4.677731105126526;372.5584465265274;46.67730391169808
SVR_kernel poly g5 scale_;0.009112716899946822;0.0002594168981586881;0.0929163556809345;0.00027052677608894023;-12.315197427016326;4.680546710734932;132.2861694097519;37.464541752838606
SVR_kernel poly g5 auto_;0.009155146030971922;0.00026934566304731247;0.09314702296363439;0.0003051897855811049;-12.372333150148439;4.690754006265815;32.35116560459137;2.317072572808442
SVR_kernel poly g6 auto_;0.009155146030971922;0.00026934566304731247;0.09314702296363439;0.0003051897855811049;-12.372333150148439;4.690754006265815;36.21968767642975;1.0603578462502556
