Parameters;mse-mean;mse-std;mae-mean;mae-std;r2-mean;r2-std;time-mean;time-std
KNR_1_;0.001755518571945185;0.0006727339689395391;0.015150905966355053;0.0010418946008701893;-1.6692309952321072;1.8871614015236382;5154.857261586189;1105.340106510266
KNR_2_;0.001331226512630119;0.00033918104213717404;0.014385603715629159;0.0007176053467423021;-0.8919943214588724;0.7899629273339682;4716.681269645691;38.765489758988394
KNR_3_;0.0010992502798243009;0.00029660042707544814;0.013795376114259381;0.0004487087299404004;-0.4923940901375802;0.3662720827462357;4477.416264796257;47.860858841958006
KNR_4_;0.001020775927776278;0.00030693608355784657;0.01354268766314313;0.00039287538388553035;-0.35761353902578225;0.22870309878018022;3139.5266558647154;572.1946069618369
KNR_5_;0.0009709479857310871;0.0003110459468082901;0.013355953479413759;0.00032211502050590886;-0.2777156273213558;0.16891609641734043;2807.5513492584228;11.236134484704982
KNR_6_;0.0009459047545477117;0.0003133419505969607;0.013270342788427758;0.00032135959024059605;-0.23721790612556562;0.1368689808569308;2784.9037897109984;3.2333020711238416
KNR_7_;0.0009207455305934534;0.0003147674163438031;0.013167711310829989;0.0003209470125874284;-0.19927203831785031;0.11288102668171002;2785.99049372673;3.9376729853824104
KNR_8_;0.0009012392140286679;0.00031885075554336303;0.013076780444453873;0.0003235048889809884;-0.16730463804421816;0.09256652976061862;2785.2681597948076;3.6749424117623395
KNR_9_;0.0008895100550685489;0.00031926923602713524;0.013006202676573228;0.0003097542249312422;-0.14962732712848062;0.08375673092037297;2784.8563508987427;4.19301370662817
KNR_10_;0.0008780708198865286;0.0003222519771968629;0.012935060533688944;0.00034647031472329537;-0.13124424035867432;0.07274007347690284;2786.13878929615;3.0157122349758088
KNR_11_;0.0008679617536967136;0.00032516820941544573;0.012873493570416766;0.0003719658599506529;-0.11463562826950187;0.061215111736081844;2786.5308919906615;3.624107559921638
KNR_12_;0.000862279379865368;0.00032687794836485826;0.012837332296396622;0.0003718938212991958;-0.10532722286732335;0.05364270262780044;3225.7696726560594;755.7770615582562
KNR_13_;0.0008574936126500433;0.0003275734205033601;0.012816568023927966;0.0003563367252615723;-0.0976692655389193;0.0493471577334459;4731.203174328804;125.91284996439397
KNR_14_;0.0008510539844251693;0.00032706760008673275;0.012770602492603412;0.00034908458172117464;-0.0888133425779664;0.048005727333045936;4532.094448781014;104.8582770607161
KNR_15_;0.0008471160229027459;0.00032884379001027616;0.012751818245604276;0.0003552453826391433;-0.08181346034492723;0.04232333477339678;4813.742160797119;564.1077428652653
KNR_16_;0.0008425008589289835;0.00032864752025468476;0.012701642876184185;0.0003464755482914353;-0.07501256056895275;0.039908259358002324;4456.12306342125;79.34790422579037
KNR_17_;0.0008395617887872219;0.00032967926963250625;0.012690942969184807;0.00034984048096101155;-0.07002067334689574;0.03596563863186989;4420.966527223587;58.86243542939746
KNR_18_;0.000837553225415452;0.00033136817724112045;0.01267754960484602;0.00034947297532353036;-0.06604767858700475;0.03212094860452159;4405.50075109005;71.66633484118154
KNR_19_;0.0008351179301817252;0.00033154238894300675;0.012665247407982864;0.0003781821141664753;-0.06213453938904756;0.029475804190695596;4378.964088463783;46.59435819461192
KNR_20_;0.0008326664421389783;0.00033122554799441557;0.012653520863268661;0.00037158970908346243;-0.05880059942231943;0.028822979529497344;4374.4469090461735;71.0321559399963
KNR_21_;0.0008298351463438096;0.00033088647405407384;0.01263755479995524;0.0003645988089966704;-0.054916820860530735;0.02822448467307525;4421.40084836483;88.96482175576713
KNR_22_;0.0008278910625385986;0.00033053723557443176;0.012619739054400485;0.00035900645456009674;-0.052151056605479404;0.027858902448690125;4432.951057386398;70.80712768952323
KNR_23_;0.0008267463084001899;0.00033054122216234804;0.012616372609759605;0.0003523563678312625;-0.05049187252247507;0.02660806540838609;4377.573817348481;46.88018063648829
KNR_24_;0.000824474274925455;0.00033143874328064616;0.012614228416628409;0.00035195147845258666;-0.04669497262875386;0.025010742297482635;4324.957478880882;81.36070628682566
KNR_25_;0.0008230077683392585;0.000331820482055349;0.012609415529482365;0.0003477948647414516;-0.0444323478098688;0.024337109185674232;4255.136940813065;25.861780565832284
KNR_26_;0.0008214404279731694;0.00033212498951911074;0.01259317990943079;0.00035388099556954384;-0.041863252276479114;0.023297769771188807;4203.344261741639;74.23449223550628
KNR_27_;0.0008203755255275183;0.0003314210899544276;0.01258441488299506;0.00034606939464544177;-0.04065659332956455;0.023120809969680862;4203.726172590255;59.10686003827495
KNR_28_;0.0008186406660988866;0.0003317625338872151;0.012564230002786439;0.0003459404400086735;-0.03788266741237967;0.0216131074575311;4249.200514936447;34.25822650856487
KNR_29_;0.0008172511914022879;0.00033234970865334544;0.01255160398845343;0.00035496055634985375;-0.03558530592977786;0.021257528258636908;3221.305235910416;674.63129436487
KNR_30_;0.0008160953037722766;0.0003323998122886821;0.01254248062031794;0.00035679226068304143;-0.033864834080552034;0.0200228301498256;2728.7131991624833;4.5666682892121795
